time_ms,scenario,drone_x,drone_y,drone_yaw_rad,rotation_error_deg,altitude_m,pixel_err_x,pixel_err_y,ground_err_m,forward_err_m,lateral_err_m,gimbal_norm,locked,state,last_cmd_pitch,last_cmd_roll,last_cmd_yaw_vel,last_cmd_thrust
58,DYNAMIC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,IDLE,0.0,0.0,0.0,0.0
100,DYNAMIC,1.222996473312378,0.23524346947669983,3.6050987243652344,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0,IDLE,0.0,0.0,0.0,0.0
150,DYNAMIC,1.223097324371338,0.2353425920009613,3.6051015853881836,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0,IDLE,0.0,0.0,0.0,0.0
200,DYNAMIC,1.2232089042663574,0.23536577820777893,3.605093240737915,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0,IDLE,0.0,0.0,0.0,0.0
250,DYNAMIC,1.223412036895752,0.23552468419075012,3.605095863342285,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0,IDLE,0.0,0.0,0.0,0.0
300,DYNAMIC,1.2235448360443115,0.23564717173576355,3.605099678039551,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0,IDLE,0.0,0.0,0.0,0.0
357,DYNAMIC,1.2238202095031738,0.2357737123966217,3.605095386505127,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0,IDLE,0.0,0.0,0.0,0.0
402,DYNAMIC,1.2240536212921143,0.2358134686946869,3.605114698410034,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0,IDLE,0.0,0.0,0.0,0.0
451,DYNAMIC,1.2243657112121582,0.23588743805885315,3.605093002319336,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0,IDLE,0.0,0.0,0.0,0.0
500,DYNAMIC,1.2245707511901855,0.2359178364276886,3.605100393295288,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0,IDLE,0.0,0.0,0.0,0.0
552,DYNAMIC,1.2249877452850342,0.23591932654380798,3.605111598968506,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0,IDLE,0.0,0.0,0.0,0.0
600,DYNAMIC,1.225296974182129,0.23589816689491272,3.605097770690918,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0,IDLE,0.0,0.0,0.0,0.0
651,DYNAMIC,1.225381851196289,0.23602333664894104,3.605090379714966,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0,IDLE,0.0,0.0,0.0,0.0
700,DYNAMIC,1.2253727912902832,0.23613569140434265,3.6050972938537598,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0,IDLE,0.0,0.0,0.0,0.0
753,DYNAMIC,1.2254586219787598,0.2362460196018219,3.6050920486450195,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0,IDLE,0.0,0.0,0.0,0.0
