time_ms,mode,scenario,linear_error_m,rotation_error_deg,engagement_duration_s,drone_x,drone_y,target_x,target_y,altitude_m,state,last_cmd_pitch,last_cmd_roll,last_cmd_yaw_vel,last_cmd_thrust
23,gimbal,dynamic,0.8936,14.06,0.02,-0.0305,0.0442,0.8616,-0.0086,2.891,SEARCH,0.0000,0.0000,0.0000,-0.0326
123,gimbal,dynamic,0.9178,14.06,0.12,-0.0312,0.0424,0.8854,-0.0026,2.893,SEARCH,0.0000,0.0000,0.0000,-0.0321
223,gimbal,dynamic,0.9412,14.07,0.22,-0.0311,0.0395,0.9094,0.0034,2.895,SEARCH,0.0000,0.0000,0.0000,-0.0315
323,gimbal,dynamic,0.9638,14.07,0.32,-0.0298,0.0357,0.9336,0.0094,2.897,SEARCH,0.0000,0.0000,0.0000,-0.0310
423,gimbal,dynamic,0.9858,14.08,0.42,-0.0277,0.0303,0.9580,0.0155,2.898,SEARCH,0.0000,0.0000,0.0000,-0.0305
523,gimbal,dynamic,1.0083,14.08,0.52,-0.0258,0.0247,0.9825,0.0217,2.900,SEARCH,0.0000,0.0000,0.0000,-0.0300
623,gimbal,dynamic,1.0309,14.08,0.62,-0.0237,0.0187,1.0071,0.0278,2.902,SEARCH,0.0000,0.0000,0.0000,-0.0295
723,gimbal,dynamic,1.0543,14.09,0.72,-0.0221,0.0125,1.0320,0.0340,2.903,SEARCH,0.0000,0.0000,0.0000,-0.0290
823,gimbal,dynamic,1.0782,14.09,0.82,-0.0207,0.0073,1.0570,0.0403,2.905,SEARCH,0.0000,0.0000,0.0000,-0.0285
923,gimbal,dynamic,1.1026,14.08,0.92,-0.0195,0.0029,1.0822,0.0466,2.907,SEARCH,0.0000,0.0000,0.0000,-0.0280
1023,gimbal,dynamic,1.1279,14.08,1.02,-0.0191,-0.0001,1.1076,0.0529,2.908,SEARCH,0.0000,0.0000,0.0000,-0.0276
1123,gimbal,dynamic,1.1540,14.07,1.12,-0.0192,-0.0025,1.1331,0.0593,2.909,SEARCH,0.0000,0.0000,0.0000,-0.0272
1223,gimbal,dynamic,1.1809,14.06,1.22,-0.0200,-0.0046,1.1588,0.0658,2.911,SEARCH,0.0000,0.0000,0.0000,-0.0268
1323,gimbal,dynamic,1.2089,13.15,1.32,-0.0216,-0.0059,1.1847,0.0720,2.912,SEARCH,0.0000,0.0000,0.0000,-0.0265
1423,gimbal,dynamic,1.2379,11.83,1.42,-0.0242,-0.0067,1.2108,0.0777,2.913,SEARCH,0.0000,0.0000,0.0000,-0.0261
1523,gimbal,dynamic,1.2673,10.49,1.52,-0.0271,-0.0070,1.2371,0.0828,2.914,SEARCH,0.0000,0.0000,0.0000,-0.0257
