time_ms,mode,scenario,linear_error_m,rotation_error_deg,engagement_duration_s,drone_x,drone_y,target_x,target_y,altitude_m,state,last_cmd_pitch,last_cmd_roll,last_cmd_yaw_vel,last_cmd_thrust
37,gimbal,dynamic_easy,1.1368,-10.92,0.04,-0.0378,0.0627,1.0959,-0.0201,2.758,SEARCH,0.0000,0.0000,0.0000,-0.0727
136,gimbal,dynamic_easy,1.1390,-10.10,0.14,-0.0377,0.0649,1.0982,-0.0205,2.761,SEARCH,0.0000,0.0000,0.0000,-0.0716
237,gimbal,dynamic_easy,1.1412,-9.22,0.24,-0.0373,0.0677,1.1004,-0.0209,2.765,SEARCH,0.0000,0.0000,0.0000,-0.0705
336,gimbal,dynamic_easy,1.1441,8.30,0.34,-0.0378,0.0705,1.1026,-0.0212,2.768,SEARCH,0.0000,0.0000,0.0000,-0.0695
436,gimbal,dynamic_easy,1.1484,7.33,0.44,-0.0396,0.0736,1.1049,-0.0215,2.772,SEARCH,0.0000,0.0000,0.0000,-0.0684
537,gimbal,dynamic_easy,1.1530,6.32,0.54,-0.0417,0.0759,1.1072,-0.0218,2.775,SEARCH,0.0000,0.0000,0.0000,-0.0675
636,gimbal,dynamic_easy,1.1582,-5.28,0.64,-0.0444,0.0781,1.1095,-0.0220,2.778,SEARCH,0.0000,0.0000,0.0000,-0.0665
736,gimbal,dynamic_easy,1.1632,-4.21,0.74,-0.0469,0.0795,1.1118,-0.0222,2.781,SEARCH,0.0000,0.0000,0.0000,-0.0656
836,gimbal,dynamic_easy,1.1674,-3.11,0.84,-0.0488,0.0805,1.1141,-0.0224,2.784,SEARCH,0.0000,0.0000,0.0000,-0.0647
937,gimbal,dynamic_easy,1.1705,-2.00,0.94,-0.0494,0.0814,1.1164,-0.0225,2.787,SEARCH,0.0000,0.0000,0.0000,-0.0638
1037,gimbal,dynamic_easy,1.1724,-0.88,1.04,-0.0489,0.0821,1.1188,-0.0225,2.790,SEARCH,0.0000,0.0000,0.0000,-0.0630
1136,gimbal,dynamic_easy,1.1731,0.24,1.14,-0.0472,0.0826,1.1211,-0.0225,2.793,SEARCH,0.0000,0.0000,0.0000,-0.0622
1236,gimbal,dynamic_easy,1.1731,1.36,1.24,-0.0448,0.0830,1.1235,-0.0225,2.796,SEARCH,0.0000,0.0000,0.0000,-0.0613
1337,gimbal,dynamic_easy,1.1728,2.48,1.34,-0.0421,0.0828,1.1259,-0.0224,2.798,SEARCH,0.0000,0.0000,0.0000,-0.0605
1436,gimbal,dynamic_easy,1.1722,3.59,1.44,-0.0392,0.0824,1.1283,-0.0223,2.801,SEARCH,0.0000,0.0000,0.0000,-0.0597
1536,gimbal,dynamic_easy,1.1720,4.70,1.54,-0.0366,0.0816,1.1307,-0.0221,2.804,SEARCH,0.0000,0.0000,0.0000,-0.0589
1637,gimbal,dynamic_easy,1.1715,5.79,1.64,-0.0337,0.0813,1.1332,-0.0219,2.807,SEARCH,0.0000,0.0000,0.0000,-0.0580
1736,gimbal,dynamic_easy,1.1714,6.87,1.74,-0.0312,0.0811,1.1356,-0.0216,2.809,SEARCH,0.0000,0.0000,0.0000,-0.0572
1836,gimbal,dynamic_easy,1.1721,7.94,1.84,-0.0296,0.0803,1.1381,-0.0213,2.812,SEARCH,0.0000,0.0000,0.0000,-0.0564
1936,gimbal,dynamic_easy,1.1736,8.98,1.94,-0.0287,0.0788,1.1406,-0.0209,2.814,SEARCH,0.0000,0.0000,0.0000,-0.0557
2037,gimbal,dynamic_easy,1.1755,10.01,2.04,-0.0283,0.0771,1.1431,-0.0205,2.817,SEARCH,0.0000,0.0000,0.0000,-0.0550
2137,gimbal,dynamic_easy,1.1780,11.01,2.14,-0.0285,0.0757,1.1457,-0.0200,2.819,SEARCH,0.0000,0.0000,0.0000,-0.0543
