time_ms,mode,scenario,wind_scenario,linear_error_m,rotation_error_deg,engagement_duration_s,drone_x,drone_y,target_x,target_y,altitude_m,state,last_cmd_pitch,last_cmd_roll,last_cmd_yaw_vel,last_cmd_thrust
8,gimbal,dynamic_easy,MILD,1.0777,-0.44,0.01,-0.0345,-0.0497,1.0424,-0.0098,2.663,SEARCH,0.0000,0.0000,0.0000,-0.1011
108,gimbal,dynamic_easy,MILD,1.0792,0.84,0.11,-0.0341,-0.0452,1.0445,-0.0100,2.667,SEARCH,0.0000,0.0000,0.0000,-0.0998
208,gimbal,dynamic_easy,MILD,1.0803,1.94,0.21,-0.0333,-0.0389,1.0466,-0.0100,2.672,SEARCH,0.0000,0.0000,0.0000,-0.0984
308,gimbal,dynamic_easy,MILD,1.0806,3.00,0.31,-0.0316,-0.0324,1.0487,-0.0100,2.676,SEARCH,0.0000,0.0000,0.0000,-0.0972
408,gimbal,dynamic_easy,MILD,1.0801,4.11,0.41,-0.0292,-0.0254,1.0508,-0.0099,2.680,SEARCH,0.0000,0.0000,0.0000,-0.0960
508,gimbal,dynamic_easy,MILD,1.0795,6.03,0.51,-0.0259,-0.0203,1.0536,-0.0096,2.684,SEARCH,0.0000,0.0000,0.0000,-0.0947
608,gimbal,dynamic_easy,MILD,1.0764,6.75,0.61,-0.0214,-0.0164,1.0550,-0.0095,2.688,SEARCH,0.0000,0.0000,0.0000,-0.0936
708,gimbal,dynamic_easy,MILD,1.0744,8.35,0.71,-0.0172,-0.0136,1.0571,-0.0091,2.692,SEARCH,0.0000,0.0000,0.0000,-0.0924
808,gimbal,dynamic_easy,MILD,1.0724,10.08,0.81,-0.0131,-0.0110,1.0593,-0.0088,2.696,SEARCH,0.0000,0.0000,0.0000,-0.0912
908,gimbal,dynamic_easy,MILD,1.0709,11.91,0.91,-0.0095,-0.0091,1.0614,-0.0083,2.699,SEARCH,0.0000,0.0000,0.0000,-0.0902
1008,gimbal,dynamic_easy,MILD,1.0694,13.08,1.01,-0.0059,-0.0075,1.0636,-0.0077,2.703,SEARCH,0.0000,0.0000,0.0000,-0.0891
1108,gimbal,dynamic_easy,MILD,1.0688,13.30,1.11,-0.0031,-0.0069,1.0658,-0.0072,2.706,SEARCH,0.0000,0.0000,0.0000,-0.0881
1208,gimbal,dynamic_easy,MILD,1.0688,13.57,1.21,-0.0008,-0.0069,1.0679,-0.0067,2.710,SEARCH,0.0000,0.0000,0.0000,-0.0870
1308,gimbal,dynamic_easy,MILD,1.0694,13.84,1.31,0.0008,-0.0073,1.0701,-0.0061,2.713,SEARCH,0.0000,0.0000,0.0000,-0.0860
1408,gimbal,dynamic_easy,MILD,1.0709,14.09,1.41,0.0014,-0.0082,1.0723,-0.0056,2.717,SEARCH,0.0000,0.0000,0.0000,-0.0849
1508,gimbal,dynamic_easy,MILD,1.0735,14.29,1.51,0.0011,-0.0094,1.0745,-0.0050,2.720,SEARCH,0.0000,0.0000,0.0000,-0.0840
1608,gimbal,dynamic_easy,MILD,1.0773,14.43,1.61,-0.0005,-0.0110,1.0768,-0.0044,2.723,SEARCH,0.0000,0.0000,0.0000,-0.0830
1708,gimbal,dynamic_easy,MILD,1.0821,14.51,1.71,-0.0030,-0.0123,1.0790,-0.0039,2.726,SEARCH,0.0000,0.0000,0.0000,-0.0821
1808,gimbal,dynamic_easy,MILD,1.0874,14.54,1.81,-0.0061,-0.0129,1.0813,-0.0033,2.729,SEARCH,0.0000,0.0000,0.0000,-0.0812
1908,gimbal,dynamic_easy,MILD,1.0932,14.52,1.91,-0.0089,-0.0134,1.0843,-0.0026,2.732,SEARCH,0.0000,0.0000,0.0000,-0.0804
2008,gimbal,dynamic_easy,MILD,1.0983,14.47,2.01,-0.0124,-0.0139,1.0858,-0.0022,2.735,SEARCH,0.0000,0.0000,0.0000,-0.0795
2108,gimbal,dynamic_easy,MILD,1.1041,14.40,2.11,-0.0159,-0.0138,1.0881,-0.0016,2.738,SEARCH,0.0000,0.0000,0.0000,-0.0787
2208,gimbal,dynamic_easy,MILD,1.1099,14.32,2.21,-0.0194,-0.0130,1.0904,-0.0010,2.740,SEARCH,0.0000,0.0000,0.0000,-0.0780
2308,gimbal,dynamic_easy,MILD,1.1152,14.24,2.31,-0.0224,-0.0115,1.0927,-0.0005,2.742,SEARCH,0.0000,0.0000,0.0000,-0.0773
2408,gimbal,dynamic_easy,MILD,1.1206,14.16,2.41,-0.0255,-0.0096,1.0951,0.0001,2.744,SEARCH,0.0000,0.0000,0.0000,-0.0767
2508,gimbal,dynamic_easy,MILD,1.1257,14.11,2.51,-0.0282,-0.0085,1.0974,0.0007,2.746,SEARCH,0.0000,0.0000,0.0000,-0.0761
2608,gimbal,dynamic_easy,MILD,1.1312,14.07,2.61,-0.0305,-0.0090,1.1006,0.0015,2.748,SEARCH,0.0000,0.0000,0.0000,-0.0755
2708,gimbal,dynamic_easy,MILD,1.1360,14.04,2.71,-0.0337,-0.0103,1.1022,0.0019,2.750,SEARCH,0.0000,0.0000,0.0000,-0.0750
2808,gimbal,dynamic_easy,MILD,1.1431,14.03,2.81,-0.0376,-0.0125,1.1054,0.0027,2.752,SEARCH,0.0000,0.0000,0.0000,-0.0744
2908,gimbal,dynamic_easy,MILD,1.1484,14.03,2.91,-0.0412,-0.0152,1.1070,0.0031,2.754,SEARCH,0.0000,0.0000,0.0000,-0.0739
3008,gimbal,dynamic_easy,MILD,1.1554,14.04,3.01,-0.0449,-0.0190,1.1103,0.0039,2.755,SEARCH,0.0000,0.0000,0.0000,-0.0734
3108,gimbal,dynamic_easy,MILD,1.1603,14.06,3.11,-0.0481,-0.0225,1.1119,0.0043,2.757,SEARCH,0.0000,0.0000,0.0000,-0.0730
3208,gimbal,dynamic_easy,MILD,1.1658,14.08,3.21,-0.0510,-0.0261,1.1144,0.0049,2.758,SEARCH,0.0000,0.0000,0.0000,-0.0725
3308,gimbal,dynamic_easy,MILD,1.1710,14.10,3.31,-0.0528,-0.0290,1.1177,0.0058,2.760,SEARCH,0.0000,0.0000,0.0000,-0.0720
3408,gimbal,dynamic_easy,MILD,1.1729,14.12,3.41,-0.0530,-0.0308,1.1193,0.0062,2.761,SEARCH,0.0000,0.0000,0.0000,-0.0716
3508,gimbal,dynamic_easy,MILD,1.1746,14.13,3.51,-0.0521,-0.0320,1.1219,0.0068,2.763,SEARCH,0.0000,0.0000,0.0000,-0.0710
3608,gimbal,dynamic_easy,MILD,1.1765,14.14,3.61,-0.0506,-0.0330,1.1252,0.0077,2.765,SEARCH,0.0000,0.0000,0.0000,-0.0705
3708,gimbal,dynamic_easy,MILD,1.1779,14.14,3.71,-0.0493,-0.0335,1.1278,0.0083,2.767,SEARCH,0.0000,0.0000,0.0000,-0.0700
3808,gimbal,dynamic_easy,MILD,1.1791,14.14,3.81,-0.0488,-0.0344,1.1295,0.0087,2.768,SEARCH,0.0000,0.0000,0.0000,-0.0696
3908,gimbal,dynamic_easy,MILD,1.1815,14.14,3.91,-0.0486,-0.0348,1.1321,0.0094,2.770,SEARCH,0.0000,0.0000,0.0000,-0.0691
4008,gimbal,dynamic_easy,MILD,1.1845,14.12,4.01,-0.0489,-0.0354,1.1347,0.0100,2.771,SEARCH,0.0000,0.0000,0.0000,-0.0687
4108,gimbal,dynamic_easy,MILD,1.1881,14.11,4.11,-0.0499,-0.0364,1.1374,0.0107,2.773,SEARCH,0.0000,0.0000,0.0000,-0.0682
4208,gimbal,dynamic_easy,MILD,1.1927,14.10,4.21,-0.0517,-0.0377,1.1400,0.0114,2.774,SEARCH,0.0000,0.0000,0.0000,-0.0678
4308,gimbal,dynamic_easy,MILD,1.1971,14.09,4.31,-0.0533,-0.0387,1.1427,0.0120,2.775,SEARCH,0.0000,0.0000,0.0000,-0.0674
4408,gimbal,dynamic_easy,MILD,1.2013,14.08,4.41,-0.0548,-0.0393,1.1453,0.0127,2.777,SEARCH,0.0000,0.0000,0.0000,-0.0670
4508,gimbal,dynamic_easy,MILD,1.2055,14.07,4.51,-0.0554,-0.0393,1.1490,0.0136,2.778,SEARCH,0.0000,0.0000,0.0000,-0.0666
4608,gimbal,dynamic_easy,MILD,1.2083,14.06,4.61,-0.0555,-0.0385,1.1517,0.0143,2.780,SEARCH,0.0000,0.0000,0.0000,-0.0661
4708,gimbal,dynamic_easy,MILD,1.2097,14.06,4.71,-0.0551,-0.0371,1.1535,0.0147,2.781,SEARCH,0.0000,0.0000,0.0000,-0.0658
4808,gimbal,dynamic_easy,MILD,1.2117,14.06,4.81,-0.0544,-0.0350,1.1563,0.0154,2.782,SEARCH,0.0000,0.0000,0.0000,-0.0653
4908,gimbal,dynamic_easy,MILD,1.2138,14.06,4.91,-0.0538,-0.0330,1.1590,0.0161,2.783,SEARCH,0.0000,0.0000,0.0000,-0.0650
5008,gimbal,dynamic_easy,MILD,1.2173,14.06,5.01,-0.0536,-0.0307,1.1628,0.0171,2.785,SEARCH,0.0000,0.0000,0.0000,-0.0646
5108,gimbal,dynamic_easy,MILD,1.2191,14.06,5.11,-0.0536,-0.0287,1.1647,0.0175,2.785,SEARCH,0.0000,0.0000,0.0000,-0.0644
5208,gimbal,dynamic_easy,MILD,1.2219,14.06,5.21,-0.0535,-0.0268,1.1675,0.0182,2.786,SEARCH,0.0000,0.0000,0.0000,-0.0641
5308,gimbal,dynamic_easy,MILD,1.2253,14.06,5.31,-0.0532,-0.0252,1.1713,0.0192,2.787,SEARCH,0.0000,0.0000,0.0000,-0.0639
5408,gimbal,dynamic_easy,MILD,1.2274,14.06,5.41,-0.0534,-0.0239,1.1732,0.0197,2.788,SEARCH,0.0000,0.0000,0.0000,-0.0636
5508,gimbal,dynamic_easy,MILD,1.2311,14.06,5.51,-0.0542,-0.0233,1.1761,0.0204,2.789,SEARCH,0.0000,0.0000,0.0000,-0.0633
5608,gimbal,dynamic_easy,MILD,1.2357,14.06,5.61,-0.0558,-0.0227,1.1791,0.0211,2.790,SEARCH,0.0000,0.0000,0.0000,-0.0630
5708,gimbal,dynamic_easy,MILD,1.2407,14.06,5.71,-0.0579,-0.0217,1.1820,0.0219,2.791,SEARCH,0.0000,0.0000,0.0000,-0.0626
5808,gimbal,dynamic_easy,MILD,1.2458,14.05,5.81,-0.0601,-0.0202,1.1850,0.0226,2.792,SEARCH,0.0000,0.0000,0.0000,-0.0623
5908,gimbal,dynamic_easy,MILD,1.2503,14.05,5.91,-0.0617,-0.0185,1.1879,0.0233,2.793,SEARCH,0.0000,0.0000,0.0000,-0.0620
6008,gimbal,dynamic_easy,MILD,1.2548,14.05,6.01,-0.0632,-0.0167,1.1909,0.0241,2.795,SEARCH,0.0000,0.0000,0.0000,-0.0616
6108,gimbal,dynamic_easy,MILD,1.2603,14.05,6.11,-0.0647,-0.0153,1.1950,0.0251,2.796,SEARCH,0.0000,0.0000,0.0000,-0.0613
6208,gimbal,dynamic_easy,MILD,1.2640,14.05,6.21,-0.0664,-0.0142,1.1970,0.0256,2.797,SEARCH,0.0000,0.0000,0.0000,-0.0610
6308,gimbal,dynamic_easy,MILD,1.2687,14.05,6.31,-0.0681,-0.0128,1.2000,0.0264,2.798,SEARCH,0.0000,0.0000,0.0000,-0.0607
6408,gimbal,dynamic_easy,MILD,1.2736,14.06,6.41,-0.0699,-0.0114,1.2031,0.0271,2.799,SEARCH,0.0000,0.0000,0.0000,-0.0603
6508,gimbal,dynamic_easy,MILD,1.2787,14.06,6.51,-0.0719,-0.0101,1.2062,0.0279,2.800,SEARCH,0.0000,0.0000,0.0000,-0.0600
6608,gimbal,dynamic_easy,MILD,1.2841,14.06,6.61,-0.0742,-0.0089,1.2093,0.0287,2.801,SEARCH,0.0000,0.0000,0.0000,-0.0597
6708,gimbal,dynamic_easy,MILD,1.2890,13.21,6.71,-0.0760,-0.0071,1.2125,0.0294,2.802,SEARCH,0.0000,0.0000,0.0000,-0.0594
6808,gimbal,dynamic_easy,MILD,1.2943,11.58,6.81,-0.0771,-0.0049,1.2167,0.0304,2.803,SEARCH,0.0000,0.0000,0.0000,-0.0591
6908,gimbal,dynamic_easy,MILD,1.2969,10.75,6.91,-0.0776,-0.0029,1.2188,0.0308,2.804,SEARCH,0.0000,0.0000,0.0000,-0.0588
7008,gimbal,dynamic_easy,MILD,1.3000,9.52,7.01,-0.0776,-0.0005,1.2220,0.0313,2.805,SEARCH,0.0000,0.0000,0.0000,-0.0585
7108,gimbal,dynamic_easy,MILD,1.3028,8.27,7.11,-0.0772,0.0017,1.2252,0.0318,2.806,SEARCH,0.0000,0.0000,0.0000,-0.0582
7208,gimbal,dynamic_easy,MILD,1.3063,6.62,7.21,-0.0765,0.0039,1.2295,0.0324,2.807,SEARCH,0.0000,0.0000,0.0000,-0.0578
7308,gimbal,dynamic_easy,MILD,1.3079,5.80,7.31,-0.0759,0.0060,1.2317,0.0326,2.808,SEARCH,0.0000,0.0000,0.0000,-0.0575
7408,gimbal,dynamic_easy,MILD,1.3109,4.56,7.41,-0.0757,0.0083,1.2350,0.0329,2.809,SEARCH,0.0000,0.0000,0.0000,-0.0572
7508,gimbal,dynamic_easy,MILD,1.3138,3.35,7.51,-0.0753,0.0106,1.2383,0.0331,2.810,SEARCH,0.0000,0.0000,0.0000,-0.0569
7608,gimbal,dynamic_easy,MILD,1.3163,2.14,7.61,-0.0746,0.0137,1.2416,0.0332,2.811,SEARCH,0.0000,0.0000,0.0000,-0.0566
7708,gimbal,dynamic_easy,MILD,1.3185,0.95,7.71,-0.0735,0.0169,1.2449,0.0333,2.812,SEARCH,0.0000,0.0000,0.0000,-0.0563
7808,gimbal,dynamic_easy,MILD,1.3200,-0.22,7.81,-0.0717,0.0206,1.2483,0.0333,2.813,SEARCH,0.0000,0.0000,0.0000,-0.0560
7908,gimbal,dynamic_easy,MILD,1.3218,-1.73,7.91,-0.0690,0.0237,1.2528,0.0332,2.814,SEARCH,0.0000,0.0000,0.0000,-0.0558
8008,gimbal,dynamic_easy,MILD,1.3212,-2.84,8.01,-0.0650,0.0263,1.2562,0.0331,2.815,SEARCH,0.0000,0.0000,0.0000,-0.0555
8108,gimbal,dynamic_easy,MILD,1.3195,-3.56,8.11,-0.0611,0.0281,1.2584,0.0330,2.816,SEARCH,0.0000,0.0000,0.0000,-0.0552
8208,gimbal,dynamic_easy,MILD,1.3197,-4.95,8.21,-0.0567,0.0299,1.2630,0.0326,2.817,SEARCH,0.0000,0.0000,0.0000,-0.0549
8308,gimbal,dynamic_easy,MILD,1.3179,-5.63,8.31,-0.0526,0.0319,1.2653,0.0324,2.818,SEARCH,0.0000,0.0000,0.0000,-0.0547
