time_ms,mode,scenario,wind_scenario,linear_error_m,rotation_error_deg,engagement_duration_s,drone_x,drone_y,target_x,target_y,altitude_m,state,last_cmd_pitch,last_cmd_roll,last_cmd_yaw_vel,last_cmd_thrust
24,gimbal,dynamic_easy,gust1,1.1179,-4.96,0.02,0.0745,-0.0530,1.1924,-0.0456,2.777,SEARCH,0.0000,0.0000,0.0000,-0.0670
124,gimbal,dynamic_easy,gust1,1.1218,-3.62,0.12,0.0745,-0.0525,1.1963,-0.0459,2.779,SEARCH,0.0000,0.0000,0.0000,-0.0662
224,gimbal,dynamic_easy,gust1,1.1264,-2.27,0.22,0.0738,-0.0504,1.2002,-0.0461,2.782,SEARCH,0.0000,0.0000,0.0000,-0.0654
324,gimbal,dynamic_easy,gust1,1.1311,-0.91,0.32,0.0730,-0.0476,1.2041,-0.0462,2.785,SEARCH,0.0000,0.0000,0.0000,-0.0646
424,gimbal,dynamic_easy,gust1,1.1355,0.45,0.42,0.0725,-0.0447,1.2080,-0.0462,2.787,SEARCH,0.0000,0.0000,0.0000,-0.0639
524,gimbal,dynamic_easy,gust1,1.1395,1.81,0.52,0.0725,-0.0417,1.2120,-0.0461,2.789,SEARCH,0.0000,0.0000,0.0000,-0.0632
624,gimbal,dynamic_easy,gust1,1.1430,3.16,0.62,0.0730,-0.0384,1.2159,-0.0459,2.792,SEARCH,0.0000,0.0000,0.0000,-0.0625
724,gimbal,dynamic_easy,gust1,1.1461,4.51,0.72,0.0738,-0.0347,1.2198,-0.0457,2.794,SEARCH,0.0000,0.0000,0.0000,-0.0618
824,gimbal,dynamic_easy,gust1,1.1498,5.86,0.82,0.0741,-0.0315,1.2238,-0.0453,2.796,SEARCH,0.0000,0.0000,0.0000,-0.0612
924,gimbal,dynamic_easy,gust1,1.1541,7.18,0.92,0.0738,-0.0291,1.2278,-0.0448,2.798,SEARCH,0.0000,0.0000,0.0000,-0.0605
1024,gimbal,dynamic_easy,gust1,1.1588,8.49,1.02,0.0731,-0.0274,1.2317,-0.0443,2.800,SEARCH,0.0000,0.0000,0.0000,-0.0599
1124,gimbal,dynamic_easy,gust1,1.1636,9.79,1.12,0.0722,-0.0260,1.2357,-0.0436,2.803,SEARCH,0.0000,0.0000,0.0000,-0.0592
1224,gimbal,dynamic_easy,gust1,1.1686,11.06,1.22,0.0712,-0.0251,1.2397,-0.0429,2.805,SEARCH,0.0000,0.0000,0.0000,-0.0585
1324,gimbal,dynamic_easy,gust1,1.1739,12.30,1.32,0.0698,-0.0244,1.2436,-0.0421,2.807,SEARCH,0.0000,0.0000,0.0000,-0.0578
1424,gimbal,dynamic_easy,gust1,1.1793,13.52,1.42,0.0685,-0.0242,1.2476,-0.0411,2.810,SEARCH,0.0000,0.0000,0.0000,-0.0571
1524,gimbal,dynamic_easy,gust1,1.1848,14.06,1.52,0.0669,-0.0243,1.2516,-0.0401,2.812,SEARCH,0.0000,0.0000,0.0000,-0.0564
1624,gimbal,dynamic_easy,gust1,1.1894,14.06,1.62,0.0662,-0.0249,1.2556,-0.0391,2.814,SEARCH,0.0000,0.0000,0.0000,-0.0558
1724,gimbal,dynamic_easy,gust1,1.1937,14.06,1.72,0.0659,-0.0254,1.2596,-0.0381,2.816,SEARCH,0.0000,0.0000,0.0000,-0.0552
1824,gimbal,dynamic_easy,gust1,1.1979,14.06,1.82,0.0657,-0.0257,1.2636,-0.0371,2.818,SEARCH,0.0000,0.0000,0.0000,-0.0546
1924,gimbal,dynamic_easy,gust1,1.2017,14.06,1.92,0.0659,-0.0257,1.2676,-0.0361,2.820,SEARCH,0.0000,0.0000,0.0000,-0.0540
2024,gimbal,dynamic_easy,gust1,1.2052,14.06,2.02,0.0664,-0.0258,1.2716,-0.0351,2.822,SEARCH,0.0000,0.0000,0.0000,-0.0535
2124,gimbal,dynamic_easy,gust1,1.2086,14.06,2.12,0.0670,-0.0254,1.2756,-0.0341,2.824,SEARCH,0.0000,0.0000,0.0000,-0.0529
2224,gimbal,dynamic_easy,gust1,1.2127,14.06,2.22,0.0669,-0.0252,1.2796,-0.0331,2.826,SEARCH,0.0000,0.0000,0.0000,-0.0523
2324,gimbal,dynamic_easy,gust1,1.2175,14.07,2.32,0.0660,-0.0253,1.2836,-0.0321,2.828,SEARCH,0.0000,0.0000,0.0000,-0.0517
2424,gimbal,dynamic_easy,gust1,1.2230,14.07,2.42,0.0646,-0.0256,1.2876,-0.0311,2.830,SEARCH,0.0000,0.0000,0.0000,-0.0511
2524,gimbal,dynamic_easy,gust1,1.2286,14.07,2.52,0.0630,-0.0265,1.2916,-0.0301,2.832,SEARCH,0.0000,0.0000,0.0000,-0.0505
2624,gimbal,dynamic_easy,gust1,1.2342,14.07,2.62,0.0613,-0.0283,1.2956,-0.0291,2.834,SEARCH,0.0000,0.0000,0.0000,-0.0499
2724,gimbal,dynamic_easy,gust1,1.2395,14.07,2.72,0.0600,-0.0301,1.2996,-0.0282,2.836,SEARCH,0.0000,0.0000,0.0000,-0.0492
2824,gimbal,dynamic_easy,gust1,1.2446,14.08,2.82,0.0590,-0.0317,1.3035,-0.0272,2.838,SEARCH,0.0000,0.0000,0.0000,-0.0486
2924,gimbal,dynamic_easy,gust1,1.2491,14.07,2.92,0.0584,-0.0323,1.3075,-0.0262,2.840,SEARCH,0.0000,0.0000,0.0000,-0.0480
3024,gimbal,dynamic_easy,gust1,1.2537,14.07,3.02,0.0579,-0.0323,1.3115,-0.0252,2.842,SEARCH,0.0000,0.0000,0.0000,-0.0475
3124,gimbal,dynamic_easy,gust1,1.2585,14.06,3.12,0.0570,-0.0315,1.3155,-0.0242,2.844,SEARCH,0.0000,0.0000,0.0000,-0.0468
3224,gimbal,dynamic_easy,gust1,1.2644,14.06,3.22,0.0552,-0.0295,1.3195,-0.0232,2.846,SEARCH,0.0000,0.0000,0.0000,-0.0462
3324,gimbal,dynamic_easy,gust1,1.2711,14.05,3.32,0.0524,-0.0272,1.3235,-0.0222,2.848,SEARCH,0.0000,0.0000,0.0000,-0.0456
3424,gimbal,dynamic_easy,gust1,1.2789,14.04,3.42,0.0485,-0.0241,1.3275,-0.0212,2.850,SEARCH,0.0000,0.0000,0.0000,-0.0451
3524,gimbal,dynamic_easy,gust1,1.2869,14.04,3.52,0.0446,-0.0213,1.3315,-0.0202,2.851,SEARCH,0.0000,0.0000,0.0000,-0.0446
3624,gimbal,dynamic_easy,gust1,1.2950,14.03,3.62,0.0405,-0.0185,1.3354,-0.0192,2.853,SEARCH,0.0000,0.0000,0.0000,-0.0441
3724,gimbal,dynamic_easy,gust1,1.3032,14.03,3.72,0.0362,-0.0159,1.3394,-0.0182,2.855,SEARCH,0.0000,0.0000,0.0000,-0.0436
3824,gimbal,dynamic_easy,gust1,1.3115,14.03,3.82,0.0318,-0.0138,1.3433,-0.0172,2.856,SEARCH,0.0000,0.0000,0.0000,-0.0431
3924,gimbal,dynamic_easy,gust1,1.3193,14.03,3.92,0.0280,-0.0126,1.3473,-0.0162,2.858,SEARCH,0.0000,0.0000,0.0000,-0.0427
4024,gimbal,dynamic_easy,gust1,1.3265,14.03,4.02,0.0248,-0.0121,1.3513,-0.0152,2.859,SEARCH,0.0000,0.0000,0.0000,-0.0423
4124,gimbal,dynamic_easy,gust1,1.3330,14.04,4.12,0.0222,-0.0123,1.3552,-0.0142,2.860,SEARCH,0.0000,0.0000,0.0000,-0.0419
4224,gimbal,dynamic_easy,gust1,1.3385,14.04,4.22,0.0206,-0.0125,1.3591,-0.0133,2.862,SEARCH,0.0000,0.0000,0.0000,-0.0415
4324,gimbal,dynamic_easy,gust1,1.3430,14.05,4.32,0.0201,-0.0126,1.3631,-0.0123,2.863,SEARCH,0.0000,0.0000,0.0000,-0.0411
4424,gimbal,dynamic_easy,gust1,1.3474,14.05,4.42,0.0196,-0.0123,1.3670,-0.0113,2.864,SEARCH,0.0000,0.0000,0.0000,-0.0407
4524,gimbal,dynamic_easy,gust1,1.3515,14.06,4.52,0.0194,-0.0124,1.3709,-0.0103,2.865,SEARCH,0.0000,0.0000,0.0000,-0.0404
4624,gimbal,dynamic_easy,gust1,1.3556,14.06,4.62,0.0192,-0.0128,1.3748,-0.0093,2.867,SEARCH,0.0000,0.0000,0.0000,-0.0400
4724,gimbal,dynamic_easy,gust1,1.3593,14.06,4.72,0.0194,-0.0131,1.3787,-0.0084,2.868,SEARCH,0.0000,0.0000,0.0000,-0.0396
4824,gimbal,dynamic_easy,gust1,1.3629,14.06,4.82,0.0197,-0.0133,1.3826,-0.0074,2.869,SEARCH,0.0000,0.0000,0.0000,-0.0392
4924,gimbal,dynamic_easy,gust1,1.3661,14.06,4.92,0.0203,-0.0133,1.3865,-0.0064,2.871,SEARCH,0.0000,0.0000,0.0000,-0.0388
5024,gimbal,dynamic_easy,gust1,1.3692,14.06,5.02,0.0212,-0.0130,1.3903,-0.0055,2.872,SEARCH,0.0000,0.0000,0.0000,-0.0384
5124,gimbal,dynamic_easy,gust1,1.3721,14.06,5.12,0.0221,-0.0126,1.3942,-0.0045,2.873,SEARCH,0.0000,0.0000,0.0000,-0.0380
5224,gimbal,dynamic_easy,gust1,1.3745,14.06,5.22,0.0235,-0.0124,1.3980,-0.0035,2.875,SEARCH,0.0000,0.0000,0.0000,-0.0376
5324,gimbal,dynamic_easy,gust1,1.3763,14.05,5.32,0.0256,-0.0125,1.4019,-0.0026,2.876,SEARCH,0.0000,0.0000,0.0000,-0.0372
5424,gimbal,dynamic_easy,gust1,1.3773,14.05,5.42,0.0284,-0.0134,1.4057,-0.0016,2.877,SEARCH,0.0000,0.0000,0.0000,-0.0368
5524,gimbal,dynamic_easy,gust1,1.3778,14.05,5.52,0.0317,-0.0148,1.4095,-0.0007,2.879,SEARCH,0.0000,0.0000,0.0000,-0.0364
5624,gimbal,dynamic_easy,gust1,1.3777,14.05,5.62,0.0357,-0.0165,1.4133,0.0003,2.880,SEARCH,0.0000,0.0000,0.0000,-0.0360
5724,gimbal,dynamic_easy,gust1,1.3768,14.05,5.72,0.0404,-0.0179,1.4171,0.0012,2.882,SEARCH,0.0000,0.0000,0.0000,-0.0355
5824,gimbal,dynamic_easy,gust1,1.3754,14.05,5.82,0.0457,-0.0189,1.4209,0.0022,2.883,SEARCH,0.0000,0.0000,0.0000,-0.0350
5924,gimbal,dynamic_easy,gust1,1.3748,14.05,5.92,0.0500,-0.0195,1.4246,0.0031,2.885,SEARCH,0.0000,0.0000,0.0000,-0.0346
6024,gimbal,dynamic_easy,gust1,1.3751,14.05,6.02,0.0535,-0.0198,1.4284,0.0041,2.886,SEARCH,0.0000,0.0000,0.0000,-0.0342
6124,gimbal,dynamic_easy,gust1,1.3764,14.04,6.12,0.0560,-0.0198,1.4321,0.0050,2.887,SEARCH,0.0000,0.0000,0.0000,-0.0338
6224,gimbal,dynamic_easy,gust1,1.3782,14.04,6.22,0.0579,-0.0193,1.4358,0.0059,2.889,SEARCH,0.0000,0.0000,0.0000,-0.0334
6324,gimbal,dynamic_easy,gust1,1.3806,14.03,6.32,0.0592,-0.0184,1.4396,0.0069,2.890,SEARCH,0.0000,0.0000,0.0000,-0.0330
6424,gimbal,dynamic_easy,gust1,1.3836,14.03,6.42,0.0599,-0.0170,1.4433,0.0078,2.891,SEARCH,0.0000,0.0000,0.0000,-0.0327
6524,gimbal,dynamic_easy,gust1,1.3869,14.02,6.52,0.0602,-0.0154,1.4469,0.0087,2.892,SEARCH,0.0000,0.0000,0.0000,-0.0323
6624,gimbal,dynamic_easy,gust1,1.3904,14.02,6.62,0.0604,-0.0140,1.4506,0.0096,2.893,SEARCH,0.0000,0.0000,0.0000,-0.0320
6724,gimbal,dynamic_easy,gust1,1.3942,14.02,6.72,0.0602,-0.0130,1.4543,0.0105,2.895,SEARCH,0.0000,0.0000,0.0000,-0.0316
6824,gimbal,dynamic_easy,gust1,1.3984,14.02,6.82,0.0597,-0.0131,1.4579,0.0114,2.896,SEARCH,0.0000,0.0000,0.0000,-0.0312
6924,gimbal,dynamic_easy,gust1,1.4029,14.02,6.92,0.0589,-0.0138,1.4615,0.0123,2.897,SEARCH,0.0000,0.0000,0.0000,-0.0309
7024,gimbal,dynamic_easy,gust1,1.4069,13.15,7.02,0.0585,-0.0150,1.4651,0.0132,2.898,SEARCH,0.0000,0.0000,0.0000,-0.0305
7124,gimbal,dynamic_easy,gust1,1.4110,11.75,7.12,0.0581,-0.0163,1.4687,0.0140,2.900,SEARCH,0.0000,0.0000,0.0000,-0.0301
7224,gimbal,dynamic_easy,gust1,1.4155,10.31,7.22,0.0572,-0.0173,1.4723,0.0147,2.901,SEARCH,0.0000,0.0000,0.0000,-0.0297
7324,gimbal,dynamic_easy,gust1,1.4207,8.82,7.32,0.0555,-0.0179,1.4758,0.0153,2.902,SEARCH,0.0000,0.0000,0.0000,-0.0293
7424,gimbal,dynamic_easy,gust1,1.4266,7.30,7.42,0.0532,-0.0182,1.4794,0.0157,2.903,SEARCH,0.0000,0.0000,0.0000,-0.0290
7524,gimbal,dynamic_easy,gust1,1.4314,5.73,7.52,0.0519,-0.0182,1.4829,0.0161,2.905,SEARCH,0.0000,0.0000,0.0000,-0.0286
7624,gimbal,dynamic_easy,gust1,1.4354,4.14,7.62,0.0514,-0.0178,1.4864,0.0164,2.906,SEARCH,0.0000,0.0000,0.0000,-0.0282
7724,gimbal,dynamic_easy,gust1,1.4390,2.51,7.72,0.0513,-0.0170,1.4899,0.0166,2.907,SEARCH,0.0000,0.0000,0.0000,-0.0279
7824,gimbal,dynamic_easy,gust1,1.4422,0.87,7.82,0.0515,-0.0159,1.4934,0.0167,2.908,SEARCH,0.0000,0.0000,0.0000,-0.0275
7924,gimbal,dynamic_easy,gust1,1.4455,-0.80,7.92,0.0516,-0.0146,1.4968,0.0167,2.909,SEARCH,0.0000,0.0000,0.0000,-0.0272
8024,gimbal,dynamic_easy,gust1,1.4487,-2.47,8.02,0.0519,-0.0133,1.5002,0.0166,2.910,SEARCH,0.0000,0.0000,0.0000,-0.0269
8124,gimbal,dynamic_easy,gust1,1.4512,-4.15,8.12,0.0527,-0.0125,1.5037,0.0163,2.911,SEARCH,0.0000,0.0000,0.0000,-0.0266
8224,gimbal,dynamic_easy,gust1,1.4529,-5.83,8.22,0.0545,-0.0120,1.5071,0.0160,2.912,SEARCH,0.0000,0.0000,0.0000,-0.0264
