time_ms,mode,scenario,wind_scenario,linear_error_m,rotation_error_deg,engagement_duration_s,drone_x,drone_y,target_x,target_y,altitude_m,state,last_cmd_pitch,last_cmd_roll,last_cmd_yaw_vel,last_cmd_thrust
28,gimbal,dynamic_easy,mild,1.1448,-13.97,0.03,-0.0091,0.0150,1.1349,-0.0242,2.768,SEARCH,0.0000,0.0000,0.0000,-0.0695
128,gimbal,dynamic_easy,mild,1.1487,-13.96,0.13,-0.0101,0.0154,1.1378,-0.0249,2.770,SEARCH,0.0000,0.0000,0.0000,-0.0690
228,gimbal,dynamic_easy,mild,1.1538,-13.95,0.23,-0.0123,0.0153,1.1408,-0.0257,2.772,SEARCH,0.0000,0.0000,0.0000,-0.0684
328,gimbal,dynamic_easy,mild,1.1599,-13.95,0.33,-0.0155,0.0148,1.1437,-0.0264,2.774,SEARCH,0.0000,0.0000,0.0000,-0.0678
428,gimbal,dynamic_easy,mild,1.1656,-13.96,0.43,-0.0183,0.0139,1.1467,-0.0271,2.776,SEARCH,0.0000,0.0000,0.0000,-0.0673
528,gimbal,dynamic_easy,mild,1.1708,-13.96,0.53,-0.0204,0.0132,1.1496,-0.0279,2.777,SEARCH,0.0000,0.0000,0.0000,-0.0668
628,gimbal,dynamic_easy,mild,1.1757,-13.97,0.63,-0.0223,0.0122,1.1526,-0.0286,2.779,SEARCH,0.0000,0.0000,0.0000,-0.0663
728,gimbal,dynamic_easy,mild,1.1805,-13.98,0.73,-0.0242,0.0104,1.1557,-0.0294,2.781,SEARCH,0.0000,0.0000,0.0000,-0.0658
828,gimbal,dynamic_easy,mild,1.1851,-13.98,0.83,-0.0258,0.0079,1.1587,-0.0302,2.782,SEARCH,0.0000,0.0000,0.0000,-0.0653
928,gimbal,dynamic_easy,mild,1.1898,-13.99,0.93,-0.0276,0.0041,1.1618,-0.0309,2.784,SEARCH,0.0000,0.0000,0.0000,-0.0649
1028,gimbal,dynamic_easy,mild,1.1945,-13.99,1.03,-0.0292,-0.0001,1.1648,-0.0317,2.785,SEARCH,0.0000,0.0000,0.0000,-0.0644
1128,gimbal,dynamic_easy,mild,1.1986,-14.00,1.13,-0.0304,-0.0048,1.1679,-0.0325,2.787,SEARCH,0.0000,0.0000,0.0000,-0.0639
1228,gimbal,dynamic_easy,mild,1.2025,-14.00,1.23,-0.0312,-0.0086,1.1711,-0.0332,2.788,SEARCH,0.0000,0.0000,0.0000,-0.0635
1328,gimbal,dynamic_easy,mild,1.2069,-14.00,1.33,-0.0325,-0.0119,1.1742,-0.0340,2.790,SEARCH,0.0000,0.0000,0.0000,-0.0631
1428,gimbal,dynamic_easy,mild,1.2114,-14.01,1.43,-0.0339,-0.0145,1.1773,-0.0348,2.791,SEARCH,0.0000,0.0000,0.0000,-0.0626
1528,gimbal,dynamic_easy,mild,1.2159,-14.01,1.53,-0.0353,-0.0172,1.1805,-0.0356,2.793,SEARCH,0.0000,0.0000,0.0000,-0.0622
1628,gimbal,dynamic_easy,mild,1.2203,-14.02,1.63,-0.0365,-0.0193,1.1837,-0.0364,2.794,SEARCH,0.0000,0.0000,0.0000,-0.0618
1728,gimbal,dynamic_easy,mild,1.2253,-14.02,1.73,-0.0383,-0.0212,1.1869,-0.0372,2.795,SEARCH,0.0000,0.0000,0.0000,-0.0614
1828,gimbal,dynamic_easy,mild,1.2304,-14.02,1.83,-0.0401,-0.0221,1.1902,-0.0380,2.797,SEARCH,0.0000,0.0000,0.0000,-0.0610
1928,gimbal,dynamic_easy,mild,1.2347,-13.48,1.93,-0.0412,-0.0221,1.1934,-0.0388,2.798,SEARCH,0.0000,0.0000,0.0000,-0.0605
2028,gimbal,dynamic_easy,mild,1.2383,-11.99,2.03,-0.0415,-0.0216,1.1967,-0.0396,2.800,SEARCH,0.0000,0.0000,0.0000,-0.0601
2128,gimbal,dynamic_easy,mild,1.2418,-10.48,2.13,-0.0417,-0.0211,1.2000,-0.0402,2.801,SEARCH,0.0000,0.0000,0.0000,-0.0596
2228,gimbal,dynamic_easy,mild,1.2448,-8.97,2.23,-0.0413,-0.0212,1.2033,-0.0407,2.803,SEARCH,0.0000,0.0000,0.0000,-0.0591
2328,gimbal,dynamic_easy,mild,1.2465,-7.45,2.33,-0.0397,-0.0217,1.2066,-0.0412,2.805,SEARCH,0.0000,0.0000,0.0000,-0.0586
2428,gimbal,dynamic_easy,mild,1.2468,-5.93,2.43,-0.0367,-0.0224,1.2100,-0.0416,2.806,SEARCH,0.0000,0.0000,0.0000,-0.0581
2528,gimbal,dynamic_easy,mild,1.2462,-4.42,2.53,-0.0327,-0.0231,1.2134,-0.0419,2.808,SEARCH,0.0000,0.0000,0.0000,-0.0576
2628,gimbal,dynamic_easy,mild,1.2456,-2.92,2.63,-0.0287,-0.0237,1.2168,-0.0421,2.810,SEARCH,0.0000,0.0000,0.0000,-0.0571
2728,gimbal,dynamic_easy,mild,1.2459,-1.45,2.73,-0.0256,-0.0235,1.2202,-0.0422,2.812,SEARCH,0.0000,0.0000,0.0000,-0.0565
2828,gimbal,dynamic_easy,mild,1.2471,0.00,2.83,-0.0233,-0.0228,1.2236,-0.0422,2.813,SEARCH,0.0000,0.0000,0.0000,-0.0561
