time_ms,mode,scenario,wind_scenario,linear_error_m,rotation_error_deg,engagement_duration_s,drone_x,drone_y,target_x,target_y,altitude_m,state,last_cmd_pitch,last_cmd_roll,last_cmd_yaw_vel,last_cmd_thrust
58,gimbal,dynamic_easy,none,1.0898,7.58,0.06,-0.0592,-0.0107,1.0305,0.0076,2.591,SEARCH,0.0000,0.0000,0.0000,-0.1228
158,gimbal,dynamic_easy,none,1.0962,11.08,0.16,-0.0631,-0.0143,1.0329,0.0082,2.598,SEARCH,0.0000,0.0000,0.0000,-0.1207
258,gimbal,dynamic_easy,none,1.1023,14.16,0.26,-0.0667,-0.0171,1.0353,0.0088,2.605,SEARCH,0.0000,0.0000,0.0000,-0.1186
358,gimbal,dynamic_easy,none,1.1082,16.51,0.36,-0.0701,-0.0190,1.0377,0.0094,2.611,SEARCH,0.0000,0.0000,0.0000,-0.1167
458,gimbal,dynamic_easy,none,1.1128,18.27,0.46,-0.0723,-0.0192,1.0401,0.0100,2.618,SEARCH,0.0000,0.0000,0.0000,-0.1147
558,gimbal,dynamic_easy,none,1.1163,19.17,0.56,-0.0733,-0.0177,1.0426,0.0106,2.625,SEARCH,0.0000,0.0000,0.0000,-0.1126
658,gimbal,dynamic_easy,none,1.1189,19.42,0.66,-0.0736,-0.0145,1.0450,0.0113,2.631,SEARCH,0.0000,0.0000,0.0000,-0.1107
758,gimbal,dynamic_easy,none,1.1200,19.10,0.76,-0.0723,-0.0095,1.0475,0.0119,2.638,SEARCH,0.0000,0.0000,0.0000,-0.1087
858,gimbal,dynamic_easy,none,1.1195,18.41,0.86,-0.0693,-0.0037,1.0500,0.0125,2.644,SEARCH,0.0000,0.0000,0.0000,-0.1069
958,gimbal,dynamic_easy,none,1.1181,17.45,0.96,-0.0655,0.0028,1.0526,0.0131,2.650,SEARCH,0.0000,0.0000,0.0000,-0.1051
1058,gimbal,dynamic_easy,none,1.1164,16.40,1.06,-0.0613,0.0098,1.0551,0.0138,2.655,SEARCH,0.0000,0.0000,0.0000,-0.1035
1158,gimbal,dynamic_easy,none,1.1150,15.37,1.16,-0.0573,0.0155,1.0577,0.0144,2.661,SEARCH,0.0000,0.0000,0.0000,-0.1018
1258,gimbal,dynamic_easy,none,1.1138,14.48,1.26,-0.0536,0.0204,1.0602,0.0151,2.666,SEARCH,0.0000,0.0000,0.0000,-0.1003
1358,gimbal,dynamic_easy,none,1.1141,13.77,1.36,-0.0513,0.0231,1.0628,0.0157,2.671,SEARCH,0.0000,0.0000,0.0000,-0.0987
1458,gimbal,dynamic_easy,none,1.1153,13.26,1.46,-0.0498,0.0246,1.0654,0.0164,2.676,SEARCH,0.0000,0.0000,0.0000,-0.0971
1558,gimbal,dynamic_easy,none,1.1170,13.00,1.56,-0.0489,0.0250,1.0681,0.0170,2.682,SEARCH,0.0000,0.0000,0.0000,-0.0954
1658,gimbal,dynamic_easy,none,1.1188,12.92,1.66,-0.0480,0.0234,1.0707,0.0177,2.687,SEARCH,0.0000,0.0000,0.0000,-0.0939
1758,gimbal,dynamic_easy,none,1.1205,13.01,1.76,-0.0471,0.0208,1.0734,0.0183,2.692,SEARCH,0.0000,0.0000,0.0000,-0.0923
1858,gimbal,dynamic_easy,none,1.1225,13.20,1.86,-0.0464,0.0174,1.0761,0.0190,2.697,SEARCH,0.0000,0.0000,0.0000,-0.0908
1958,gimbal,dynamic_easy,none,1.1252,13.47,1.96,-0.0464,0.0141,1.0788,0.0197,2.702,SEARCH,0.0000,0.0000,0.0000,-0.0893
2058,gimbal,dynamic_easy,none,1.1285,13.75,2.06,-0.0469,0.0108,1.0815,0.0204,2.707,SEARCH,0.0000,0.0000,0.0000,-0.0878
2158,gimbal,dynamic_easy,none,1.1318,14.03,2.16,-0.0475,0.0085,1.0843,0.0211,2.712,SEARCH,0.0000,0.0000,0.0000,-0.0863
2258,gimbal,dynamic_easy,none,1.1350,14.27,2.26,-0.0478,0.0071,1.0870,0.0218,2.717,SEARCH,0.0000,0.0000,0.0000,-0.0850
2359,gimbal,dynamic_easy,none,1.1375,14.44,2.36,-0.0476,0.0067,1.0898,0.0224,2.721,SEARCH,0.0000,0.0000,0.0000,-0.0836
2458,gimbal,dynamic_easy,none,1.1396,14.57,2.46,-0.0469,0.0066,1.0926,0.0232,2.725,SEARCH,0.0000,0.0000,0.0000,-0.0824
2558,gimbal,dynamic_easy,none,1.1415,14.62,2.56,-0.0459,0.0064,1.0954,0.0239,2.730,SEARCH,0.0000,0.0000,0.0000,-0.0810
2658,gimbal,dynamic_easy,none,1.1428,14.62,2.66,-0.0443,0.0058,1.0983,0.0246,2.734,SEARCH,0.0000,0.0000,0.0000,-0.0798
2758,gimbal,dynamic_easy,none,1.1438,14.58,2.76,-0.0425,0.0054,1.1012,0.0253,2.738,SEARCH,0.0000,0.0000,0.0000,-0.0786
2858,gimbal,dynamic_easy,none,1.1448,14.51,2.86,-0.0405,0.0051,1.1040,0.0260,2.742,SEARCH,0.0000,0.0000,0.0000,-0.0775
2958,gimbal,dynamic_easy,none,1.1460,14.43,2.96,-0.0388,0.0051,1.1069,0.0267,2.745,SEARCH,0.0000,0.0000,0.0000,-0.0765
3058,gimbal,dynamic_easy,none,1.1475,14.33,3.06,-0.0374,0.0054,1.1099,0.0275,2.749,SEARCH,0.0000,0.0000,0.0000,-0.0754
3158,gimbal,dynamic_easy,none,1.1497,14.24,3.16,-0.0367,0.0057,1.1128,0.0282,2.752,SEARCH,0.0000,0.0000,0.0000,-0.0744
3258,gimbal,dynamic_easy,none,1.1528,14.16,3.26,-0.0368,0.0061,1.1158,0.0289,2.756,SEARCH,0.0000,0.0000,0.0000,-0.0733
