time_ms,mode,scenario,wind_scenario,linear_error_m,rotation_error_deg,engagement_duration_s,drone_x,drone_y,target_x,target_y,altitude_m,state,last_cmd_pitch,last_cmd_roll,last_cmd_yaw_vel,last_cmd_thrust
16,gimbal,dynamic,gust1,1.0217,5.94,0.02,-0.0196,-0.0112,0.9127,0.4068,2.884,SEARCH,0.0000,0.0000,0.0000,-0.0348
116,gimbal,dynamic,gust1,1.0503,4.73,0.12,-0.0179,-0.0104,0.9447,0.4097,2.888,SEARCH,0.0000,0.0000,0.0000,-0.0337
216,gimbal,dynamic,gust1,1.0785,3.53,0.22,-0.0162,-0.0086,0.9770,0.4119,2.890,SEARCH,0.0000,0.0000,0.0000,-0.0329
316,gimbal,dynamic,gust1,1.1070,2.34,0.32,-0.0149,-0.0065,1.0094,0.4134,2.894,SEARCH,0.0000,0.0000,0.0000,-0.0319
416,gimbal,dynamic,gust1,1.1357,1.15,0.42,-0.0138,-0.0041,1.0421,0.4143,2.898,SEARCH,0.0000,0.0000,0.0000,-0.0306
516,gimbal,dynamic,gust1,1.1646,0.02,0.52,-0.0129,-0.0012,1.0749,0.4145,2.902,SEARCH,0.0000,0.0000,0.0000,-0.0295
616,gimbal,dynamic,gust1,1.1937,1.18,0.62,-0.0123,0.0016,1.1079,0.4141,2.907,SEARCH,0.0000,0.0000,0.0000,-0.0280
716,gimbal,dynamic,gust1,1.2226,2.32,0.72,-0.0111,0.0043,1.1412,0.4129,2.912,SEARCH,0.0000,0.0000,0.0000,-0.0265
816,gimbal,dynamic,gust1,1.2512,3.44,0.82,-0.0091,0.0059,1.1746,0.4112,2.918,SEARCH,0.0000,0.0000,0.0000,-0.0247
916,gimbal,dynamic,gust1,1.2792,4.53,0.92,-0.0062,0.0066,1.2082,0.4087,2.922,SEARCH,0.0000,0.0000,0.0000,-0.0233
1016,gimbal,dynamic,gust1,1.3076,-5.61,1.02,-0.0032,0.0064,1.2419,0.4056,2.930,SEARCH,0.0000,0.0000,0.0000,-0.0210
1116,gimbal,dynamic,gust1,1.3363,-6.65,1.12,-0.0004,0.0060,1.2759,0.4018,2.939,SEARCH,0.0000,0.0000,0.0000,-0.0182
1216,gimbal,dynamic,gust1,1.3659,-7.68,1.22,0.0016,0.0056,1.3101,0.3974,2.946,SEARCH,0.0000,0.0000,0.0000,-0.0161
1316,gimbal,dynamic,gust1,1.3961,-8.68,1.32,0.0029,0.0057,1.3444,0.3924,2.949,SEARCH,0.0000,0.0000,0.0000,-0.0153
1416,gimbal,dynamic,gust1,1.4266,-9.65,1.42,0.0039,0.0066,1.3789,0.3867,2.956,SEARCH,0.0000,0.0000,0.0000,-0.0133
1516,gimbal,dynamic,gust1,1.4574,10.59,1.52,0.0046,0.0076,1.4136,0.3804,2.961,SEARCH,0.0000,0.0000,0.0000,-0.0118
