time_ms,mode,scenario,wind_scenario,linear_error_m,rotation_error_deg,engagement_duration_s,drone_x,drone_y,target_x,target_y,altitude_m,state,last_cmd_pitch,last_cmd_roll,last_cmd_yaw_vel,last_cmd_thrust
95,gimbal,dynamic,mild,1.2411,-13.40,0.10,-0.0818,0.0202,1.1087,-0.3308,2.829,SEARCH,0.0000,0.0000,0.0000,-0.0512
195,gimbal,dynamic,mild,1.2796,-12.96,0.20,-0.0833,0.0182,1.1453,-0.3394,2.831,SEARCH,0.0000,0.0000,0.0000,-0.0506
295,gimbal,dynamic,mild,1.3172,-12.50,0.30,-0.0838,0.0166,1.1821,-0.3477,2.833,SEARCH,0.0000,0.0000,0.0000,-0.0500
395,gimbal,dynamic,mild,1.3546,-12.04,0.40,-0.0839,0.0150,1.2190,-0.3557,2.835,SEARCH,0.0000,0.0000,0.0000,-0.0495
495,gimbal,dynamic,mild,1.3913,-11.56,0.50,-0.0832,0.0138,1.2560,-0.3634,2.837,SEARCH,0.0000,0.0000,0.0000,-0.0490
595,gimbal,dynamic,mild,1.4279,-11.08,0.60,-0.0820,0.0130,1.2932,-0.3708,2.839,SEARCH,0.0000,0.0000,0.0000,-0.0484
695,gimbal,dynamic,mild,1.4640,-10.60,0.70,-0.0804,0.0127,1.3306,-0.3780,2.840,SEARCH,0.0000,0.0000,0.0000,-0.0479
795,gimbal,dynamic,mild,1.4997,-10.11,0.80,-0.0779,0.0132,1.3680,-0.3848,2.842,SEARCH,0.0000,0.0000,0.0000,-0.0473
895,gimbal,dynamic,mild,1.5346,-9.61,0.90,-0.0744,0.0141,1.4056,-0.3913,2.844,SEARCH,0.0000,0.0000,0.0000,-0.0467
995,gimbal,dynamic,mild,1.5696,-9.11,1.00,-0.0708,0.0158,1.4434,-0.3974,2.846,SEARCH,0.0000,0.0000,0.0000,-0.0461
1095,gimbal,dynamic,mild,1.6048,-8.60,1.10,-0.0671,0.0186,1.4812,-0.4033,2.848,SEARCH,0.0000,0.0000,0.0000,-0.0455
1195,gimbal,dynamic,mild,1.6410,-8.10,1.20,-0.0644,0.0216,1.5192,-0.4088,2.850,SEARCH,0.0000,0.0000,0.0000,-0.0449
1295,gimbal,dynamic,mild,1.6786,-7.59,1.30,-0.0631,0.0240,1.5573,-0.4140,2.853,SEARCH,0.0000,0.0000,0.0000,-0.0442
1395,gimbal,dynamic,mild,1.7168,-7.08,1.40,-0.0628,0.0256,1.5955,-0.4189,2.855,SEARCH,0.0000,0.0000,0.0000,-0.0436
1495,gimbal,dynamic,mild,1.7555,-6.57,1.50,-0.0631,0.0261,1.6338,-0.4234,2.857,SEARCH,0.0000,0.0000,0.0000,-0.0430
1595,gimbal,dynamic,mild,1.7950,-6.06,1.60,-0.0644,0.0261,1.6723,-0.4277,2.859,SEARCH,0.0000,0.0000,0.0000,-0.0424
1695,gimbal,dynamic,mild,1.8348,-5.56,1.70,-0.0660,0.0261,1.7108,-0.4315,2.861,SEARCH,0.0000,0.0000,0.0000,-0.0418
1795,gimbal,dynamic,mild,1.8750,-5.06,1.80,-0.0679,0.0262,1.7495,-0.4351,2.863,SEARCH,0.0000,0.0000,0.0000,-0.0412
1895,gimbal,dynamic,mild,1.9157,-4.56,1.90,-0.0703,0.0264,1.7882,-0.4383,2.864,SEARCH,0.0000,0.0000,0.0000,-0.0407
1995,gimbal,dynamic,mild,1.9560,-4.07,2.00,-0.0722,0.0265,1.8270,-0.4411,2.866,SEARCH,0.0000,0.0000,0.0000,-0.0402
