time_ms,mode,scenario,wind_scenario,linear_error_m,rotation_error_deg,engagement_duration_s,drone_x,drone_y,target_x,target_y,altitude_m,state,last_cmd_pitch,last_cmd_roll,last_cmd_yaw_vel,last_cmd_thrust
79,gimbal,dynamic,none,0.9995,-8.79,0.08,-0.0088,0.0100,0.9488,0.2966,2.791,SEARCH,0.0000,0.0000,0.0000,-0.0627
179,gimbal,dynamic,none,1.0465,-9.68,0.18,-0.0147,0.0150,0.9953,0.2888,2.792,SEARCH,0.0000,0.0000,0.0000,-0.0623
279,gimbal,dynamic,none,1.0929,-10.53,0.28,-0.0190,0.0192,1.0422,0.2803,2.793,SEARCH,0.0000,0.0000,0.0000,-0.0620
379,gimbal,dynamic,none,1.1395,-11.34,0.38,-0.0225,0.0228,1.0896,0.2710,2.794,SEARCH,0.0000,0.0000,0.0000,-0.0617
479,gimbal,dynamic,none,1.1860,-12.12,0.48,-0.0251,0.0258,1.1374,0.2610,2.795,SEARCH,0.0000,0.0000,0.0000,-0.0614
579,gimbal,dynamic,none,1.2326,-12.86,0.58,-0.0269,0.0284,1.1856,0.2501,2.796,SEARCH,0.0000,0.0000,0.0000,-0.0612
679,gimbal,dynamic,none,1.2795,-13.57,0.68,-0.0284,0.0314,1.2342,0.2386,2.797,SEARCH,0.0000,0.0000,0.0000,-0.0610
779,gimbal,dynamic,none,1.3271,-13.99,0.78,-0.0299,0.0349,1.2833,0.2263,2.797,SEARCH,0.0000,0.0000,0.0000,-0.0609
879,gimbal,dynamic,none,1.3755,-13.99,0.88,-0.0315,0.0387,1.3328,0.2140,2.797,SEARCH,0.0000,0.0000,0.0000,-0.0608
979,gimbal,dynamic,none,1.4245,-13.99,0.98,-0.0330,0.0428,1.3826,0.2015,2.798,SEARCH,0.0000,0.0000,0.0000,-0.0607
1079,gimbal,dynamic,none,1.4741,-14.00,1.08,-0.0344,0.0472,1.4329,0.1889,2.798,SEARCH,0.0000,0.0000,0.0000,-0.0606
1179,gimbal,dynamic,none,1.5244,-14.00,1.18,-0.0357,0.0519,1.4836,0.1763,2.798,SEARCH,0.0000,0.0000,0.0000,-0.0605
1279,gimbal,dynamic,none,1.5753,-14.01,1.28,-0.0370,0.0559,1.5346,0.1635,2.799,SEARCH,0.0000,0.0000,0.0000,-0.0604
1379,gimbal,dynamic,none,1.6271,-14.01,1.38,-0.0385,0.0599,1.5861,0.1507,2.799,SEARCH,0.0000,0.0000,0.0000,-0.0603
1479,gimbal,dynamic,none,1.6789,-14.02,1.48,-0.0394,0.0638,1.6379,0.1377,2.799,SEARCH,0.0000,0.0000,0.0000,-0.0602
1579,gimbal,dynamic,none,1.7306,-14.02,1.58,-0.0397,0.0678,1.6900,0.1247,2.800,SEARCH,0.0000,0.0000,0.0000,-0.0601
1679,gimbal,dynamic,none,1.7824,-14.02,1.68,-0.0393,0.0707,1.7426,0.1115,2.800,SEARCH,0.0000,0.0000,0.0000,-0.0600
1779,gimbal,dynamic,none,1.8343,-14.02,1.78,-0.0387,0.0726,1.7954,0.0983,2.801,SEARCH,0.0000,0.0000,0.0000,-0.0598
1879,gimbal,dynamic,none,1.8867,-14.02,1.88,-0.0380,0.0737,1.8487,0.0850,2.801,SEARCH,0.0000,0.0000,0.0000,-0.0597
1979,gimbal,dynamic,none,1.9401,-14.02,1.98,-0.0379,0.0746,1.9022,0.0716,2.801,STABILIZE_HIGH,-0.5660,0.0042,-0.4206,-0.0596
2079,gimbal,dynamic,none,1.9957,-13.99,2.08,-0.0395,0.0749,1.9561,0.0581,2.802,STABILIZE_HIGH,-0.5685,-0.0058,-0.4158,-0.0593
2179,gimbal,dynamic,none,2.0568,-13.91,2.18,-0.0462,0.0749,2.0104,0.0446,2.803,DESCEND_TO_LOW,-0.6457,-0.0131,-0.4125,-0.0590
2279,gimbal,dynamic,none,2.1242,-13.73,2.28,-0.0589,0.0745,2.0649,0.0309,2.803,DESCEND_TO_LOW,-1.0000,-0.0386,-0.4200,0.5000
2379,gimbal,dynamic,none,2.2022,-13.44,2.38,-0.0817,0.0744,2.1197,0.0172,2.787,DESCEND_TO_LOW,-1.0000,-0.0504,-0.4104,0.5000
2479,gimbal,dynamic,none,2.2888,-13.02,2.48,-0.1128,0.0745,2.1749,0.0034,2.757,DESCEND_TO_LOW,-1.0000,-0.0614,-0.3900,0.5000
2579,gimbal,dynamic,none,2.3898,-12.47,2.58,-0.1579,0.0746,2.2303,-0.0104,2.720,DESCEND_TO_LOW,-1.0000,-0.0729,-0.3900,0.5000
2679,gimbal,dynamic,none,2.4975,-11.79,2.68,-0.2094,0.0751,2.2861,-0.0243,2.677,DESCEND_TO_LOW,-1.0000,-0.0875,-0.3900,0.5000
2779,gimbal,dynamic,none,2.6189,-10.97,2.78,-0.2743,0.0770,2.3421,-0.0383,2.625,DESCEND_TO_LOW,-1.0000,-0.0598,-0.3708,0.5000
2879,gimbal,dynamic,none,2.7426,-10.04,2.88,-0.3411,0.0802,2.3983,-0.0524,2.571,DESCEND_TO_LOW,-1.0000,-0.0751,-0.3708,0.5000
2979,gimbal,dynamic,none,2.8783,-9.01,2.98,-0.4195,0.0850,2.4548,-0.0665,2.519,DESCEND_TO_LOW,-1.0000,-0.0924,-0.3708,0.5000
3079,gimbal,dynamic,none,3.0127,-7.94,3.08,-0.4962,0.0910,2.5116,-0.0807,2.460,HOLD,-1.0000,-0.0998,-0.3708,0.5000
3179,gimbal,dynamic,none,3.1583,-6.87,3.18,-0.5837,0.0989,2.5686,-0.0950,2.407,HOLD,-0.9500,-0.0948,0.0000,-0.0161
3279,gimbal,dynamic,none,3.3010,-5.89,3.28,-0.6680,0.1070,2.6259,-0.1093,2.373,HOLD,-0.9000,-0.0898,0.0000,-0.0263
3379,gimbal,dynamic,none,3.4527,-5.09,3.38,-0.7610,0.1163,2.6833,-0.1237,2.350,HOLD,-0.8500,-0.0848,0.0000,-0.0330
3479,gimbal,dynamic,none,3.5972,-4.49,3.48,-0.8465,0.1258,2.7410,-0.1381,2.339,HOLD,-0.8000,-0.0798,0.0000,-0.0365
3579,gimbal,dynamic,none,3.7467,-4.09,3.58,-0.9366,0.1373,2.7989,-0.1526,2.335,HOLD,-0.7499,-0.0748,0.0000,-0.0377
3679,gimbal,dynamic,none,3.8932,-3.90,3.68,-1.0233,0.1501,2.8570,-0.1671,2.334,HOLD,-0.7499,-0.0748,0.0000,-0.0377
3779,gimbal,dynamic,none,4.0300,-3.87,3.78,-1.0999,0.1629,2.9153,-0.1816,2.336,HOLD,-0.7124,-0.0711,0.0000,0.0004
3879,gimbal,dynamic,none,4.1634,-3.97,3.88,-1.1729,0.1764,2.9737,-0.1963,2.336,HOLD,-0.6749,-0.0673,0.0000,0.0003
3979,gimbal,dynamic,none,4.2995,-4.19,3.98,-1.2483,0.1910,3.0324,-0.2109,2.335,HOLD,-0.6375,-0.0636,0.0000,0.0001
4079,gimbal,dynamic,none,4.4321,-4.44,4.08,-1.3200,0.2052,3.0911,-0.2256,2.334,HOLD,-0.6000,-0.0599,0.0000,-0.0002
4179,gimbal,dynamic,none,4.5563,-4.73,4.18,-1.3831,0.2173,3.1501,-0.2403,2.333,HOLD,-0.5625,-0.0561,0.0000,-0.0006
4279,gimbal,dynamic,none,4.6777,-4.99,4.28,-1.4436,0.2278,3.2091,-0.2551,2.332,HOLD,-0.5249,-0.0524,0.0000,-0.0007
4379,gimbal,dynamic,none,4.8017,-5.23,4.38,-1.5065,0.2374,3.2683,-0.2699,2.332,DESCEND_TO_LOW,-0.5063,-0.0505,0.0000,-0.0006
4479,gimbal,dynamic,none,4.9184,-5.44,4.48,-1.5622,0.2446,3.3277,-0.2847,2.330,DESCEND_TO_LOW,1.0000,0.2832,-0.1902,0.5000
4579,gimbal,dynamic,none,5.0325,-4.93,4.58,-1.6153,0.2509,3.3871,-0.2992,2.312,HOLD,1.0000,0.2789,-0.1902,0.5000
4679,gimbal,dynamic,none,5.1269,-4.28,4.68,-1.6487,0.2556,3.4466,-0.3129,2.284,HOLD,0.9500,0.2650,0.0000,-0.0081
4779,gimbal,dynamic,none,5.2022,-3.51,4.78,-1.6628,0.2599,3.5062,-0.3259,2.272,HOLD,0.9001,0.2510,0.0000,-0.0120
4879,gimbal,dynamic,none,5.2560,-2.68,4.88,-1.6555,0.2632,3.5660,-0.3382,2.265,HOLD,0.8500,0.2371,0.0000,-0.0141
4979,gimbal,dynamic,none,5.2899,-1.78,4.98,-1.6282,0.2658,3.6257,-0.3496,2.260,HOLD,0.8000,0.2231,0.0000,-0.0156
5079,gimbal,dynamic,none,5.3114,-0.82,5.08,-1.5886,0.2672,3.6856,-0.3603,2.254,HOLD,0.7500,0.2092,0.0000,-0.0173
5179,gimbal,dynamic,none,5.3175,0.19,5.18,-1.5337,0.2674,3.7455,-0.3702,2.247,HOLD,0.7000,0.1952,0.0000,-0.0192
5279,gimbal,dynamic,none,5.3201,1.27,5.28,-1.4754,0.2657,3.8054,-0.3792,2.240,HOLD,0.6500,0.1813,0.0000,-0.0214
5379,gimbal,dynamic,none,5.3130,2.41,5.38,-1.4078,0.2618,3.8654,-0.3873,2.234,HOLD,0.6000,0.1673,0.0000,-0.0232
5479,gimbal,dynamic,none,5.3089,3.56,5.48,-1.3436,0.2559,3.9253,-0.3945,2.228,HOLD,0.5500,0.1534,0.0000,-0.0251
5579,gimbal,dynamic,none,5.2997,4.68,5.58,-1.2745,0.2481,3.9853,-0.4009,2.223,HOLD,0.5000,0.1395,0.0000,-0.0265
5679,gimbal,dynamic,none,5.2981,5.70,5.68,-1.2132,0.2401,4.0453,-0.4063,2.218,HOLD,0.0000,0.0000,0.0000,0.5000
5779,gimbal,dynamic,none,5.2970,6.61,5.78,-1.1526,0.2315,4.1053,-0.4107,2.200,HOLD,0.0000,0.0000,0.0000,0.5000
5879,gimbal,dynamic,none,5.3082,7.40,5.88,-1.1045,0.2238,4.1653,-0.4142,2.171,HOLD,0.0000,0.0000,0.0000,0.5000
5979,gimbal,dynamic,none,5.3252,8.10,5.98,-1.0623,0.2154,4.2252,-0.4167,2.138,HOLD,0.0000,0.0000,0.0000,0.5000
6079,gimbal,dynamic,none,5.3540,8.75,6.08,-1.0321,0.2078,4.2851,-0.4182,2.096,HOLD,0.0000,0.0000,0.0000,0.5000
6179,gimbal,dynamic,none,5.3891,9.38,6.18,-1.0085,0.1997,4.3450,-0.4188,2.055,HOLD,0.0000,0.0000,0.0000,0.5000
6279,gimbal,dynamic,none,5.4335,10.05,6.28,-0.9943,0.1926,4.4048,-0.4184,2.012,HOLD,0.0000,0.0000,0.0000,0.5000
6379,gimbal,dynamic,none,5.4831,10.75,6.38,-0.9853,0.1856,4.4645,-0.4169,1.962,HOLD,0.0000,0.0000,0.0000,0.5000
6479,gimbal,dynamic,none,5.5378,11.53,6.48,-0.9816,0.1799,4.5242,-0.4145,1.910,HOLD,0.0000,0.0000,0.0000,0.5000
6579,gimbal,dynamic,none,5.5956,12.38,6.58,-0.9812,0.1742,4.5838,-0.4111,1.861,HOLD,0.0000,0.0000,0.0000,0.5000
6679,gimbal,dynamic,none,5.6560,13.29,6.68,-0.9833,0.1702,4.6432,-0.4066,1.810,HOLD,0.0000,0.0000,0.0000,0.5000
6779,gimbal,dynamic,none,5.7192,14.27,6.78,-0.9882,0.1674,4.7026,-0.4012,1.754,HOLD,0.0000,0.0000,0.0000,0.5000
6879,gimbal,dynamic,none,5.7836,15.29,6.88,-0.9945,0.1661,4.7618,-0.3948,1.702,HOLD,0.0000,0.0000,0.0000,0.5000
6979,gimbal,dynamic,none,5.8478,16.34,6.98,-1.0007,0.1656,4.8210,-0.3874,1.647,HOLD,0.0000,0.0000,0.0000,0.5000
7079,gimbal,dynamic,none,5.9116,17.39,7.08,-1.0065,0.1657,4.8799,-0.3791,1.595,HOLD,0.0000,0.0000,0.0000,0.5000
7179,gimbal,dynamic,none,5.9751,18.44,7.18,-1.0122,0.1665,4.9388,-0.3698,1.540,HOLD,0.0000,0.0000,0.0000,0.5000
7279,gimbal,dynamic,none,6.0374,19.46,7.28,-1.0169,0.1677,4.9975,-0.3595,1.488,HOLD,0.0000,0.0000,0.0000,0.5000
7379,gimbal,dynamic,none,6.0989,20.46,7.38,-1.0209,0.1698,5.0560,-0.3484,1.431,HOLD,0.0000,0.0000,0.0000,0.5000
7479,gimbal,dynamic,none,6.1591,21.41,7.48,-1.0237,0.1729,5.1143,-0.3363,1.374,HOLD,0.0000,0.0000,0.0000,0.5000
7579,gimbal,dynamic,none,6.2173,22.32,7.58,-1.0247,0.1763,5.1725,-0.3233,1.321,HOLD,0.0000,0.0000,0.0000,0.5000
7679,gimbal,dynamic,none,6.2739,23.19,7.68,-1.0244,0.1796,5.2304,-0.3095,1.268,HOLD,0.0000,0.0000,0.0000,0.5000
7779,gimbal,dynamic,none,6.3290,23.51,7.78,-1.0227,0.1833,5.2882,-0.2951,1.211,HOLD,0.0000,0.0000,0.0000,0.5000
7879,gimbal,dynamic,none,6.3831,23.50,7.88,-1.0202,0.1868,5.3457,-0.2807,1.154,HOLD,0.0000,0.0000,0.0000,0.5000
7979,gimbal,dynamic,none,6.4358,23.47,7.98,-1.0165,0.1904,5.4031,-0.2663,1.101,HOLD,0.0000,0.0000,0.0000,0.5000
8079,gimbal,dynamic,none,6.4879,23.43,8.08,-1.0125,0.1935,5.4602,-0.2521,1.044,HOLD,0.0000,0.0000,0.0000,0.5000
8179,gimbal,dynamic,none,6.5399,23.40,8.18,-1.0084,0.1966,5.5170,-0.2378,0.991,HOLD,0.0000,0.0000,0.0000,0.5000
