time_ms,mode,scenario,wind_scenario,linear_error_m,rotation_error_deg,engagement_duration_s,drone_x,drone_y,target_x,target_y,altitude_m,state
20,gimbal,dynamic,none,1.4745,4.78,0.02,-0.0700,0.0534,1.3159,-0.4500,1.469,STABILIZE_HIGH
119,gimbal,dynamic,none,1.5114,4.31,0.12,-0.0682,0.0509,1.3566,-0.4532,1.469,HOLD
220,gimbal,dynamic,none,1.5494,3.86,0.22,-0.0673,0.0483,1.3976,-0.4561,1.469,HOLD
320,gimbal,dynamic,none,1.5890,3.41,0.32,-0.0675,0.0464,1.4391,-0.4586,1.469,HOLD
420,gimbal,dynamic,none,1.6298,2.98,0.42,-0.0686,0.0444,1.4809,-0.4609,1.469,HOLD
520,gimbal,dynamic,none,1.6715,2.56,0.52,-0.0701,0.0428,1.5231,-0.4629,1.468,HOLD
620,gimbal,dynamic,none,1.7142,2.15,0.62,-0.0722,0.0415,1.5656,-0.4645,1.468,STABILIZE_HIGH
721,gimbal,dynamic,none,1.7575,1.76,0.72,-0.0745,0.0401,1.6085,-0.4659,1.468,HOLD
820,gimbal,dynamic,none,1.8007,1.38,0.82,-0.0765,0.0387,1.6517,-0.4671,1.468,HOLD
920,gimbal,dynamic,none,1.8438,-1.00,0.92,-0.0779,0.0372,1.6953,-0.4679,1.468,HOLD
1020,gimbal,dynamic,none,1.8872,-0.64,1.02,-0.0793,0.0360,1.7392,-0.4685,1.468,HOLD
1120,gimbal,dynamic,none,1.9310,-0.29,1.12,-0.0807,0.0347,1.7835,-0.4689,1.468,HOLD
1220,gimbal,dynamic,none,1.9757,0.05,1.22,-0.0828,0.0332,1.8280,-0.4690,1.467,STABILIZE_HIGH
1320,gimbal,dynamic,none,2.0208,0.37,1.32,-0.0848,0.0324,1.8729,-0.4688,1.467,STABILIZE_HIGH
1420,gimbal,dynamic,none,2.0662,0.66,1.42,-0.0866,0.0323,1.9180,-0.4685,1.466,STABILIZE_HIGH
1520,gimbal,dynamic,none,2.1119,0.93,1.52,-0.0882,0.0327,1.9635,-0.4679,1.467,HOLD
1620,gimbal,dynamic,none,2.1579,1.18,1.62,-0.0899,0.0334,2.0092,-0.4671,1.467,STABILIZE_HIGH
1720,gimbal,dynamic,none,2.2039,1.41,1.72,-0.0912,0.0341,2.0552,-0.4661,1.467,HOLD
1820,gimbal,dynamic,none,2.2501,1.61,1.82,-0.0922,0.0354,2.1015,-0.4650,1.468,STABILIZE_HIGH
1920,gimbal,dynamic,none,2.2961,1.79,1.92,-0.0927,0.0374,2.1480,-0.4637,1.467,HOLD
2020,gimbal,dynamic,none,2.3417,1.96,2.02,-0.0924,0.0399,2.1948,-0.4622,1.467,STABILIZE_HIGH
2120,gimbal,dynamic,none,2.3861,2.10,2.12,-0.0907,0.0424,2.2418,-0.4606,1.467,STABILIZE_HIGH
