time_ms,mode,scenario,wind_scenario,linear_error_m,rotation_error_deg,engagement_duration_s,drone_x,drone_y,target_x,target_y,altitude_m,state,last_cmd_pitch,last_cmd_roll,last_cmd_yaw_vel,last_cmd_thrust
83,gimbal,dynamic,strong,1.2388,14.05,0.08,-0.0078,-0.0148,1.2047,-0.2687,2.850,SEARCH,0.0000,0.0000,0.0000,-0.0450
183,gimbal,dynamic,strong,1.2574,14.05,0.18,-0.0067,-0.0143,1.2258,-0.2634,2.852,SEARCH,0.0000,0.0000,0.0000,-0.0443
283,gimbal,dynamic,strong,1.2764,14.04,0.28,-0.0057,-0.0128,1.2469,-0.2581,2.855,SEARCH,0.0000,0.0000,0.0000,-0.0436
384,gimbal,dynamic,strong,1.2956,14.04,0.38,-0.0050,-0.0107,1.2679,-0.2529,2.857,SEARCH,0.0000,0.0000,0.0000,-0.0429
483,gimbal,dynamic,strong,1.3151,14.03,0.48,-0.0043,-0.0082,1.2888,-0.2477,2.859,SEARCH,0.0000,0.0000,0.0000,-0.0422
583,gimbal,dynamic,strong,1.3342,14.03,0.58,-0.0035,-0.0054,1.3096,-0.2424,2.862,SEARCH,0.0000,0.0000,0.0000,-0.0414
683,gimbal,dynamic,strong,1.3532,14.03,0.68,-0.0023,-0.0023,1.3303,-0.2373,2.864,SEARCH,0.0000,0.0000,0.0000,-0.0407
783,gimbal,dynamic,strong,1.3719,14.04,0.78,-0.0010,0.0008,1.3510,-0.2321,2.867,SEARCH,0.0000,0.0000,0.0000,-0.0399
883,gimbal,dynamic,strong,1.3901,14.04,0.88,0.0007,0.0038,1.3715,-0.2270,2.870,SEARCH,0.0000,0.0000,0.0000,-0.0391
984,gimbal,dynamic,strong,1.4079,14.04,0.98,0.0029,0.0065,1.3921,-0.2218,2.872,SEARCH,0.0000,0.0000,0.0000,-0.0383
1083,gimbal,dynamic,strong,1.4258,14.05,1.08,0.0046,0.0081,1.4125,-0.2167,2.874,SEARCH,0.0000,0.0000,0.0000,-0.0377
1183,gimbal,dynamic,strong,1.4438,14.05,1.18,0.0061,0.0087,1.4329,-0.2116,2.877,SEARCH,0.0000,0.0000,0.0000,-0.0370
1283,gimbal,dynamic,strong,1.4615,14.06,1.28,0.0077,0.0086,1.4533,-0.2065,2.879,SEARCH,0.0000,0.0000,0.0000,-0.0364
1383,gimbal,dynamic,strong,1.4792,14.06,1.38,0.0093,0.0078,1.4736,-0.2014,2.881,SEARCH,0.0000,0.0000,0.0000,-0.0358
1483,gimbal,dynamic,strong,1.4975,14.06,1.48,0.0102,0.0066,1.4938,-0.1964,2.882,SEARCH,0.0000,0.0000,0.0000,-0.0353
1583,gimbal,dynamic,strong,1.5166,14.06,1.58,0.0103,0.0052,1.5140,-0.1913,2.884,SEARCH,0.0000,0.0000,0.0000,-0.0347
1683,gimbal,dynamic,strong,1.5363,14.06,1.68,0.0098,0.0043,1.5342,-0.1863,2.886,SEARCH,0.0000,0.0000,0.0000,-0.0342
1783,gimbal,dynamic,strong,1.5565,14.06,1.78,0.0088,0.0032,1.5544,-0.1813,2.888,SEARCH,0.0000,0.0000,0.0000,-0.0336
1883,gimbal,dynamic,strong,1.5767,14.05,1.88,0.0079,0.0019,1.5745,-0.1762,2.890,SEARCH,0.0000,0.0000,0.0000,-0.0331
1983,gimbal,dynamic,strong,1.5968,14.05,1.98,0.0070,0.0007,1.5945,-0.1712,2.891,SEARCH,0.0000,0.0000,0.0000,-0.0326
2083,gimbal,dynamic,strong,1.6173,14.05,2.08,0.0058,0.0001,1.6146,-0.1662,2.893,SEARCH,0.0000,0.0000,0.0000,-0.0322
2183,gimbal,dynamic,strong,1.6379,14.05,2.18,0.0046,-0.0004,1.6346,-0.1612,2.894,SEARCH,0.0000,0.0000,0.0000,-0.0317
2283,gimbal,dynamic,strong,1.6578,14.04,2.28,0.0041,-0.0006,1.6546,-0.1562,2.895,SEARCH,0.0000,0.0000,0.0000,-0.0314
2384,gimbal,dynamic,strong,1.6774,14.04,2.38,0.0041,-0.0002,1.6747,-0.1512,2.897,SEARCH,0.0000,0.0000,0.0000,-0.0310
2483,gimbal,dynamic,strong,1.6965,14.04,2.48,0.0045,0.0005,1.6947,-0.1462,2.898,SEARCH,0.0000,0.0000,0.0000,-0.0306
2583,gimbal,dynamic,strong,1.7153,14.04,2.58,0.0053,0.0017,1.7147,-0.1412,2.899,SEARCH,0.0000,0.0000,0.0000,-0.0303
2683,gimbal,dynamic,strong,1.7342,14.04,2.68,0.0060,0.0028,1.7347,-0.1362,2.900,SEARCH,0.0000,0.0000,0.0000,-0.0299
2783,gimbal,dynamic,strong,1.7534,14.04,2.78,0.0064,0.0033,1.7547,-0.1312,2.901,SEARCH,0.0000,0.0000,0.0000,-0.0296
2883,gimbal,dynamic,strong,1.7731,14.04,2.88,0.0064,0.0035,1.7747,-0.1262,2.903,SEARCH,0.0000,0.0000,0.0000,-0.0292
2983,gimbal,dynamic,strong,1.7926,14.04,2.98,0.0064,0.0035,1.7947,-0.1212,2.904,SEARCH,0.0000,0.0000,0.0000,-0.0289
3083,gimbal,dynamic,strong,1.8120,14.04,3.08,0.0066,0.0026,1.8148,-0.1162,2.905,SEARCH,0.0000,0.0000,0.0000,-0.0285
3183,gimbal,dynamic,strong,1.8313,14.04,3.18,0.0070,0.0012,1.8348,-0.1111,2.906,SEARCH,0.0000,0.0000,0.0000,-0.0281
3283,gimbal,dynamic,strong,1.8499,14.04,3.28,0.0081,-0.0001,1.8549,-0.1061,2.908,SEARCH,0.0000,0.0000,0.0000,-0.0277
3383,gimbal,dynamic,strong,1.8678,14.04,3.38,0.0099,-0.0013,1.8750,-0.1011,2.909,SEARCH,0.0000,0.0000,0.0000,-0.0274
3483,gimbal,dynamic,strong,1.8850,14.04,3.48,0.0125,-0.0026,1.8952,-0.0960,2.910,SEARCH,0.0000,0.0000,0.0000,-0.0270
3583,gimbal,dynamic,strong,1.9027,14.04,3.58,0.0147,-0.0039,1.9154,-0.0910,2.911,SEARCH,0.0000,0.0000,0.0000,-0.0267
3683,gimbal,dynamic,strong,1.9209,14.04,3.68,0.0164,-0.0053,1.9356,-0.0859,2.912,SEARCH,0.0000,0.0000,0.0000,-0.0264
3783,gimbal,dynamic,strong,1.9398,14.04,3.78,0.0175,-0.0071,1.9559,-0.0809,2.913,SEARCH,0.0000,0.0000,0.0000,-0.0260
3884,gimbal,dynamic,strong,1.9601,13.10,3.88,0.0173,-0.0090,1.9762,-0.0759,2.914,SEARCH,0.0000,0.0000,0.0000,-0.0257
3983,gimbal,dynamic,strong,1.9808,10.67,3.98,0.0167,-0.0110,1.9966,-0.0718,2.916,SEARCH,0.0000,0.0000,0.0000,-0.0253
4083,gimbal,dynamic,strong,2.0018,8.18,4.08,0.0159,-0.0127,2.0170,-0.0685,2.917,SEARCH,0.0000,0.0000,0.0000,-0.0250
4183,gimbal,dynamic,strong,2.0228,5.63,4.18,0.0153,-0.0138,2.0375,-0.0662,2.918,SEARCH,0.0000,0.0000,0.0000,-0.0247
4283,gimbal,dynamic,strong,2.0434,3.05,4.28,0.0153,-0.0148,2.0581,-0.0648,2.919,SEARCH,0.0000,0.0000,0.0000,-0.0244
4383,gimbal,dynamic,strong,2.0635,0.45,4.38,0.0158,-0.0154,2.0787,-0.0643,2.920,SEARCH,0.0000,0.0000,0.0000,-0.0241
4483,gimbal,dynamic,strong,2.0842,2.16,4.48,0.0157,-0.0154,2.0994,-0.0648,2.920,SEARCH,0.0000,0.0000,0.0000,-0.0239
4583,gimbal,dynamic,strong,2.1061,4.75,4.58,0.0146,-0.0153,2.1201,-0.0662,2.921,SEARCH,0.0000,0.0000,0.0000,-0.0237
4683,gimbal,dynamic,strong,2.1284,7.31,4.68,0.0133,-0.0149,2.1410,-0.0686,2.922,SEARCH,0.0000,0.0000,0.0000,-0.0235
4783,gimbal,dynamic,strong,2.1511,9.82,4.78,0.0116,-0.0146,2.1619,-0.0719,2.922,SEARCH,0.0000,0.0000,0.0000,-0.0233
4883,gimbal,dynamic,strong,2.1739,12.27,4.88,0.0099,-0.0148,2.1829,-0.0761,2.923,SEARCH,0.0000,0.0000,0.0000,-0.0231
4983,gimbal,dynamic,strong,2.1964,-14.04,4.98,0.0087,-0.0151,2.2041,-0.0813,2.924,SEARCH,0.0000,0.0000,0.0000,-0.0229
5084,gimbal,dynamic,strong,2.2188,-14.03,5.08,0.0076,-0.0153,2.2253,-0.0866,2.925,STABILIZE_HIGH,-0.5769,-0.0973,-0.8286,-0.0226
5183,gimbal,dynamic,strong,2.2419,-14.02,5.18,0.0060,-0.0152,2.2466,-0.0919,2.926,STABILIZE_HIGH,-0.5766,-0.0973,-0.8286,-0.0222
5283,gimbal,dynamic,strong,2.2682,-13.90,5.28,0.0012,-0.0154,2.2679,-0.0972,2.927,STABILIZE_HIGH,-0.5762,-0.0981,-0.8286,-0.0218
5383,gimbal,dynamic,strong,2.3009,-13.59,5.38,-0.0099,-0.0162,2.2894,-0.1026,2.928,STABILIZE_HIGH,-0.7922,-0.1282,-0.8208,-0.0215
5483,gimbal,dynamic,strong,2.3409,-13.03,5.48,-0.0281,-0.0175,2.3111,-0.1080,2.929,STABILIZE_HIGH,-0.8825,-0.1258,-0.8028,-0.0213
5583,gimbal,dynamic,strong,2.3900,-12.22,5.58,-0.0554,-0.0189,2.3328,-0.1134,2.929,STABILIZE_HIGH,-0.9090,-0.1217,-0.7308,-0.0213
5683,gimbal,dynamic,strong,2.4524,-11.04,5.68,-0.0958,-0.0204,2.3546,-0.1189,2.928,DESCEND_TO_LOW,-0.9116,-0.0748,-0.6696,0.5000
5783,gimbal,dynamic,strong,2.5238,-9.73,5.78,-0.1451,-0.0213,2.3766,-0.1244,2.916,DESCEND_TO_LOW,-0.8800,-0.0558,-0.6576,0.5000
5883,gimbal,dynamic,strong,2.5981,-8.11,5.88,-0.1972,-0.0211,2.3986,-0.1299,2.878,DESCEND_TO_LOW,-0.8914,-0.0858,-0.6576,0.5000
5983,gimbal,dynamic,strong,2.6790,-6.45,5.98,-0.2556,-0.0195,2.4208,-0.1354,2.825,DESCEND_TO_LOW,-0.5801,0.1254,-0.3750,0.5000
6084,gimbal,dynamic,strong,2.7709,-4.58,6.08,-0.3250,-0.0163,2.4431,-0.1410,2.767,HOLD,-0.5405,0.1471,-0.2520,0.5000
6183,gimbal,dynamic,strong,2.8617,-2.84,6.18,-0.3929,-0.0107,2.4656,-0.1466,2.714,HOLD,-0.5270,0.1434,-0.2457,-0.0158
6284,gimbal,dynamic,strong,2.9597,-1.09,6.28,-0.4676,-0.0002,2.4882,-0.1523,2.692,DESCEND_TO_LOW,-0.5203,0.1416,-0.2426,-0.0204
6383,gimbal,dynamic,strong,3.0506,0.36,6.38,-0.5349,0.0136,2.5109,-0.1580,2.687,DESCEND_TO_LOW,0.2077,0.5504,0.0750,0.5000
6483,gimbal,dynamic,strong,3.1433,1.71,6.48,-0.6034,0.0320,2.5337,-0.1637,2.656,DESCEND_TO_LOW,0.4333,0.6507,0.1302,0.5000
6583,gimbal,dynamic,strong,3.2225,2.78,6.58,-0.6581,0.0533,2.5567,-0.1694,2.615,DESCEND_TO_LOW,0.7185,0.7710,0.2226,0.5000
6683,gimbal,dynamic,strong,3.2922,3.49,6.68,-0.7023,0.0826,2.5799,-0.1752,2.567,DESCEND_TO_LOW,0.9749,0.8675,0.2862,0.5000
6783,gimbal,dynamic,strong,3.3427,3.77,6.78,-0.7261,0.1191,2.6032,-0.1810,2.522,DESCEND_TO_LOW,1.0000,0.9156,0.2604,0.5000
6883,gimbal,dynamic,strong,3.3715,3.59,6.88,-0.7271,0.1583,2.6266,-0.1869,2.473,DESCEND_TO_LOW,1.0000,0.9216,0.2784,0.5000
6983,gimbal,dynamic,strong,3.3783,2.94,6.98,-0.7044,0.2066,2.6502,-0.1928,2.418,DESCEND_TO_LOW,1.0000,0.8623,0.2658,0.5000
7083,gimbal,dynamic,strong,3.3678,2.01,7.08,-0.6631,0.2554,2.6739,-0.1987,2.362,DESCEND_TO_LOW,1.0000,0.7508,0.2310,0.5000
7183,gimbal,dynamic,strong,3.3367,0.97,7.18,-0.5988,0.3108,2.6978,-0.2047,2.299,DESCEND_TO_LOW,1.0000,0.6563,0.1734,0.5000
7283,gimbal,dynamic,strong,3.2969,-0.16,7.28,-0.5248,0.3621,2.7219,-0.2107,2.240,DESCEND_TO_LOW,1.0000,0.4065,0.0456,0.5000
7383,gimbal,dynamic,strong,3.2411,-1.12,7.38,-0.4329,0.4147,2.7461,-0.2168,2.176,DESCEND_TO_LOW,1.0000,0.3908,0.0456,0.5000
7483,gimbal,dynamic,strong,3.1838,-1.94,7.48,-0.3397,0.4575,2.7705,-0.2229,2.113,DESCEND_TO_LOW,1.0000,0.3758,0.0456,0.5000
7583,gimbal,dynamic,strong,3.1139,-2.46,7.58,-0.2333,0.4960,2.7951,-0.2290,2.057,DESCEND_TO_LOW,1.0000,-0.0616,-0.0894,0.5000
7683,gimbal,dynamic,strong,3.0485,-2.78,7.68,-0.1328,0.5234,2.8198,-0.2352,2.004,DESCEND_TO_LOW,1.0000,-0.1328,-0.1074,0.5000
7783,gimbal,dynamic,strong,2.9738,-2.91,7.78,-0.0239,0.5426,2.8447,-0.2414,1.948,DESCEND_TO_LOW,1.0000,-0.3108,-0.1242,0.5000
7883,gimbal,dynamic,strong,2.9068,-2.90,7.88,0.0746,0.5501,2.8698,-0.2477,1.898,DESCEND_TO_LOW,1.0000,-0.4280,-0.1866,0.5000
7983,gimbal,dynamic,strong,2.8331,-2.80,7.98,0.1772,0.5460,2.8950,-0.2540,1.845,DESCEND_TO_LOW,1.0000,-0.4753,-0.1764,0.5000
8084,gimbal,dynamic,strong,2.7684,-2.57,8.08,0.2674,0.5303,2.9204,-0.2603,1.796,STABILIZE_LOW,1.0000,-0.4775,-0.1764,0.5000
8183,gimbal,dynamic,strong,2.6970,-2.26,8.18,0.3607,0.5014,2.9460,-0.2667,1.742,STABILIZE_LOW,1.0000,-0.4775,-0.1764,0.5000
8283,gimbal,dynamic,strong,2.6350,-1.92,8.28,0.4421,0.4643,2.9718,-0.2732,1.693,STABILIZE_LOW,1.0000,-0.4434,-0.1062,0.0578
8383,gimbal,dynamic,strong,2.5679,-1.55,8.38,0.5250,0.4129,2.9978,-0.2797,1.666,STABILIZE_LOW,1.0000,-0.3812,-0.0948,0.0497
8483,gimbal,dynamic,strong,2.5102,-1.19,8.48,0.5979,0.3585,3.0239,-0.2862,1.655,STABILIZE_LOW,1.0000,-0.2621,-0.0828,0.0466
8583,gimbal,dynamic,strong,2.4477,-0.89,8.58,0.6742,0.2954,3.0502,-0.2928,1.648,STABILIZE_LOW,1.0000,-0.2400,-0.0900,0.0444
8683,gimbal,dynamic,strong,2.3938,-0.63,8.68,0.7435,0.2357,3.0767,-0.2994,1.642,STABILIZE_LOW,0.9557,-0.0978,-0.0522,0.0426
8783,gimbal,dynamic,strong,2.3351,-0.45,8.78,0.8179,0.1724,3.1035,-0.3061,1.637,TERMINAL_LAND,0.9574,-0.0955,-0.0522,0.0000
8883,gimbal,dynamic,strong,2.2843,-0.34,8.88,0.8869,0.1177,3.1303,-0.3128,1.634,TERMINAL_LAND,0.8796,0.1300,-0.0270,0.0000
8983,gimbal,dynamic,strong,2.2282,-0.31,8.98,0.9624,0.0636,3.1574,-0.3196,1.634,TERMINAL_LAND,0.8660,0.1820,0.0336,0.0000
9083,gimbal,dynamic,strong,2.1800,-0.33,9.08,1.0324,0.0200,3.1847,-0.3264,1.635,TERMINAL_LAND,0.8863,0.2215,-0.0144,0.0000
9183,gimbal,dynamic,strong,2.1269,-0.38,9.18,1.1085,-0.0194,3.2122,-0.3333,1.636,TERMINAL_LAND,0.8553,0.3237,-0.0108,0.0000
9283,gimbal,dynamic,strong,2.0808,-0.46,9.28,1.1796,-0.0481,3.2398,-0.3402,1.637,TERMINAL_LAND,0.8731,0.3303,-0.0036,0.0000
9383,gimbal,dynamic,strong,2.0280,-0.55,9.38,1.2587,-0.0704,3.2677,-0.3472,1.638,TERMINAL_LAND,0.8802,0.3508,-0.0258,0.0000
9483,gimbal,dynamic,strong,1.9809,-0.66,9.48,1.3335,-0.0826,3.2958,-0.3542,1.639,TERMINAL_LAND,0.8706,0.3499,-0.0390,0.0000
9583,gimbal,dynamic,strong,1.9265,-0.76,9.58,1.4171,-0.0873,3.3240,-0.3612,1.638,TERMINAL_LAND,0.8932,0.3476,-0.0438,0.0000
9683,gimbal,dynamic,strong,1.8775,-0.82,9.68,1.4965,-0.0850,3.3525,-0.3684,1.636,TERMINAL_LAND,0.8698,0.3041,-0.0522,0.0000
9783,gimbal,dynamic,strong,1.8216,-0.85,9.78,1.5840,-0.0774,3.3811,-0.3755,1.634,TERMINAL_LAND,0.9031,0.2803,-0.0360,0.0000
9883,gimbal,dynamic,strong,1.7722,-0.83,9.88,1.6660,-0.0670,3.4099,-0.3827,1.632,TERMINAL_LAND,0.9037,0.2805,-0.0360,0.0000
9983,gimbal,dynamic,strong,1.7160,-0.77,9.98,1.7562,-0.0537,3.4390,-0.3900,1.629,TERMINAL_LAND,0.8858,0.1315,-0.0636,0.0000
10083,gimbal,dynamic,strong,1.6664,-0.66,10.08,1.8405,-0.0407,3.4682,-0.3973,1.627,TERMINAL_LAND,0.8742,0.0727,-0.0516,0.0000
10183,gimbal,dynamic,strong,1.6172,-0.53,10.18,1.9249,-0.0281,3.4977,-0.4047,1.624,TERMINAL_LAND,0.8692,0.0384,-0.0252,0.0000
10283,gimbal,dynamic,strong,1.5625,-0.37,10.28,2.0158,-0.0164,3.5273,-0.4121,1.622,TERMINAL_LAND,0.8696,0.0399,-0.0252,0.0000
10383,gimbal,dynamic,strong,1.5154,-0.21,10.38,2.0985,-0.0084,3.5572,-0.4195,1.620,TERMINAL_LAND,0.8379,-0.0886,-0.0084,0.0000
10483,gimbal,dynamic,strong,1.4624,-0.05,10.48,2.1874,-0.0037,3.5872,-0.4270,1.618,TERMINAL_LAND,0.8518,-0.0942,-0.0120,0.0000
10583,gimbal,dynamic,strong,1.4161,0.09,10.58,2.2683,-0.0040,3.6174,-0.4346,1.616,TERMINAL_LAND,0.8101,-0.1647,-0.0066,0.0000
10683,gimbal,dynamic,strong,1.3643,0.22,10.68,2.3538,-0.0101,3.6479,-0.4422,1.614,TERMINAL_LAND,0.8219,-0.1699,-0.0084,0.0000
10783,gimbal,dynamic,strong,1.3131,0.30,10.78,2.4371,-0.0220,3.6785,-0.4499,1.612,TERMINAL_LAND,0.8081,-0.1915,0.0114,0.0000
10883,gimbal,dynamic,strong,1.2686,0.36,10.88,2.5122,-0.0379,3.7094,-0.4576,1.609,TERMINAL_LAND,0.7607,-0.2064,0.0186,0.0000
10983,gimbal,dynamic,strong,1.2240,0.38,10.98,2.5860,-0.0583,3.7404,-0.4653,1.606,TERMINAL_LAND,0.7613,-0.2062,0.0186,0.0000
11083,gimbal,dynamic,strong,1.1734,0.38,11.08,2.6644,-0.0846,3.7716,-0.4732,1.604,TERMINAL_LAND,0.7347,-0.1939,0.0168,0.0000
11183,gimbal,dynamic,strong,1.1231,2.10,11.18,2.7411,-0.1150,3.8031,-0.4803,1.602,TERMINAL_LAND,0.7163,-0.1703,0.0744,0.0000
11283,gimbal,dynamic,strong,1.0793,3.85,11.28,2.8106,-0.1459,3.8347,-0.4865,1.601,TERMINAL_LAND,0.7003,-0.1308,0.2070,0.0000
11383,gimbal,dynamic,strong,1.0300,5.61,11.38,2.8844,-0.1813,3.8665,-0.4917,1.600,TERMINAL_LAND,0.6924,-0.1100,0.2748,0.0000
11483,gimbal,dynamic,strong,0.9877,7.32,11.48,2.9518,-0.2145,3.8986,-0.4959,1.600,TERMINAL_LAND,0.6755,-0.0653,0.3630,0.0000
11583,gimbal,dynamic,strong,0.9403,8.97,11.58,3.0241,-0.2498,3.9308,-0.4991,1.601,TERMINAL_LAND,0.6868,-0.0367,0.4302,0.0000
11683,gimbal,dynamic,strong,0.9004,10.49,11.68,3.0903,-0.2802,3.9632,-0.5012,1.602,TERMINAL_LAND,0.6681,0.0116,0.5472,0.0000
11783,gimbal,dynamic,strong,0.8558,11.88,11.78,3.1619,-0.3100,3.9958,-0.5023,1.604,TERMINAL_LAND,0.6378,0.0675,0.6588,0.0000
11883,gimbal,dynamic,strong,0.8183,13.11,11.88,3.2277,-0.3344,4.0286,-0.5024,1.606,TERMINAL_LAND,0.6210,0.1138,0.7758,0.0000
