time_ms,mode,scenario,linear_error_m,rotation_error_deg,engagement_duration_s,drone_x,drone_y,target_x,target_y,altitude_m,state,last_cmd_pitch,last_cmd_roll,last_cmd_yaw_vel,last_cmd_thrust
9,gimbal,static,5.2146,0.01,0.01,4.7854,0.0076,10.0000,0.0000,2.774,SEARCH,2.6189,-0.0038,0.0000,-0.0678
109,gimbal,static,5.1221,0.00,0.11,4.8779,0.0078,10.0000,0.0000,2.776,SEARCH,2.5688,-0.0039,0.0000,-0.0672
209,gimbal,static,5.0222,0.01,0.21,4.9778,0.0083,10.0000,0.0000,2.778,SEARCH,2.5226,-0.0040,0.0000,-0.0666
309,gimbal,static,4.9301,0.01,0.31,5.0699,0.0090,10.0000,0.0000,2.780,SEARCH,2.4727,-0.0045,0.0000,-0.0659
409,gimbal,static,4.8300,0.01,0.41,5.1700,0.0095,10.0000,0.0000,2.783,SEARCH,2.4266,-0.0048,0.0000,-0.0652
509,gimbal,static,4.7369,0.02,0.51,5.2631,0.0094,10.0000,0.0000,2.785,SEARCH,2.3762,-0.0047,0.0000,-0.0646
609,gimbal,static,4.6435,0.02,0.61,5.3565,0.0090,10.0000,0.0000,2.787,SEARCH,2.3296,-0.0046,0.0000,-0.0640
709,gimbal,static,4.5418,0.03,0.71,5.4582,0.0084,10.0000,0.0000,2.789,SEARCH,2.2826,-0.0043,0.0000,-0.0634
809,gimbal,static,4.4397,0.03,0.81,5.5603,0.0073,10.0000,0.0000,2.791,SEARCH,2.2317,-0.0038,0.0000,-0.0628
909,gimbal,static,4.3449,0.03,0.91,5.6551,0.0064,10.0000,0.0000,2.793,SEARCH,2.1803,-0.0033,0.0000,-0.0622
1009,gimbal,static,4.2424,0.03,1.01,5.7576,0.0056,10.0000,0.0000,2.795,SEARCH,2.1330,-0.0029,0.0000,-0.0616
1109,gimbal,static,4.1479,0.03,1.11,5.8521,0.0044,10.0000,0.0000,2.797,SEARCH,2.0818,-0.0023,0.0000,-0.0610
1209,gimbal,static,4.0454,0.02,1.21,5.9546,0.0028,10.0000,0.0000,2.799,SEARCH,2.0345,-0.0016,0.0000,-0.0604
1309,gimbal,static,3.9508,0.02,1.31,6.0492,0.0014,10.0000,0.0000,2.801,DESCEND_TO_LOW,1.9872,-0.0009,0.0000,-0.0597
1409,gimbal,static,3.8487,0.02,1.41,6.1513,0.0002,10.0000,0.0000,2.802,DESCEND_TO_LOW,0.9211,0.0055,0.0036,0.5000
1509,gimbal,static,3.7545,0.01,1.51,6.2455,0.0003,10.0000,0.0000,2.776,DESCEND_TO_LOW,0.8492,0.0000,0.0000,0.5000
1609,gimbal,static,3.6522,0.01,1.61,6.3478,0.0013,10.0000,0.0000,2.733,DESCEND_TO_LOW,0.7851,0.0054,0.0036,0.5000
1709,gimbal,static,3.5582,0.01,1.71,6.4418,0.0034,10.0000,0.0000,2.680,DESCEND_TO_LOW,0.7606,0.0050,0.0390,0.5000
1809,gimbal,static,3.4576,0.02,1.81,6.5424,0.0062,10.0000,0.0000,2.629,DESCEND_TO_LOW,0.6949,-0.0001,-0.0000,0.5000
1909,gimbal,static,3.3671,0.05,1.91,6.6329,0.0085,10.0000,0.0000,2.574,DESCEND_TO_LOW,0.6498,-0.0001,-0.0000,0.5000
2009,gimbal,static,3.2725,0.10,2.01,6.7276,0.0110,10.0000,0.0000,2.524,DESCEND_TO_LOW,0.6606,-0.0005,-0.0000,0.5000
2109,gimbal,static,3.1890,0.16,2.11,6.8111,0.0134,10.0000,0.0000,2.470,DESCEND_TO_LOW,0.5692,-0.0066,0.0576,0.5000
2209,gimbal,static,3.1030,0.23,2.21,6.8970,0.0165,10.0000,0.0000,2.421,DESCEND_TO_LOW,0.5176,-0.0161,0.0204,0.5000
2309,gimbal,static,3.0281,0.30,2.31,6.9720,0.0206,10.0000,0.0000,2.368,DESCEND_TO_LOW,0.4683,-0.0360,-0.0252,0.5000
2409,gimbal,static,2.9579,0.35,2.41,7.0422,0.0260,10.0000,0.0000,2.319,DESCEND_TO_LOW,0.4453,-0.0412,-0.0006,0.5000
2509,gimbal,static,2.8874,0.40,2.51,7.1128,0.0321,10.0000,0.0000,2.267,DESCEND_TO_LOW,0.4524,-0.0421,-0.0006,0.5000
2609,gimbal,static,2.8227,0.44,2.61,7.1775,0.0380,10.0000,0.0000,2.219,DESCEND_TO_LOW,0.4315,-0.0656,-0.0192,0.5000
2709,gimbal,static,2.7671,0.47,2.71,7.2332,0.0430,10.0000,0.0000,2.167,DESCEND_TO_LOW,0.4358,-0.0703,0.0042,0.5000
2809,gimbal,static,2.7108,0.48,2.81,7.2896,0.0475,10.0000,0.0000,2.118,DESCEND_TO_LOW,0.4604,-0.0841,-0.0342,0.5000
2909,gimbal,static,2.6614,0.48,2.91,7.3391,0.0510,10.0000,0.0000,2.065,DESCEND_TO_LOW,0.4824,-0.0887,-0.0384,0.5000
3009,gimbal,static,2.6097,0.45,3.01,7.3908,0.0537,10.0000,0.0000,2.016,DESCEND_TO_LOW,0.5155,-0.0933,-0.0180,0.5000
3109,gimbal,static,2.5628,0.39,3.11,7.4378,0.0554,10.0000,0.0000,1.963,DESCEND_TO_LOW,0.5759,-0.0972,-0.0216,0.5000
3209,gimbal,static,2.5118,0.33,3.21,7.4888,0.0557,10.0000,0.0000,1.913,DESCEND_TO_LOW,0.6280,-0.1012,-0.0270,0.5000
3309,gimbal,static,2.4641,0.25,3.31,7.5365,0.0546,10.0000,0.0000,1.859,DESCEND_TO_LOW,0.6722,-0.0908,-0.0204,0.5000
3409,gimbal,static,2.4106,0.16,3.41,7.5899,0.0518,10.0000,0.0000,1.804,DESCEND_TO_LOW,0.6984,-0.0901,-0.0216,0.5000
3509,gimbal,static,2.3586,0.07,3.51,7.6419,0.0481,10.0000,0.0000,1.753,STABILIZE_LOW,0.7080,-0.0906,-0.0216,0.0759
3609,gimbal,static,2.2989,0.01,3.61,7.7015,0.0429,10.0000,0.0000,1.711,STABILIZE_LOW,0.7636,-0.0703,0.0120,0.0633
3709,gimbal,static,2.2400,0.09,3.71,7.7603,0.0369,10.0000,0.0000,1.692,STABILIZE_LOW,0.7378,-0.0498,-0.0174,0.0577
3809,gimbal,static,2.1778,0.15,3.81,7.8224,0.0302,10.0000,0.0000,1.682,STABILIZE_LOW,0.6819,-0.0322,0.0348,0.0546
