time_ms,mode,scenario,wind_scenario,linear_error_m,rotation_error_deg,engagement_duration_s,drone_x,drone_y,target_x,target_y,altitude_m,state,last_cmd_pitch,last_cmd_roll,last_cmd_yaw_vel,last_cmd_thrust
71,gimbal,static,gust3,4.8066,0.04,0.07,5.1934,-0.0189,10.0000,0.0000,2.720,SEARCH,2.4112,0.0099,0.0000,-0.0841
171,gimbal,static,gust3,4.7123,0.05,0.17,5.2877,-0.0133,10.0000,0.0000,2.731,SEARCH,2.3640,0.0071,0.0000,-0.0808
271,gimbal,static,gust3,4.6106,0.06,0.27,5.3894,-0.0069,10.0000,0.0000,2.743,SEARCH,2.3170,0.0042,0.0000,-0.0771
371,gimbal,static,gust3,4.5169,0.06,0.37,5.4831,-0.0013,10.0000,0.0000,2.756,SEARCH,2.2663,0.0011,0.0000,-0.0731
471,gimbal,static,gust3,4.4160,0.05,0.47,5.5840,0.0038,10.0000,0.0000,2.769,SEARCH,2.2158,-0.0016,0.0000,-0.0693
571,gimbal,static,gust3,4.3235,0.04,0.57,5.6765,0.0079,10.0000,0.0000,2.777,SEARCH,2.1695,-0.0036,0.0000,-0.0669
671,gimbal,static,gust3,4.2238,0.03,0.67,5.7762,0.0118,10.0000,0.0000,2.786,SEARCH,2.1234,-0.0055,0.0000,-0.0642
771,gimbal,static,gust3,4.1322,0.02,0.77,5.8679,0.0149,10.0000,0.0000,2.785,SEARCH,2.0737,-0.0072,0.0000,-0.0644
871,gimbal,static,gust3,4.0329,0.00,0.87,5.9671,0.0175,10.0000,0.0000,2.785,SEARCH,2.0279,-0.0085,0.0000,-0.0646
971,gimbal,static,gust3,3.9415,0.01,0.97,6.0586,0.0190,10.0000,0.0000,2.782,SEARCH,1.9783,-0.0094,0.0000,-0.0654
1071,gimbal,static,gust3,3.8432,0.02,1.07,6.1568,0.0203,10.0000,0.0000,2.784,DESCEND_TO_LOW,0.9378,-0.0169,0.0344,1.0000
