time_ms,mode,scenario,wind_scenario,linear_error_m,rotation_error_deg,engagement_duration_s,drone_x,drone_y,target_x,target_y,altitude_m,state,last_cmd_pitch,last_cmd_roll,last_cmd_yaw_vel,last_cmd_thrust
99,gimbal,static,mild,4.9811,0.06,0.10,5.0190,-0.0161,10.0000,0.0000,2.765,SEARCH,2.5295,0.0092,0.0000,-0.0706
199,gimbal,static,mild,4.8791,0.06,0.20,5.1209,-0.0125,10.0000,0.0000,2.767,SEARCH,2.4788,0.0076,0.0000,-0.0698
298,gimbal,static,mild,4.7841,0.05,0.30,5.2159,-0.0088,10.0000,0.0000,2.770,SEARCH,2.4317,0.0059,0.0000,-0.0690
399,gimbal,static,mild,4.6879,0.04,0.40,5.3121,-0.0056,10.0000,0.0000,2.772,SEARCH,2.3801,0.0040,0.0000,-0.0683
498,gimbal,static,mild,4.5828,0.03,0.50,5.4172,-0.0031,10.0000,0.0000,2.775,SEARCH,2.3318,0.0025,0.0000,-0.0675
598,gimbal,static,mild,4.4779,0.01,0.60,5.5221,-0.0017,10.0000,0.0000,2.777,SEARCH,2.2793,0.0013,0.0000,-0.0668
698,gimbal,static,mild,4.3812,0.00,0.70,5.6188,-0.0008,10.0000,0.0000,2.780,SEARCH,2.2309,0.0008,0.0000,-0.0660
798,gimbal,static,mild,4.2768,0.02,0.80,5.7232,-0.0003,10.0000,0.0000,2.782,SEARCH,2.1785,0.0003,0.0000,-0.0653
898,gimbal,static,mild,4.1805,0.03,0.90,5.8195,0.0002,10.0000,0.0000,2.785,SEARCH,2.1304,0.0001,0.0000,-0.0646
999,gimbal,static,mild,4.0765,0.04,1.00,5.9235,0.0012,10.0000,0.0000,2.787,SEARCH,2.0783,-0.0002,0.0000,-0.0638
1098,gimbal,static,mild,3.9804,0.03,1.10,6.0196,0.0033,10.0000,0.0000,2.790,SEARCH,2.0302,-0.0007,0.0000,-0.0631
1198,gimbal,static,mild,3.8759,0.02,1.20,6.1241,0.0072,10.0000,0.0000,2.792,SEARCH,1.9782,-0.0020,0.0000,-0.0624
1298,gimbal,static,mild,3.7794,0.00,1.30,6.2206,0.0115,10.0000,0.0000,2.794,SEARCH,1.9299,-0.0039,0.0000,-0.0618
1399,gimbal,static,mild,3.6749,0.01,1.40,6.3251,0.0163,10.0000,0.0000,2.796,SEARCH,1.8776,-0.0063,0.0000,-0.0611
1498,gimbal,static,mild,3.5789,0.03,1.50,6.4212,0.0211,10.0000,0.0000,2.798,DESCEND_TO_LOW,0.7655,-0.0105,-0.0066,0.5000
1598,gimbal,static,mild,3.4750,0.04,1.60,6.5251,0.0266,10.0000,0.0000,2.790,DESCEND_TO_LOW,0.6820,-0.0157,-0.0102,0.5000
1698,gimbal,static,mild,3.3806,0.05,1.70,6.6196,0.0314,10.0000,0.0000,2.755,DESCEND_TO_LOW,0.5660,-0.0212,0.0204,0.5000
1798,gimbal,static,mild,3.2818,0.04,1.80,6.7184,0.0357,10.0000,0.0000,2.707,DESCEND_TO_LOW,0.4513,-0.0262,0.0162,0.5000
1898,gimbal,static,mild,3.1965,0.02,1.90,6.8037,0.0391,10.0000,0.0000,2.659,DESCEND_TO_LOW,0.3490,-0.0267,0.0456,0.5000
1998,gimbal,static,mild,3.1182,0.02,2.00,6.8821,0.0424,10.0000,0.0000,2.606,DESCEND_TO_LOW,0.2849,-0.0365,0.0072,0.5000
2098,gimbal,static,mild,3.0419,0.08,2.10,6.9585,0.0458,10.0000,0.0000,2.558,DESCEND_TO_LOW,0.1755,-0.0461,-0.0024,0.5000
2198,gimbal,static,mild,2.9752,0.15,2.20,7.0252,0.0490,10.0000,0.0000,2.506,DESCEND_TO_LOW,0.1246,-0.0559,-0.0108,0.5000
2299,gimbal,static,mild,2.9227,0.23,2.30,7.0778,0.0515,10.0000,0.0000,2.459,DESCEND_TO_LOW,0.1264,-0.0566,-0.0108,0.5000
2398,gimbal,static,mild,2.8746,0.30,2.40,7.1259,0.0540,10.0000,0.0000,2.407,DESCEND_TO_LOW,0.0889,-0.0701,-0.0222,0.5000
2498,gimbal,static,mild,2.8377,0.34,2.50,7.1629,0.0564,10.0000,0.0000,2.359,DESCEND_TO_LOW,0.1032,-0.0707,0.0066,0.5000
2598,gimbal,static,mild,2.8040,0.36,2.60,7.1966,0.0586,10.0000,0.0000,2.307,DESCEND_TO_LOW,0.1660,-0.0852,-0.0072,0.5000
2698,gimbal,static,mild,2.7773,0.36,2.70,7.2234,0.0596,10.0000,0.0000,2.258,DESCEND_TO_LOW,0.2404,-0.0900,-0.0108,0.5000
2798,gimbal,static,mild,2.7518,0.33,2.80,7.2489,0.0596,10.0000,0.0000,2.205,DESCEND_TO_LOW,0.3444,-0.0946,-0.0414,0.5000
2898,gimbal,static,mild,2.7299,0.28,2.90,7.2707,0.0585,10.0000,0.0000,2.155,DESCEND_TO_LOW,0.4060,-0.0905,-0.0120,0.5000
2998,gimbal,static,mild,2.7078,0.20,3.00,7.2928,0.0570,10.0000,0.0000,2.101,DESCEND_TO_LOW,0.5647,-0.0897,-0.0114,0.5000
3098,gimbal,static,mild,2.6814,0.09,3.10,7.3191,0.0550,10.0000,0.0000,2.051,DESCEND_TO_LOW,0.6866,-0.0846,-0.0090,0.5000
3198,gimbal,static,mild,2.6530,0.03,3.20,7.3475,0.0528,10.0000,0.0000,1.995,DESCEND_TO_LOW,0.8103,-0.0789,-0.0300,0.5000
3299,gimbal,static,mild,2.6161,0.16,3.30,7.3844,0.0501,10.0000,0.0000,1.944,DESCEND_TO_LOW,0.9091,-0.0646,0.0282,0.5000
3398,gimbal,static,mild,2.5707,0.30,3.40,7.4297,0.0468,10.0000,0.0000,1.887,DESCEND_TO_LOW,0.9989,-0.0534,-0.0126,0.5000
3498,gimbal,static,mild,2.5206,0.42,3.50,7.4798,0.0436,10.0000,0.0000,1.834,DESCEND_TO_LOW,1.0000,-0.0436,0.0162,0.5000
3599,gimbal,static,mild,2.4571,0.52,3.60,7.5432,0.0400,10.0000,0.0000,1.775,STABILIZE_LOW,1.0000,-0.0341,0.0222,0.5000
3698,gimbal,static,mild,2.3896,0.58,3.70,7.6107,0.0366,10.0000,0.0000,1.721,STABILIZE_LOW,1.0000,-0.0187,0.0090,0.0663
3799,gimbal,static,mild,2.3131,0.61,3.80,7.6871,0.0334,10.0000,0.0000,1.688,STABILIZE_LOW,1.0000,-0.0094,0.0366,0.0563
3898,gimbal,static,mild,2.2224,0.60,3.90,7.7778,0.0307,10.0000,0.0000,1.670,STABILIZE_LOW,1.0000,-0.0005,0.0420,0.0511
3998,gimbal,static,mild,2.1262,0.56,4.00,7.8740,0.0286,10.0000,0.0000,1.657,STABILIZE_LOW,1.0000,-0.0007,0.0420,0.0470
4098,gimbal,static,mild,2.0343,0.49,4.10,7.9659,0.0270,10.0000,0.0000,1.646,STABILIZE_LOW,1.0000,-0.0013,0.0420,0.0437
4198,gimbal,static,mild,1.9329,0.38,4.20,8.0672,0.0251,10.0000,0.0000,1.635,TERMINAL_LAND,0.6098,0.0033,0.0408,0.0000
4299,gimbal,static,mild,1.8404,0.26,4.30,8.1598,0.0233,10.0000,0.0000,1.628,TERMINAL_LAND,0.5428,-0.0008,0.0186,0.0000
4398,gimbal,static,mild,1.7436,0.13,4.40,8.2565,0.0214,10.0000,0.0000,1.626,TERMINAL_LAND,0.4011,-0.0047,0.0138,0.0000
4499,gimbal,static,mild,1.6600,0.02,4.50,8.3402,0.0195,10.0000,0.0000,1.625,TERMINAL_LAND,0.2716,-0.0083,0.0102,0.0000
4598,gimbal,static,mild,1.5785,0.17,4.60,8.4216,0.0173,10.0000,0.0000,1.626,TERMINAL_LAND,0.1228,-0.0154,0.0024,0.0000
4699,gimbal,static,mild,1.5130,0.32,4.70,8.4871,0.0154,10.0000,0.0000,1.629,TERMINAL_LAND,0.0243,-0.0185,-0.0012,0.0000
4799,gimbal,static,mild,1.4530,0.49,4.80,8.5470,0.0138,10.0000,0.0000,1.632,TERMINAL_LAND,-0.0246,-0.0215,-0.0048,0.0000
4898,gimbal,static,mild,1.4083,0.63,4.90,8.5917,0.0125,10.0000,0.0000,1.636,TERMINAL_LAND,-0.0695,-0.0280,-0.0270,0.0000
4998,gimbal,static,mild,1.3717,0.75,5.00,8.6284,0.0112,10.0000,0.0000,1.639,TERMINAL_LAND,-0.0742,-0.0342,-0.0480,0.0000
5098,gimbal,static,mild,1.3481,0.83,5.10,8.6519,0.0102,10.0000,0.0000,1.641,TERMINAL_LAND,-0.0606,-0.0339,-0.0474,0.0000
5199,gimbal,static,mild,1.3318,0.85,5.20,8.6682,0.0088,10.0000,0.0000,1.642,TERMINAL_LAND,0.0158,-0.0373,-0.0486,0.0000
5299,gimbal,static,mild,1.3234,0.82,5.30,8.6767,0.0075,10.0000,0.0000,1.643,TERMINAL_LAND,0.0979,-0.0372,-0.0468,0.0000
5398,gimbal,static,mild,1.3190,0.71,5.40,8.6810,0.0069,10.0000,0.0000,1.642,TERMINAL_LAND,0.1474,-0.0369,-0.0612,0.0000
5499,gimbal,static,mild,1.3165,0.55,5.50,8.6835,0.0067,10.0000,0.0000,1.640,TERMINAL_LAND,0.3005,-0.0336,-0.0408,0.0000
5599,gimbal,static,mild,1.3128,0.33,5.60,8.6872,0.0073,10.0000,0.0000,1.639,TERMINAL_LAND,0.3523,-0.0296,-0.0528,0.0000
5699,gimbal,static,mild,1.3069,0.09,5.70,8.6932,0.0085,10.0000,0.0000,1.637,TERMINAL_LAND,0.4984,-0.0198,-0.0138,0.0000
5798,gimbal,static,mild,1.2961,0.18,5.80,8.7039,0.0101,10.0000,0.0000,1.634,TERMINAL_LAND,0.5898,-0.0157,-0.0258,0.0000
5899,gimbal,static,mild,1.2772,0.45,5.90,8.7228,0.0120,10.0000,0.0000,1.632,TERMINAL_LAND,0.6646,-0.0029,0.0132,0.0000
5998,gimbal,static,mild,1.2494,0.67,6.00,8.7507,0.0137,10.0000,0.0000,1.629,TERMINAL_LAND,0.7266,0.0035,0.0318,0.0000
