time_ms,mode,scenario,wind_scenario,linear_error_m,rotation_error_deg,engagement_duration_s,drone_x,drone_y,target_x,target_y,altitude_m,state,last_cmd_pitch,last_cmd_roll,last_cmd_yaw_vel,last_cmd_thrust
81,gimbal,static,none,4.6145,0.02,0.08,5.3857,0.0396,10.0000,0.0000,2.824,SEARCH,2.3149,-0.0199,0.0000,-0.0529
181,gimbal,static,none,4.5129,0.00,0.18,5.4872,0.0381,10.0000,0.0000,2.826,SEARCH,2.2642,-0.0192,0.0000,-0.0521
281,gimbal,static,none,4.4112,0.02,0.28,5.5890,0.0350,10.0000,0.0000,2.829,SEARCH,2.2173,-0.0179,0.0000,-0.0514
381,gimbal,static,none,4.3173,0.04,0.38,5.6829,0.0315,10.0000,0.0000,2.831,SEARCH,2.1703,-0.0162,0.0000,-0.0508
481,gimbal,static,none,4.2231,0.05,0.48,5.7770,0.0279,10.0000,0.0000,2.832,SEARCH,2.1193,-0.0142,0.0000,-0.0504
581,gimbal,static,none,4.1207,0.06,0.58,5.8793,0.0240,10.0000,0.0000,2.833,SEARCH,2.0682,-0.0123,0.0000,-0.0501
681,gimbal,static,none,4.0179,0.05,0.68,5.9822,0.0201,10.0000,0.0000,2.834,SEARCH,2.0208,-0.0105,0.0000,-0.0499
781,gimbal,static,none,3.9231,0.04,0.78,6.0770,0.0162,10.0000,0.0000,2.834,SEARCH,1.9694,-0.0084,0.0000,-0.0498
881,gimbal,static,none,3.8206,0.03,0.88,6.1794,0.0117,10.0000,0.0000,2.834,SEARCH,1.9221,-0.0063,0.0000,-0.0497
982,gimbal,static,none,3.7262,0.02,0.98,6.2738,0.0083,10.0000,0.0000,2.834,DESCEND_TO_LOW,1.8709,-0.0044,0.0000,-0.0497
1081,gimbal,static,none,3.6240,0.01,1.08,6.3760,0.0056,10.0000,0.0000,2.834,HOLD,1.0000,-0.0079,-0.0018,0.5000
1181,gimbal,static,none,3.5301,0.01,1.18,6.4699,0.0039,10.0000,0.0000,2.816,DESCEND_TO_LOW,0.9751,-0.0077,0.0000,-0.0025
1281,gimbal,static,none,3.4289,0.01,1.28,6.5711,0.0029,10.0000,0.0000,2.800,DESCEND_TO_LOW,0.8515,-0.0038,-0.0189,0.5000
1381,gimbal,static,none,3.3364,0.02,1.38,6.6636,0.0027,10.0000,0.0000,2.772,HOLD,0.8148,0.0000,0.0000,0.5000
1481,gimbal,static,none,3.2376,0.02,1.48,6.7624,0.0027,10.0000,0.0000,2.735,HOLD,0.7741,0.0000,0.0000,-0.0113
1581,gimbal,static,none,3.1489,0.02,1.58,6.8511,0.0025,10.0000,0.0000,2.713,DESCEND_TO_LOW,0.5013,-0.0036,0.0159,0.5000
1682,gimbal,static,none,3.0624,0.00,1.68,6.9376,0.0018,10.0000,0.0000,2.694,HOLD,0.5013,-0.0036,0.0159,0.5000
1781,gimbal,static,none,2.9719,0.03,1.78,7.0281,0.0009,10.0000,0.0000,2.667,DESCEND_TO_LOW,0.4888,-0.0035,0.0000,-0.0048
1881,gimbal,static,none,2.8867,0.06,1.88,7.1133,0.0003,10.0000,0.0000,2.653,HOLD,0.1304,-0.0034,0.0153,0.5000
1981,gimbal,static,none,2.8129,0.10,1.98,7.1871,0.0001,10.0000,0.0000,2.624,HOLD,0.1239,-0.0033,0.0000,-0.0087
2081,gimbal,static,none,2.7422,0.14,2.08,7.2578,0.0003,10.0000,0.0000,2.614,HOLD,0.1174,-0.0031,0.0000,-0.0116
2181,gimbal,static,none,2.6858,0.20,2.18,7.3142,0.0004,10.0000,0.0000,2.610,DESCEND_TO_LOW,0.1141,-0.0030,0.0000,-0.0123
2281,gimbal,static,none,2.6334,0.25,2.28,7.3666,0.0005,10.0000,0.0000,2.608,DESCEND_TO_LOW,-0.4477,-0.0158,-0.0201,0.5000
2381,gimbal,static,none,2.5923,0.31,2.38,7.4077,0.0007,10.0000,0.0000,2.598,HOLD,-0.4364,-0.0154,0.0000,-0.0013
2481,gimbal,static,none,2.5578,0.35,2.48,7.4422,0.0008,10.0000,0.0000,2.578,HOLD,-0.4141,-0.0146,0.0000,-0.0073
2581,gimbal,static,none,2.5376,0.37,2.58,7.4624,0.0015,10.0000,0.0000,2.566,HOLD,-0.3917,-0.0138,0.0000,-0.0109
2681,gimbal,static,none,2.5284,0.36,2.68,7.4716,0.0035,10.0000,0.0000,2.560,DESCEND_TO_LOW,-0.3806,-0.0134,0.0000,-0.0120
2782,gimbal,static,none,2.5295,0.32,2.78,7.4705,0.0068,10.0000,0.0000,2.556,DESCEND_TO_LOW,-0.3806,-0.0134,0.0000,-0.0120
2881,gimbal,static,none,2.5399,0.25,2.88,7.4601,0.0114,10.0000,0.0000,2.554,DESCEND_TO_LOW,-0.5789,-0.0309,-0.0093,0.5000
2981,gimbal,static,none,2.5549,0.15,2.98,7.4451,0.0168,10.0000,0.0000,2.534,DESCEND_TO_LOW,-0.5789,-0.0318,-0.0093,0.5000
3081,gimbal,static,none,2.5770,0.06,3.08,7.4231,0.0236,10.0000,0.0000,2.501,DESCEND_TO_LOW,-0.4023,-0.0431,-0.0129,0.5000
3181,gimbal,static,none,2.6028,0.05,3.18,7.3973,0.0306,10.0000,0.0000,2.457,HOLD,-0.3922,-0.0421,0.0000,-0.0074
3281,gimbal,static,none,2.6365,0.14,3.28,7.3637,0.0386,10.0000,0.0000,2.423,DESCEND_TO_LOW,-0.3822,-0.0410,0.0000,-0.0146
3381,gimbal,static,none,2.6716,0.22,3.38,7.3288,0.0461,10.0000,0.0000,2.398,HOLD,-0.3726,-0.0399,0.0000,-0.0021
3481,gimbal,static,none,2.7086,0.28,3.48,7.2920,0.0535,10.0000,0.0000,2.385,DESCEND_TO_LOW,-0.3631,-0.0389,0.0000,-0.0045
3581,gimbal,static,none,2.7495,0.32,3.58,7.2512,0.0614,10.0000,0.0000,2.380,DESCEND_TO_LOW,-0.3631,-0.0389,0.0000,-0.0045
