time_ms,mode,scenario,wind_scenario,linear_error_m,rotation_error_deg,engagement_duration_s,drone_x,drone_y,target_x,target_y,altitude_m,state
100,gimbal,static,none,4.7251,0.07,0.10,5.2749,-0.0069,10.0000,0.0000,4.762,DESCEND_TO_1M
200,gimbal,static,none,4.6147,0.06,0.20,5.3853,-0.0056,10.0000,0.0000,4.747,DESCEND_TO_1M
300,gimbal,static,none,4.5159,0.06,0.30,5.4841,-0.0037,10.0000,0.0000,4.723,DESCEND_TO_1M
400,gimbal,static,none,4.4268,0.05,0.40,5.5732,-0.0013,10.0000,0.0000,4.688,DESCEND_TO_1M
500,gimbal,static,none,4.3678,0.06,0.50,5.6322,0.0014,10.0000,0.0000,4.650,DESCEND_TO_1M
600,gimbal,static,none,4.3025,0.12,0.60,5.6975,0.0063,10.0000,0.0000,4.609,DESCEND_TO_1M
700,gimbal,static,none,4.2629,0.21,0.70,5.7371,0.0118,10.0000,0.0000,4.561,DESCEND_TO_1M
800,gimbal,static,none,4.2460,0.30,0.80,5.7540,0.0159,10.0000,0.0000,4.509,DESCEND_TO_1M
900,gimbal,static,none,4.2411,0.42,0.90,5.7590,0.0223,10.0000,0.0000,4.459,DESCEND_TO_1M
1000,gimbal,static,none,4.2505,0.48,1.00,5.7495,0.0268,10.0000,0.0000,4.401,DESCEND_TO_1M
1101,gimbal,static,none,4.2813,0.50,1.10,5.7188,0.0342,10.0000,0.0000,4.345,DESCEND_TO_1M
1200,gimbal,static,none,4.3216,0.42,1.20,5.6786,0.0417,10.0000,0.0000,4.283,DESCEND_TO_1M
1300,gimbal,static,none,4.3670,0.29,1.30,5.6333,0.0490,10.0000,0.0000,4.225,DESCEND_TO_1M
1400,gimbal,static,none,4.4229,0.11,1.40,5.5775,0.0585,10.0000,0.0000,4.163,DESCEND_TO_1M
1500,gimbal,static,none,4.4694,0.07,1.50,5.5311,0.0672,10.0000,0.0000,4.108,DESCEND_TO_1M
1600,gimbal,static,none,4.5400,0.32,1.60,5.4607,0.0811,10.0000,0.0000,4.049,DESCEND_TO_1M
1700,gimbal,static,none,4.5931,0.50,1.70,5.4078,0.0923,10.0000,0.0000,3.997,DESCEND_TO_1M
1800,gimbal,static,none,4.6409,0.60,1.80,5.3603,0.1034,10.0000,0.0000,3.946,DESCEND_TO_1M
1900,gimbal,static,none,4.6837,0.66,1.90,5.3177,0.1150,10.0000,0.0000,3.892,DESCEND_TO_1M
2000,gimbal,static,none,4.7142,0.66,2.00,5.2875,0.1260,10.0000,0.0000,3.838,DESCEND_TO_1M
2100,gimbal,static,none,4.7312,0.61,2.10,5.2707,0.1347,10.0000,0.0000,3.788,DESCEND_TO_1M
2200,gimbal,static,none,4.7383,0.52,2.20,5.2639,0.1429,10.0000,0.0000,3.734,DESCEND_TO_1M
2300,gimbal,static,none,4.7348,0.41,2.30,5.2676,0.1498,10.0000,0.0000,3.682,DESCEND_TO_1M
2400,gimbal,static,none,4.7211,0.29,2.40,5.2815,0.1559,10.0000,0.0000,3.627,DESCEND_TO_1M
2500,gimbal,static,none,4.6998,0.19,2.50,5.3029,0.1599,10.0000,0.0000,3.577,DESCEND_TO_1M
2600,gimbal,static,none,4.6680,0.09,2.60,5.3349,0.1620,10.0000,0.0000,3.524,DESCEND_TO_1M
2700,gimbal,static,none,4.6311,0.01,2.70,5.3717,0.1619,10.0000,0.0000,3.479,DESCEND_TO_1M
2800,gimbal,static,none,4.5882,0.04,2.80,5.4146,0.1608,10.0000,0.0000,3.436,DESCEND_TO_1M
2900,gimbal,static,none,4.5368,0.07,2.90,5.4660,0.1585,10.0000,0.0000,3.388,DESCEND_TO_1M
