time_ms,mode,scenario,wind_scenario,linear_error_m,rotation_error_deg,engagement_duration_s,drone_x,drone_y,target_x,target_y,altitude_m,state,last_cmd_pitch,last_cmd_roll,last_cmd_yaw_vel,last_cmd_thrust
93,gimbal,static,strong,5.0234,0.03,0.09,4.9767,0.0266,10.0000,0.0000,2.745,SEARCH,2.5267,-0.0131,0.0000,-0.0764
193,gimbal,static,strong,4.9262,0.02,0.19,5.0739,0.0279,10.0000,0.0000,2.747,SEARCH,2.4817,-0.0137,0.0000,-0.0758
293,gimbal,static,strong,4.8365,0.01,0.29,5.1636,0.0290,10.0000,0.0000,2.749,SEARCH,2.4332,-0.0143,0.0000,-0.0753
393,gimbal,static,strong,4.7393,0.00,0.39,5.2608,0.0308,10.0000,0.0000,2.751,SEARCH,2.3883,-0.0150,0.0000,-0.0747
493,gimbal,static,strong,4.6421,0.02,0.49,5.3580,0.0331,10.0000,0.0000,2.753,SEARCH,2.3397,-0.0161,0.0000,-0.0742
593,gimbal,static,strong,4.5526,0.03,0.59,5.4476,0.0352,10.0000,0.0000,2.755,SEARCH,2.2949,-0.0172,0.0000,-0.0736
693,gimbal,static,strong,4.4552,0.04,0.69,5.5449,0.0370,10.0000,0.0000,2.756,SEARCH,2.2463,-0.0182,0.0000,-0.0731
793,gimbal,static,strong,4.3651,0.03,0.79,5.6351,0.0385,10.0000,0.0000,2.758,SEARCH,2.2013,-0.0189,0.0000,-0.0725
893,gimbal,static,strong,4.2674,0.02,0.89,5.7328,0.0395,10.0000,0.0000,2.760,SEARCH,2.1562,-0.0196,0.0000,-0.0720
993,gimbal,static,strong,4.1767,0.02,0.99,5.8235,0.0403,10.0000,0.0000,2.762,SEARCH,2.1072,-0.0200,0.0000,-0.0715
1093,gimbal,static,strong,4.0778,0.01,1.09,5.9224,0.0409,10.0000,0.0000,2.763,SEARCH,2.0579,-0.0204,0.0000,-0.0710
1193,gimbal,static,strong,3.9856,0.00,1.19,6.0146,0.0411,10.0000,0.0000,2.765,SEARCH,2.0120,-0.0205,0.0000,-0.0705
1293,gimbal,static,strong,3.8850,0.00,1.29,6.1152,0.0405,10.0000,0.0000,2.767,DESCEND_TO_LOW,1.9618,-0.0204,0.0000,-0.0700
1393,gimbal,static,strong,3.7917,0.01,1.39,6.2085,0.0393,10.0000,0.0000,2.766,DESCEND_TO_LOW,0.9221,-0.0337,0.0516,0.5000
1493,gimbal,static,strong,3.6896,0.02,1.49,6.3106,0.0375,10.0000,0.0000,2.745,DESCEND_TO_LOW,0.8612,-0.0329,0.0156,0.5000
1593,gimbal,static,strong,3.5950,0.02,1.59,6.4052,0.0355,10.0000,0.0000,2.707,DESCEND_TO_LOW,0.8726,-0.0334,0.0156,0.5000
1693,gimbal,static,strong,3.4929,0.03,1.69,6.5073,0.0327,10.0000,0.0000,2.664,DESCEND_TO_LOW,0.7517,-0.0328,0.0138,0.5000
1793,gimbal,static,strong,3.3997,0.05,1.79,6.6004,0.0294,10.0000,0.0000,2.612,DESCEND_TO_LOW,0.6574,-0.0323,0.0126,0.5000
1893,gimbal,static,strong,3.3087,0.08,1.89,6.6914,0.0258,10.0000,0.0000,2.562,DESCEND_TO_LOW,0.6515,-0.0327,0.0126,0.5000
1993,gimbal,static,strong,3.2135,0.12,1.99,6.7866,0.0222,10.0000,0.0000,2.508,DESCEND_TO_LOW,0.6631,-0.0335,0.0126,0.5000
2093,gimbal,static,strong,3.1295,0.17,2.09,6.8706,0.0194,10.0000,0.0000,2.458,DESCEND_TO_LOW,0.5069,-0.0260,-0.0180,0.5000
2193,gimbal,static,strong,3.0430,0.22,2.19,6.9571,0.0164,10.0000,0.0000,2.403,DESCEND_TO_LOW,0.4487,-0.0257,-0.0180,0.5000
2293,gimbal,static,strong,2.9615,0.27,2.29,7.0385,0.0137,10.0000,0.0000,2.353,DESCEND_TO_LOW,0.4088,-0.0260,0.0102,0.5000
2393,gimbal,static,strong,2.8914,0.32,2.39,7.1087,0.0114,10.0000,0.0000,2.303,DESCEND_TO_LOW,0.3793,-0.0253,-0.0180,0.5000
2493,gimbal,static,strong,2.8212,0.37,2.49,7.1788,0.0089,10.0000,0.0000,2.250,DESCEND_TO_LOW,0.3609,-0.0205,0.0126,0.5000
2593,gimbal,static,strong,2.7619,0.40,2.59,7.2381,0.0072,10.0000,0.0000,2.200,DESCEND_TO_LOW,0.3651,-0.0202,-0.0144,0.5000
2693,gimbal,static,strong,2.7036,0.41,2.69,7.2964,0.0062,10.0000,0.0000,2.146,DESCEND_TO_LOW,0.3797,-0.0247,-0.0180,0.5000
2793,gimbal,static,strong,2.6548,0.40,2.79,7.3452,0.0056,10.0000,0.0000,2.092,DESCEND_TO_LOW,0.4022,-0.0201,0.0108,0.5000
2893,gimbal,static,strong,2.6056,0.38,2.89,7.3944,0.0047,10.0000,0.0000,2.042,DESCEND_TO_LOW,0.4501,-0.0239,-0.0426,0.5000
2993,gimbal,static,strong,2.5626,0.34,2.99,7.4374,0.0041,10.0000,0.0000,1.987,DESCEND_TO_LOW,0.5073,-0.0194,-0.0144,0.5000
3093,gimbal,static,strong,2.5178,0.28,3.09,7.4823,0.0039,10.0000,0.0000,1.936,DESCEND_TO_LOW,0.5703,-0.0191,-0.0138,0.5000
3193,gimbal,static,strong,2.4765,0.19,3.19,7.5235,0.0042,10.0000,0.0000,1.880,DESCEND_TO_LOW,0.6077,-0.0141,-0.0102,0.5000
3293,gimbal,static,strong,2.4346,0.09,3.29,7.5654,0.0048,10.0000,0.0000,1.828,DESCEND_TO_LOW,0.6504,-0.0090,-0.0066,0.5000
3393,gimbal,static,strong,2.3868,0.02,3.39,7.6132,0.0053,10.0000,0.0000,1.775,STABILIZE_LOW,0.6550,-0.0086,-0.0066,0.5000
3493,gimbal,static,strong,2.3351,0.12,3.49,7.6649,0.0057,10.0000,0.0000,1.719,STABILIZE_LOW,0.6693,-0.0078,-0.0066,0.0656
3593,gimbal,static,strong,2.2831,0.21,3.59,7.7169,0.0064,10.0000,0.0000,1.683,STABILIZE_LOW,0.7990,0.0005,0.0000,0.0550
3693,gimbal,static,strong,2.2271,0.29,3.69,7.7729,0.0076,10.0000,0.0000,1.663,STABILIZE_LOW,0.7918,0.0095,0.0072,0.0488
3793,gimbal,static,strong,2.1616,0.35,3.79,7.8384,0.0096,10.0000,0.0000,1.646,STABILIZE_LOW,0.7492,0.0085,0.0264,0.0439
3893,gimbal,static,strong,2.0908,0.39,3.89,7.9093,0.0118,10.0000,0.0000,1.634,STABILIZE_LOW,0.7095,0.0129,0.0300,0.0403
3993,gimbal,static,strong,2.0218,0.40,3.99,7.9782,0.0138,10.0000,0.0000,1.623,TERMINAL_LAND,0.7115,0.0132,0.0300,0.0000
4093,gimbal,static,strong,1.9505,0.39,4.09,8.0496,0.0157,10.0000,0.0000,1.616,TERMINAL_LAND,0.5613,0.0037,0.0216,0.0000
4193,gimbal,static,strong,1.8724,0.34,4.19,8.1277,0.0173,10.0000,0.0000,1.610,TERMINAL_LAND,0.4993,-0.0004,0.0180,0.0000
4293,gimbal,static,strong,1.7949,0.27,4.29,8.2052,0.0185,10.0000,0.0000,1.606,TERMINAL_LAND,0.4612,-0.0046,0.0138,0.0000
4393,gimbal,static,strong,1.7258,0.17,4.39,8.2743,0.0192,10.0000,0.0000,1.603,TERMINAL_LAND,0.3865,-0.0125,0.0240,0.0000
4493,gimbal,static,strong,1.6600,0.06,4.49,8.3401,0.0195,10.0000,0.0000,1.600,TERMINAL_LAND,0.3419,-0.0164,0.0366,0.0000
4593,gimbal,static,strong,1.5934,0.07,4.59,8.4067,0.0196,10.0000,0.0000,1.598,TERMINAL_LAND,0.3420,-0.0165,0.0366,0.0000
4693,gimbal,static,strong,1.5370,0.19,4.69,8.4632,0.0193,10.0000,0.0000,1.596,TERMINAL_LAND,0.2800,-0.0299,0.0066,0.0000
4793,gimbal,static,strong,1.4816,0.32,4.79,8.5186,0.0192,10.0000,0.0000,1.594,TERMINAL_LAND,0.2634,-0.0362,-0.0144,0.0000
4893,gimbal,static,strong,1.4355,0.43,4.89,8.5646,0.0191,10.0000,0.0000,1.592,TERMINAL_LAND,0.2515,-0.0361,0.0012,0.0000
4993,gimbal,static,strong,1.3909,0.53,4.99,8.6093,0.0190,10.0000,0.0000,1.590,TERMINAL_LAND,0.2771,-0.0452,-0.0372,0.0000
5093,gimbal,static,strong,1.3511,0.60,5.09,8.6490,0.0192,10.0000,0.0000,1.588,TERMINAL_LAND,0.2794,-0.0452,-0.0216,0.0000
5193,gimbal,static,strong,1.3176,0.63,5.19,8.6825,0.0197,10.0000,0.0000,1.585,TERMINAL_LAND,0.2894,-0.0475,-0.0378,0.0000
5293,gimbal,static,strong,1.2840,0.62,5.29,8.7162,0.0201,10.0000,0.0000,1.582,TERMINAL_LAND,0.3575,-0.0502,-0.0384,0.0000
5393,gimbal,static,strong,1.2551,0.58,5.39,8.7451,0.0199,10.0000,0.0000,1.579,TERMINAL_LAND,0.3513,-0.0497,-0.0378,0.0000
5493,gimbal,static,strong,1.2247,0.49,5.49,8.7755,0.0191,10.0000,0.0000,1.575,TERMINAL_LAND,0.3516,-0.0497,-0.0378,0.0000
5593,gimbal,static,strong,1.1958,0.38,5.59,8.8044,0.0176,10.0000,0.0000,1.571,TERMINAL_LAND,0.4542,-0.0416,-0.0432,0.0000
5693,gimbal,static,strong,1.1628,0.25,5.69,8.8373,0.0146,10.0000,0.0000,1.567,TERMINAL_LAND,0.4727,-0.0383,-0.0258,0.0000
5793,gimbal,static,strong,1.1303,0.12,5.79,8.8697,0.0107,10.0000,0.0000,1.563,TERMINAL_LAND,0.4867,-0.0312,-0.0204,0.0000
5893,gimbal,static,strong,1.0928,0.02,5.89,8.9072,0.0062,10.0000,0.0000,1.558,TERMINAL_LAND,0.5102,-0.0214,-0.0138,0.0000
5993,gimbal,static,strong,1.0550,0.15,5.99,8.9450,0.0015,10.0000,0.0000,1.553,TERMINAL_LAND,0.5250,-0.0091,0.0084,0.0000
