run,repeat,mode,scenario,wind,linear_error_m,rotation_error_deg,engagement_s,csv_file
1,1,STATIC,STATIC,strong,0.1216,0.12,8.92,static_static_strong_185016.csv
2,2,STATIC,STATIC,strong,0.0693,0.20,9.17,static_static_strong_185115.csv
3,3,STATIC,STATIC,strong,0.0731,0.01,8.96,static_static_strong_185213.csv
4,4,STATIC,STATIC,strong,0.0790,0.15,8.96,static_static_strong_185311.csv
5,5,STATIC,STATIC,strong,0.0473,0.10,8.71,static_static_strong_185409.csv
6,1,GIMBAL,STATIC,strong,0.0434,0.47,11.46,gimbal_static_strong_185511.csv
7,2,GIMBAL,STATIC,strong,0.0177,0.03,12.35,gimbal_static_strong_185610.csv
8,3,GIMBAL,STATIC,strong,0.0605,0.28,11.73,gimbal_static_strong_185708.csv
9,4,GIMBAL,STATIC,strong,0.0067,0.01,10.53,gimbal_static_strong_185805.csv
10,5,GIMBAL,STATIC,strong,0.0306,0.10,11.09,gimbal_static_strong_185904.csv
11,1,STATIC,DYNAMIC,strong,0.4134,27.56,12.30,static_dynamic_strong_190002.csv
12,2,STATIC,DYNAMIC,strong,0.6288,13.01,13.50,static_dynamic_strong_190103.csv
13,3,STATIC,DYNAMIC,strong,1.2322,-0.46,14.05,static_dynamic_strong_190202.csv
14,4,STATIC,DYNAMIC,strong,TIMEOUT,TIMEOUT,TIMEOUT,N/A
15,5,STATIC,DYNAMIC,strong,0.2226,16.07,14.29,static_dynamic_strong_190833.csv
16,1,GIMBAL,DYNAMIC,strong,0.2368,0.56,16.33,gimbal_dynamic_strong_190938.csv
17,2,GIMBAL,DYNAMIC,strong,0.2686,5.80,16.10,gimbal_dynamic_strong_191042.csv
18,3,GIMBAL,DYNAMIC,strong,0.2494,-11.58,14.96,gimbal_dynamic_strong_191144.csv
19,4,GIMBAL,DYNAMIC,strong,0.2766,0.75,16.28,gimbal_dynamic_strong_191250.csv
20,5,GIMBAL,DYNAMIC,strong,0.2805,0.75,15.70,gimbal_dynamic_strong_191353.csv
21,1,STATIC,DYNAMIC_EASY,strong,0.1221,10.07,41.39,static_dynamic_easy_strong_191520.csv
22,2,STATIC,DYNAMIC_EASY,strong,0.0566,0.44,42.38,static_dynamic_easy_strong_191649.csv
23,3,STATIC,DYNAMIC_EASY,strong,0.0933,25.31,45.69,static_dynamic_easy_strong_191820.csv
