run,repeat,mode,scenario,linear_error_m,rotation_error_deg,engagement_s,csv_file
1,1,STATIC,STATIC,0.0894,0.07,8.06,static_static_083906.csv
2,2,STATIC,STATIC,0.0964,-0.17,7.73,static_static_084004.csv
3,3,STATIC,STATIC,0.0759,0.04,8.04,static_static_084102.csv
4,4,STATIC,STATIC,0.0801,-0.06,7.93,static_static_084201.csv
5,5,STATIC,STATIC,0.0711,0.09,7.84,static_static_084259.csv
6,6,STATIC,STATIC,0.0750,-0.07,8.66,static_static_084357.csv
7,7,STATIC,STATIC,0.0833,0.14,7.93,static_static_084456.csv
8,8,STATIC,STATIC,0.1050,-0.09,7.64,static_static_084554.csv
9,9,STATIC,STATIC,0.1132,0.02,8.27,static_static_084653.csv
10,10,STATIC,STATIC,0.0363,0.13,8.78,static_static_084751.csv
11,1,GIMBAL,STATIC,0.0457,-0.05,10.61,gimbal_static_084852.csv
12,2,GIMBAL,STATIC,0.0078,0.45,10.70,gimbal_static_084951.csv
13,3,GIMBAL,STATIC,0.0218,-0.05,10.37,gimbal_static_085049.csv
14,4,GIMBAL,STATIC,0.0105,0.16,10.40,gimbal_static_085152.csv
15,5,GIMBAL,STATIC,0.0227,0.03,10.45,gimbal_static_085250.csv
16,6,GIMBAL,STATIC,0.0328,0.12,10.77,gimbal_static_085349.csv
17,7,GIMBAL,STATIC,0.0203,0.10,10.74,gimbal_static_085452.csv
18,8,GIMBAL,STATIC,0.0272,-0.03,10.83,gimbal_static_085551.csv
19,9,GIMBAL,STATIC,0.0795,-0.02,12.10,gimbal_static_085651.csv
20,10,GIMBAL,STATIC,0.0193,0.05,10.94,gimbal_static_085752.csv
21,1,STATIC,DYNAMIC,TIMEOUT,TIMEOUT,TIMEOUT,N/A
22,2,STATIC,DYNAMIC,TIMEOUT,TIMEOUT,TIMEOUT,N/A
23,3,STATIC,DYNAMIC,TIMEOUT,TIMEOUT,TIMEOUT,N/A
24,4,STATIC,DYNAMIC,TIMEOUT,TIMEOUT,TIMEOUT,N/A
