time_ms,scenario,drone_x,drone_y,drone_yaw_rad,altitude_m,pixel_err_x,pixel_err_y,ground_err_m,gimbal_norm,locked,state
26,bench_dry,0.1179,-0.0815,3.1306,-1.453,1.1524,-0.6348,1.3157,0.000,1,TRACKING_2M
124,bench_dry,0.1290,-0.0994,3.2557,-1.399,1.1524,-0.6348,1.3157,0.000,1,TRACKING_2M
224,bench_dry,0.1448,-0.1136,3.2866,-1.353,1.1524,-0.6348,1.3157,0.000,1,TRACKING_2M
324,bench_dry,0.1581,-0.1128,3.2467,-1.313,1.1524,-0.6348,1.3157,0.000,1,TRACKING_2M
424,bench_dry,0.1746,-0.1055,3.1727,-1.276,1.1524,-0.6348,1.3157,0.000,1,TRACKING_2M
533,bench_dry,0.1902,-0.0988,3.1323,-1.242,1.1524,-0.6348,1.3157,0.000,1,TRACKING_2M
624,bench_dry,0.1997,-0.0859,3.1145,-1.214,1.3747,-0.6230,1.5092,0.000,1,TRACKING_2M
724,bench_dry,0.2106,-0.0671,3.1143,-1.194,1.3747,-0.6230,1.5092,0.000,1,TRACKING_2M
824,bench_dry,0.2171,-0.0468,3.1290,-1.179,1.3747,-0.6230,1.5092,0.000,1,TRACKING_2M
925,bench_dry,0.2192,-0.0315,3.1499,-1.165,1.3747,-0.6230,1.5092,0.000,1,TRACKING_2M
1024,bench_dry,0.2192,-0.0188,3.1742,-1.153,1.3747,-0.6230,1.5092,0.000,1,TRACKING_2M
1129,bench_dry,0.2239,-0.0026,3.1903,-1.141,1.3747,-0.6230,1.5092,0.000,1,TRACKING_2M
1224,bench_dry,0.2320,0.0094,3.2145,-1.132,1.5885,-0.8838,1.8179,0.000,1,TRACKING_2M
1324,bench_dry,0.2399,0.0157,3.2379,-1.128,1.5885,-0.8838,1.8179,0.000,1,TRACKING_2M
1425,bench_dry,0.2428,0.0190,3.2484,-1.128,1.5885,-0.8838,1.8179,0.000,1,TRACKING_2M
1524,bench_dry,0.2441,0.0264,3.2491,-1.129,1.5885,-0.8838,1.8179,0.000,1,TRACKING_2M
1624,bench_dry,0.2443,0.0321,3.2382,-1.130,1.5885,-0.8838,1.8179,0.000,1,TRACKING_2M
1725,bench_dry,0.2410,0.0400,3.2205,-1.132,1.5885,-0.8838,1.8179,0.000,1,TRACKING_2M
1824,bench_dry,0.2326,0.0475,3.2185,-1.135,1.4207,-0.4077,1.4780,0.000,1,TRACKING_2M
1924,bench_dry,0.2177,0.0466,3.2259,-1.141,1.4207,-0.4077,1.4780,0.000,1,TRACKING_2M
2024,bench_dry,0.1990,0.0442,3.2396,-1.146,1.4207,-0.4077,1.4780,0.000,1,TRACKING_2M
2124,bench_dry,0.1873,0.0408,3.2472,-1.151,1.4207,-0.4077,1.4780,0.000,1,DESCEND_TO_1M
2224,bench_dry,0.1762,0.0416,3.2184,-1.153,1.4207,-0.4077,1.4780,0.000,1,DESCEND_TO_1M
2342,bench_dry,0.1617,0.0503,3.1768,-1.153,1.4207,-0.4077,1.4780,0.000,1,DESCEND_TO_1M
2424,bench_dry,0.1452,0.0638,3.1524,-1.153,1.4152,-0.3624,1.4608,0.000,1,DESCEND_TO_1M
2524,bench_dry,0.1256,0.0773,3.1508,-1.155,1.4152,-0.3624,1.4608,0.000,1,DESCEND_TO_1M
2624,bench_dry,0.1055,0.0943,3.1711,-1.151,1.4152,-0.3624,1.4608,0.000,1,DESCEND_TO_1M
2724,bench_dry,0.0897,0.1128,3.1988,-1.144,1.4152,-0.3624,1.4608,0.000,1,DESCEND_TO_1M
2824,bench_dry,0.0706,0.1308,3.2470,-1.139,1.4152,-0.3624,1.4608,0.000,1,DESCEND_TO_1M
2931,bench_dry,0.0529,0.1493,3.3120,-1.139,1.4152,-0.3624,1.4608,0.000,1,DESCEND_TO_1M
3024,bench_dry,0.0350,0.1648,3.3755,-1.138,1.4975,-0.4162,1.5543,0.000,1,DESCEND_TO_1M
3124,bench_dry,0.0207,0.1751,3.4148,-1.137,1.4975,-0.4162,1.5543,0.000,1,DESCEND_TO_1M
3224,bench_dry,0.0105,0.1809,3.4179,-1.138,1.4975,-0.4162,1.5543,0.000,1,DESCEND_TO_1M
3324,bench_dry,-0.0040,0.1926,3.4050,-1.142,1.4975,-0.4162,1.5543,0.000,1,DESCEND_TO_1M
3424,bench_dry,-0.0187,0.2031,3.3928,-1.149,1.4975,-0.4162,1.5543,0.000,1,DESCEND_TO_1M
3528,bench_dry,-0.0275,0.2017,3.3839,-1.156,1.4975,-0.4162,1.5543,0.000,1,DESCEND_TO_1M
3624,bench_dry,-0.0299,0.1945,3.3676,-1.164,1.7258,-0.0825,1.7278,0.000,1,DESCEND_TO_1M
3724,bench_dry,-0.0311,0.1911,3.3406,-1.171,1.7258,-0.0825,1.7278,0.000,1,DESCEND_TO_1M
3824,bench_dry,-0.0274,0.1881,3.3132,-1.176,1.7258,-0.0825,1.7278,0.000,1,DESCEND_TO_1M
3924,bench_dry,-0.0237,0.1788,3.2925,-1.180,1.7258,-0.0825,1.7278,0.000,1,DESCEND_TO_1M
4024,bench_dry,-0.0234,0.1751,3.2932,-1.186,1.7258,-0.0825,1.7278,0.000,1,DESCEND_TO_1M
4124,bench_dry,-0.0212,0.1697,3.3035,-1.194,1.7258,-0.0825,1.7278,0.000,1,DESCEND_TO_1M
4225,bench_dry,-0.0210,0.1658,3.3078,-1.203,1.7258,-0.0825,1.7278,0.000,1,DESCEND_TO_1M
4324,bench_dry,-0.0219,0.1654,3.3038,-1.211,1.4395,0.0721,1.4413,0.000,1,DESCEND_TO_1M
4424,bench_dry,-0.0238,0.1650,3.2927,-1.215,1.4395,0.0721,1.4413,0.000,1,DESCEND_TO_1M
4524,bench_dry,-0.0247,0.1615,3.2737,-1.218,1.4395,0.0721,1.4413,0.000,1,DESCEND_TO_1M
4624,bench_dry,-0.0242,0.1598,3.2581,-1.223,1.4395,0.0721,1.4413,0.000,1,DESCEND_TO_1M
4724,bench_dry,-0.0230,0.1565,3.2566,-1.227,1.4395,0.0721,1.4413,0.000,1,DESCEND_TO_1M
4834,bench_dry,-0.0216,0.1539,3.2636,-1.232,1.4395,0.0721,1.4413,0.000,1,DESCEND_TO_1M
4924,bench_dry,-0.0207,0.1512,3.2742,-1.235,1.3227,-0.3863,1.3779,0.000,1,DESCEND_TO_1M
5024,bench_dry,-0.0206,0.1507,3.2753,-1.239,1.3227,-0.3863,1.3779,0.000,1,DESCEND_TO_1M
5125,bench_dry,-0.0219,0.1503,3.2688,-1.242,1.3227,-0.3863,1.3779,0.000,1,STABILIZE_1M
5224,bench_dry,-0.0240,0.1498,3.2601,-1.247,1.3227,-0.3863,1.3779,0.000,1,STABILIZE_1M
5324,bench_dry,-0.0269,0.1475,3.2519,-1.254,1.3227,-0.3863,1.3779,0.000,1,STABILIZE_1M
5424,bench_dry,-0.0307,0.1436,3.2460,-1.262,1.3227,-0.3863,1.3779,0.000,1,STABILIZE_1M
5524,bench_dry,-0.0338,0.1370,3.2382,-1.271,1.3973,-0.5737,1.5105,0.000,1,STABILIZE_1M
5624,bench_dry,-0.0367,0.1301,3.2312,-1.282,1.3973,-0.5737,1.5105,0.000,1,STABILIZE_1M
5724,bench_dry,-0.0397,0.1227,3.2178,-1.292,1.3973,-0.5737,1.5105,0.000,1,STABILIZE_1M
5824,bench_dry,-0.0425,0.1172,3.1942,-1.298,1.3973,-0.5737,1.5105,0.000,1,STABILIZE_1M
5924,bench_dry,-0.0452,0.1133,3.1707,-1.303,1.3973,-0.5737,1.5105,0.000,1,STABILIZE_1M
6024,bench_dry,-0.0473,0.1080,3.1556,-1.310,1.3973,-0.5737,1.5105,0.000,1,STABILIZE_1M
6126,bench_dry,-0.0494,0.0985,3.1569,-1.319,1.3234,-0.6674,1.4822,0.000,1,STABILIZE_1M
6224,bench_dry,-0.0529,0.0911,3.1795,-1.331,1.3234,-0.6674,1.4822,-0.008,1,TERMINAL_LAND
6324,bench_dry,-0.0615,0.0862,3.2058,-1.344,1.3234,-0.6674,1.4822,-0.028,1,TERMINAL_LAND
6424,bench_dry,-0.0736,0.0830,3.2254,-1.356,1.3234,-0.6674,1.4822,-0.048,1,TERMINAL_LAND
6524,bench_dry,-0.0846,0.0825,3.2371,-1.365,1.3234,-0.6674,1.4822,-0.068,1,TERMINAL_LAND
6624,bench_dry,-0.0942,0.0848,3.2378,-1.373,1.3234,-0.6674,1.4822,-0.088,1,TERMINAL_LAND
6724,bench_dry,-0.1031,0.0880,3.2303,-1.380,1.3234,-0.6674,1.4822,-0.108,1,TERMINAL_LAND
6824,bench_dry,-0.1093,0.0903,3.2296,-1.387,1.4393,-0.8124,1.6527,-0.128,1,TERMINAL_LAND
6924,bench_dry,-0.1117,0.0917,3.2398,-1.393,1.4393,-0.8124,1.6527,-0.148,1,TERMINAL_LAND
7024,bench_dry,-0.1117,0.0911,3.2561,-1.402,1.4393,-0.8124,1.6527,-0.168,1,TERMINAL_LAND
7124,bench_dry,-0.1100,0.0928,3.2712,-1.412,1.4393,-0.8124,1.6527,-0.188,1,TERMINAL_LAND
7224,bench_dry,-0.1065,0.0965,3.2768,-1.423,1.4393,-0.8124,1.6527,-0.208,1,TERMINAL_LAND
7328,bench_dry,-0.1043,0.0998,3.2818,-1.431,1.4393,-0.8124,1.6527,-0.229,1,TERMINAL_LAND
7424,bench_dry,-0.1010,0.1009,3.2943,-1.438,1.2833,-0.8324,1.5296,-0.248,1,TERMINAL_LAND
7524,bench_dry,-0.0949,0.1023,3.3048,-1.441,1.2833,-0.8324,1.5296,-0.268,1,TERMINAL_LAND
7624,bench_dry,-0.0870,0.1056,3.3092,-1.444,1.2833,-0.8324,1.5296,-0.288,1,TERMINAL_LAND
7724,bench_dry,-0.0821,0.1109,3.3125,-1.448,1.2833,-0.8324,1.5296,-0.308,1,TERMINAL_LAND
7824,bench_dry,-0.0770,0.1176,3.3218,-1.453,1.2833,-0.8324,1.5296,-0.328,1,TERMINAL_LAND
7930,bench_dry,-0.0698,0.1212,3.3417,-1.455,1.2833,-0.8324,1.5296,-0.349,1,TERMINAL_LAND
8024,bench_dry,-0.0654,0.1237,3.3625,-1.457,1.1670,-0.6081,1.3159,-0.368,1,TERMINAL_LAND
8124,bench_dry,-0.0639,0.1283,3.3843,-1.459,1.1670,-0.6081,1.3159,-0.388,1,TERMINAL_LAND
8224,bench_dry,-0.0628,0.1345,3.4025,-1.461,1.1670,-0.6081,1.3159,-0.408,1,TERMINAL_LAND
8324,bench_dry,-0.0566,0.1414,3.4159,-1.463,1.1670,-0.6081,1.3159,-0.428,1,TERMINAL_LAND
8424,bench_dry,-0.0465,0.1476,3.4300,-1.466,1.1670,-0.6081,1.3159,-0.448,1,TERMINAL_LAND
8524,bench_dry,-0.0370,0.1519,3.4666,-1.466,1.1670,-0.6081,1.3159,-0.468,1,TERMINAL_LAND
8627,bench_dry,-0.0314,0.1558,3.5259,-1.465,1.1670,-0.6081,1.3159,-0.488,1,TERMINAL_LAND
8724,bench_dry,-0.0314,0.1631,3.5854,-1.460,1.1109,-0.3988,1.1803,-0.508,1,TERMINAL_LAND
8824,bench_dry,-0.0367,0.1727,3.6241,-1.454,1.1109,-0.3988,1.1803,-0.528,1,TERMINAL_LAND
8924,bench_dry,-0.0431,0.1838,3.6328,-1.446,1.1109,-0.3988,1.1803,-0.548,1,TERMINAL_LAND
9024,bench_dry,-0.0481,0.1908,3.6136,-1.441,1.1109,-0.3988,1.1803,-0.568,1,TERMINAL_LAND
9124,bench_dry,-0.0512,0.1949,3.5732,-1.438,1.1109,-0.3988,1.1803,-0.588,1,TERMINAL_LAND
9227,bench_dry,-0.0544,0.1981,3.5313,-1.441,1.1109,-0.3988,1.1803,-0.609,1,TERMINAL_LAND
9324,bench_dry,-0.0602,0.2010,3.5060,-1.443,1.2623,-0.1992,1.2780,-0.628,1,TERMINAL_LAND
9424,bench_dry,-0.0667,0.2024,3.4942,-1.444,1.2623,-0.1992,1.2780,-0.649,1,TERMINAL_LAND
9524,bench_dry,-0.0703,0.2009,3.4889,-1.444,1.2623,-0.1992,1.2780,-0.668,1,TERMINAL_LAND
9624,bench_dry,-0.0730,0.2000,3.4833,-1.445,1.2623,-0.1992,1.2780,-0.688,1,TERMINAL_LAND
9724,bench_dry,-0.0744,0.1980,3.4740,-1.445,1.2623,-0.1992,1.2780,-0.708,1,TERMINAL_LAND
