time_ms,scenario,drone_x,drone_y,drone_yaw_rad,rotation_error_deg,altitude_m,pixel_err_x,pixel_err_y,ground_err_m,forward_err_m,lateral_err_m,gimbal_norm,locked,state,last_cmd_pitch,last_cmd_roll,last_cmd_yaw_vel,last_cmd_thrust
28,dynamic,-0.0908,-0.5585,0.0162,24.52,1.907,2.5437,3.6163,4.4213,2.5975,3.5779,0.000,1,SEARCH,0.0000,0.0000,0.0000,-0.0279
28,dynamic,-0.0929,-0.5589,0.0214,24.52,1.907,2.5437,3.6163,4.4213,2.5975,3.5779,0.000,1,SEARCH,0.0000,0.0000,0.0000,-0.0279
230,dynamic,-0.0959,-0.5595,0.0274,20.17,1.897,2.7349,2.7587,3.8846,2.8094,2.6828,0.000,1,SEARCH,0.0000,0.0000,0.0000,-0.0308
328,dynamic,-0.0988,-0.5611,0.0314,15.76,1.892,3.3590,1.8924,3.8554,3.4155,1.7883,0.000,1,SEARCH,0.0000,0.0000,0.0000,-0.0324
431,dynamic,-0.1007,-0.5629,0.0337,15.76,1.883,3.3590,1.8924,3.8554,3.4207,1.7784,0.000,1,SEARCH,0.0000,0.0000,0.0000,-0.0351
431,dynamic,-0.1021,-0.5650,0.0338,15.76,1.883,3.3590,1.8924,3.8554,3.4207,1.7784,0.000,1,SEARCH,0.0000,0.0000,0.0000,-0.0351
528,dynamic,-0.1038,-0.5676,0.0315,15.76,1.876,3.3590,1.8924,3.8554,3.4209,1.7780,0.000,1,SEARCH,0.0000,0.0000,0.0000,-0.0373
728,dynamic,-0.1051,-0.5707,0.0265,8.90,1.863,3.7600,0.8188,3.8481,3.7804,0.7188,0.000,1,SEARCH,0.0000,0.0000,0.0000,-0.0410
828,dynamic,-0.1067,-0.5748,0.0203,7.72,1.857,3.7643,0.7137,3.8314,3.7780,0.6372,0.000,1,SEARCH,0.0000,0.0000,0.0000,-0.0429
828,dynamic,-0.1084,-0.5786,0.0117,7.72,1.857,3.7643,0.7137,3.8314,3.7780,0.6372,0.000,1,SEARCH,0.0000,0.0000,0.0000,-0.0429
932,dynamic,-0.1107,-0.5826,0.0015,7.72,1.851,3.7643,0.7137,3.8314,3.7724,0.6696,0.000,1,SEARCH,0.0000,0.0000,0.0000,-0.0448
1034,dynamic,-0.1137,-0.5852,6.2758,7.00,1.846,3.6958,0.6456,3.7517,3.6967,0.6401,0.000,1,SEARCH,0.0000,0.0000,0.0000,-0.0459
1230,dynamic,-0.1180,-0.5860,6.2709,6.92,1.833,3.7406,0.6654,3.7994,3.7322,0.7113,0.000,1,SEARCH,0.0000,0.0000,0.0000,-0.0502
1230,dynamic,-0.1215,-0.5852,6.2709,6.92,1.833,3.7406,0.6654,3.7994,3.7322,0.7113,0.000,1,SEARCH,0.0000,0.0000,0.0000,-0.0502
1333,dynamic,-0.1254,-0.5825,6.2750,6.92,1.828,3.7406,0.6654,3.7994,3.7320,0.7125,0.000,1,SEARCH,0.0000,0.0000,0.0000,-0.0516
1433,dynamic,-0.1276,-0.5778,6.2828,6.48,1.823,3.5078,0.6364,3.5651,3.5025,0.6650,0.000,1,SEARCH,0.0000,0.0000,0.0000,-0.0530
1629,dynamic,-0.1291,-0.5720,0.0108,4.57,1.815,2.9776,0.5081,3.0206,2.9817,0.4833,0.000,1,SEARCH,0.0000,0.0000,0.0000,-0.0555
1728,dynamic,-0.1291,-0.5676,0.0233,2.85,1.808,2.5261,0.3920,2.5563,2.5345,0.3331,0.000,1,SEARCH,0.0000,0.0000,0.0000,-0.0576
1728,dynamic,-0.1297,-0.5620,0.0334,2.85,1.808,2.5261,0.3920,2.5563,2.5345,0.3331,0.000,1,SEARCH,0.0000,0.0000,0.0000,-0.0576
1830,dynamic,-0.1308,-0.5575,0.0407,2.40,1.803,2.2089,0.3349,2.2342,2.2189,0.2610,0.000,1,SEARCH,0.0000,0.0000,0.0000,-0.0591
