time_ms,scenario,drone_x,drone_y,drone_yaw_rad,altitude_m,pixel_err_x,pixel_err_y,ground_err_m,gimbal_norm,locked,state
97,dynamic,0.2049,-0.0234,1.6291,1.023,-1.1095,-0.7477,1.3379,0.000,1,STABILIZE_HIGH
196,dynamic,0.2127,-0.0138,1.6394,1.020,-1.1095,-0.7477,1.3379,0.000,1,STABILIZE_HIGH
293,dynamic,0.2171,-0.0004,1.6172,1.014,-1.1095,-0.7477,1.3379,0.000,1,STABILIZE_HIGH
394,dynamic,0.2212,0.0150,1.5715,1.008,-1.1095,-0.7477,1.3379,0.000,1,STABILIZE_HIGH
496,dynamic,0.2249,0.0324,1.5213,1.003,-1.1095,-0.7477,1.3379,0.000,1,STABILIZE_HIGH
595,dynamic,0.2288,0.0484,1.4825,0.999,-1.1095,-0.7477,1.3379,0.000,1,STABILIZE_HIGH
693,dynamic,0.2309,0.0637,1.4601,0.993,-1.1545,-0.3032,1.1937,0.000,1,STABILIZE_HIGH
794,dynamic,0.2232,0.0792,1.4427,0.982,-1.1545,-0.3032,1.1937,0.000,1,STABILIZE_HIGH
895,dynamic,0.2160,0.0945,1.4246,0.971,-1.1545,-0.3032,1.1937,0.000,1,STABILIZE_HIGH
995,dynamic,0.2118,0.1088,1.4061,0.958,-1.1545,-0.3032,1.1937,0.000,1,STABILIZE_HIGH
1095,dynamic,0.2075,0.1203,1.3981,0.940,-1.1545,-0.3032,1.1937,0.000,1,STABILIZE_HIGH
1193,dynamic,0.1994,0.1275,1.3979,0.917,-1.1545,-0.3032,1.1937,0.000,1,STABILIZE_HIGH
1295,dynamic,0.1902,0.1301,1.4073,0.892,-1.1545,-0.3032,1.1937,0.000,1,STABILIZE_HIGH
1399,dynamic,0.1798,0.1259,1.4262,0.859,-1.1545,-0.3032,1.1937,0.000,1,STABILIZE_HIGH
1492,dynamic,0.1696,0.1190,1.4537,0.829,-1.1450,-0.1095,1.1502,0.000,1,STABILIZE_HIGH
1593,dynamic,0.1642,0.1115,1.4817,0.803,-1.1450,-0.1095,1.1502,0.000,1,STABILIZE_HIGH
1695,dynamic,0.1639,0.1125,1.5026,0.778,-1.1450,-0.1095,1.1502,0.000,1,STABILIZE_HIGH
1792,dynamic,0.1688,0.1192,1.5243,0.745,-1.1450,-0.1095,1.1502,0.000,1,STABILIZE_HIGH
1893,dynamic,0.1810,0.1328,1.5362,0.713,-1.1450,-0.1095,1.1502,0.000,1,STABILIZE_HIGH
1996,dynamic,0.1965,0.1498,1.5463,0.694,-1.1450,-0.1095,1.1502,0.000,1,STABILIZE_HIGH
