time_ms,scenario,drone_x,drone_y,drone_yaw_rad,rotation_error_deg,altitude_m,pixel_err_x,pixel_err_y,ground_err_m,forward_err_m,lateral_err_m,gimbal_norm,locked,state,last_cmd_pitch,last_cmd_roll,last_cmd_yaw_vel,last_cmd_thrust
75,static,3.3352,0.1508,0.0899,11.08,1.527,3.7468,1.2564,3.9518,3.8431,0.9206,0.000,1,SEARCH,0.1671,-0.0151,-0.0071,0.0082
175,static,3.3499,0.1504,0.0926,11.08,1.531,3.7468,1.2564,3.9518,3.8460,0.9087,0.000,1,SEARCH,0.1656,-0.0151,-0.0073,0.0094
274,static,3.3638,0.1512,0.0944,11.08,1.533,3.7468,1.2564,3.9518,3.8481,0.8996,0.000,1,SEARCH,0.1642,-0.0151,-0.0074,0.0099
375,static,3.3766,0.1512,0.0947,11.08,1.533,3.7468,1.2564,3.9518,3.8487,0.8968,0.000,1,SEARCH,0.1628,-0.0151,-0.0075,0.0099
475,static,3.3903,0.1535,0.0928,11.08,1.531,3.7468,1.2564,3.9518,3.8479,0.9003,0.000,1,SEARCH,0.1615,-0.0152,-0.0075,0.0094
580,static,3.4031,0.1556,0.0885,11.08,1.534,3.7468,1.2564,3.9518,3.8452,0.9119,0.000,1,SEARCH,0.1602,-0.0155,-0.0075,0.0102
675,static,3.4169,0.1600,0.0846,0.00,1.538,0.0000,0.0000,0.0000,0.0000,0.0000,0.000,0,SEARCH,0.1589,-0.0158,-0.0074,0.0113
774,static,3.4281,0.1637,0.0814,0.00,1.541,0.0000,0.0000,0.0000,0.0000,0.0000,0.000,0,SEARCH,0.1576,-0.0162,-0.0074,0.0124
874,static,3.4401,0.1701,0.0788,0.00,1.545,0.0000,0.0000,0.0000,0.0000,0.0000,0.000,0,SEARCH,0.1565,-0.0167,-0.0074,0.0135
974,static,3.4507,0.1760,0.0781,0.00,1.549,0.0000,0.0000,0.0000,0.0000,0.0000,0.000,0,SEARCH,0.1553,-0.0174,-0.0076,0.0146
1074,static,3.4624,0.1838,0.0770,0.00,1.552,0.0000,0.0000,0.0000,0.0000,0.0000,0.000,0,SEARCH,0.1543,-0.0180,-0.0077,0.0157
1174,static,3.4737,0.1911,0.0797,0.00,1.554,0.0000,0.0000,0.0000,0.0000,0.0000,0.000,0,SEARCH,0.1531,-0.0188,-0.0080,0.0161
1277,static,3.4855,0.1981,0.0830,0.00,1.546,0.0000,0.0000,0.0000,0.0000,0.0000,0.000,0,SEARCH,0.1519,-0.0195,-0.0084,0.0137
1375,static,3.4959,0.2038,0.0829,10.84,1.534,3.1916,1.1120,3.3797,3.2729,0.8431,0.000,1,SEARCH,0.1508,-0.0202,-0.0086,0.0102
1474,static,3.5070,0.2106,0.0812,10.84,1.526,3.1916,1.1120,3.3797,3.2721,0.8462,0.000,1,SEARCH,0.1497,-0.0208,-0.0088,0.0078
1575,static,3.5166,0.2175,0.0770,10.84,1.526,3.1916,1.1120,3.3797,3.2693,0.8568,0.000,1,SEARCH,0.1487,-0.0215,-0.0089,0.0078
1675,static,3.5268,0.2255,0.0727,10.84,1.524,3.1916,1.1120,3.3797,3.2654,0.8714,0.000,1,SEARCH,0.1477,-0.0222,-0.0090,0.0072
1774,static,3.5344,0.2327,0.0682,10.84,1.510,3.1916,1.1120,3.3797,3.2614,0.8866,0.000,1,SEARCH,0.1468,-0.0230,-0.0090,0.0031
1876,static,3.5430,0.2376,0.0623,10.84,1.506,3.1916,1.1120,3.3797,3.2565,0.9041,0.000,1,SEARCH,0.1460,-0.0236,-0.0090,0.0017
1975,static,3.5501,0.2418,0.0579,9.50,1.504,2.0010,0.6978,2.1192,2.0390,0.5775,0.000,1,SEARCH,0.1452,-0.0240,-0.0089,0.0011
2075,static,3.5583,0.2444,0.0547,9.50,1.501,2.0010,0.6978,2.1192,2.0367,0.5853,0.000,1,SEARCH,0.1445,-0.0243,-0.0089,0.0004
2175,static,3.5649,0.2458,0.0520,9.50,1.499,2.0010,0.6978,2.1192,2.0351,0.5910,0.000,1,SEARCH,0.1437,-0.0245,-0.0089,-0.0003
2274,static,3.5732,0.2459,0.0499,9.50,1.494,2.0010,0.6978,2.1192,2.0336,0.5961,0.000,1,SEARCH,0.1430,-0.0246,-0.0088,-0.0018
2375,static,3.5809,0.2452,0.0485,9.50,1.495,2.0010,0.6978,2.1192,2.0326,0.5995,0.000,1,SEARCH,0.1422,-0.0246,-0.0088,-0.0015
2475,static,3.5902,0.2409,0.0485,9.50,1.498,2.0010,0.6978,2.1192,2.0327,0.5991,0.000,1,SEARCH,0.1413,-0.0243,-0.0088,-0.0006
2574,static,3.5976,0.2350,0.0495,0.00,1.503,0.0000,0.0000,0.0000,0.0000,0.0000,0.000,0,SEARCH,0.1405,-0.0237,-0.0086,0.0010
2674,static,3.6060,0.2281,0.0513,0.00,1.509,0.0000,0.0000,0.0000,0.0000,0.0000,0.000,0,SEARCH,0.1397,-0.0231,-0.0086,0.0028
2774,static,3.6124,0.2216,0.0510,0.00,1.505,0.0000,0.0000,0.0000,0.0000,0.0000,0.000,0,SEARCH,0.1390,-0.0224,-0.0084,0.0015
2875,static,3.6196,0.2154,0.0487,0.00,1.502,0.0000,0.0000,0.0000,0.0000,0.0000,0.000,0,SEARCH,0.1383,-0.0218,-0.0083,0.0005
2975,static,3.6253,0.2092,0.0474,0.00,1.498,0.0000,0.0000,0.0000,0.0000,0.0000,0.000,0,SEARCH,0.1377,-0.0212,-0.0080,-0.0006
3076,static,3.6331,0.1993,0.0448,0.00,1.496,0.0000,0.0000,0.0000,0.0000,0.0000,0.000,0,SEARCH,0.1370,-0.0204,-0.0077,-0.0011
3175,static,3.6408,0.1894,0.0436,12.31,1.493,1.7865,0.6957,1.9172,1.8155,0.6161,0.000,1,DESCEND_TO_LOW,0.9759,0.3108,0.4924,0.3000
3275,static,3.6520,0.1803,0.0437,12.31,1.490,1.7865,0.6957,1.9172,1.8154,0.6165,0.000,1,DESCEND_TO_LOW,0.9787,0.3119,0.4924,0.3000
3375,static,3.6659,0.1739,0.0440,12.31,1.480,1.7865,0.6957,1.9172,1.8147,0.6185,0.000,1,DESCEND_TO_LOW,0.9880,0.3160,0.4924,0.3000
3474,static,3.6855,0.1687,0.0504,12.31,1.465,1.7865,0.6957,1.9172,1.8176,0.6098,0.000,1,DESCEND_TO_LOW,1.0000,0.3163,0.4924,0.3000
3576,static,3.7125,0.1673,0.0595,12.31,1.446,1.7865,0.6957,1.9172,1.8224,0.5953,0.000,1,DESCEND_TO_LOW,1.0000,0.3143,0.4924,0.3000
3674,static,3.7501,0.1676,0.0719,13.45,1.425,1.1394,0.6437,1.3086,1.1798,0.5663,0.000,1,DESCEND_TO_LOW,0.6998,0.3062,0.5380,0.3000
3775,static,3.7904,0.1720,0.0879,13.45,1.401,1.1394,0.6437,1.3086,1.1879,0.5490,0.000,1,DESCEND_TO_LOW,0.7200,0.3036,0.5380,0.3000
3874,static,3.8352,0.1781,0.1004,13.45,1.376,1.1394,0.6437,1.3086,1.1956,0.5321,0.000,1,DESCEND_TO_LOW,0.7406,0.3010,0.5380,0.3000
3975,static,3.8809,0.1872,0.1127,13.45,1.349,1.1394,0.6437,1.3086,1.2020,0.5175,0.000,1,DESCEND_TO_LOW,0.7623,0.2999,0.5380,0.3000
4074,static,3.9265,0.1956,0.1237,13.45,1.315,1.1394,0.6437,1.3086,1.2083,0.5025,0.000,1,DESCEND_TO_LOW,0.7888,0.2999,0.5380,0.3000
4176,static,3.9730,0.2072,0.1354,13.45,1.279,1.1394,0.6437,1.3086,1.2133,0.4904,0.000,1,STABILIZE_LOW,0.8153,0.3015,0.5380,0.0838
4277,static,4.0242,0.2196,0.1463,0.00,1.234,0.0000,0.0000,0.0000,0.0000,0.0000,0.000,0,HOLD,0.8367,0.3029,0.5380,0.0752
4375,static,4.0780,0.2373,0.1597,0.00,1.208,0.0000,0.0000,0.0000,0.0000,0.0000,0.000,0,HOLD,0.8158,0.2953,0.5246,-0.0077
4474,static,4.1359,0.2589,0.1753,0.00,1.193,0.0000,0.0000,0.0000,0.0000,0.0000,0.000,0,HOLD,0.7949,0.2877,0.5111,-0.0123
