time_ms,scenario,drone_x,drone_y,drone_yaw_rad,rotation_error_deg,altitude_m,pixel_err_x,pixel_err_y,ground_err_m,forward_err_m,lateral_err_m,gimbal_norm,locked,state,last_cmd_pitch,last_cmd_roll,last_cmd_yaw_vel,last_cmd_thrust
15,static,0.7735,0.4080,0.0129,9.85,2.012,7.0455,1.8068,7.2735,7.0682,1.7156,0.000,1,SEARCH,0.4226,0.0000,0.0000,0.0036
15,static,0.8140,0.4197,0.0059,9.85,2.012,7.0455,1.8068,7.2735,7.0682,1.7156,0.000,1,SEARCH,0.4226,0.0000,0.0000,0.0036
215,static,0.8625,0.4372,6.2806,0.00,2.033,0.0000,0.0000,0.0000,0.0000,0.0000,0.000,0,SEARCH,0.4137,0.0000,0.0000,0.0098
315,static,0.9062,0.4550,6.2743,0.00,2.040,0.0000,0.0000,0.0000,0.0000,0.0000,0.000,0,SEARCH,0.4094,0.0000,0.0000,0.0120
416,static,0.9488,0.4757,6.2690,0.00,2.046,0.0000,0.0000,0.0000,0.0000,0.0000,0.000,0,SEARCH,0.4051,0.0000,0.0000,0.0139
516,static,0.9862,0.4937,6.2638,0.00,2.052,0.0000,0.0000,0.0000,0.0000,0.0000,0.000,0,SEARCH,0.4014,0.0000,0.0000,0.0155
615,static,1.0300,0.5160,6.2585,0.00,2.058,0.0000,0.0000,0.0000,0.0000,0.0000,0.000,0,SEARCH,0.3970,0.0000,0.0000,0.0175
716,static,1.0688,0.5355,6.2533,0.00,2.064,0.0000,0.0000,0.0000,0.0000,0.0000,0.000,0,SEARCH,0.3931,0.0000,0.0000,0.0193
815,static,1.1038,0.5534,6.2492,0.00,2.069,0.0000,0.0000,0.0000,0.0000,0.0000,0.000,0,SEARCH,0.3896,0.0000,0.0000,0.0207
915,static,1.1467,0.5746,6.2458,0.00,2.075,0.0000,0.0000,0.0000,0.0000,0.0000,0.000,0,SEARCH,0.3853,0.0000,0.0000,0.0226
915,static,1.1811,0.5931,6.2437,0.00,2.075,0.0000,0.0000,0.0000,0.0000,0.0000,0.000,0,SEARCH,0.3853,0.0000,0.0000,0.0226
1017,static,1.2189,0.6126,6.2416,0.00,2.080,0.0000,0.0000,0.0000,0.0000,0.0000,0.000,0,SEARCH,0.3819,0.0000,0.0000,0.0241
1215,static,1.2609,0.6364,6.2398,0.00,2.092,0.0000,0.0000,0.0000,0.0000,0.0000,0.000,0,SEARCH,0.3739,0.0000,0.0000,0.0276
