time_ms,mode,scenario,linear_error_m,rotation_error_deg,engagement_duration_s,drone_x,drone_y,target_x,target_y,altitude_m,state,last_cmd_pitch,last_cmd_roll,last_cmd_yaw_vel,last_cmd_thrust
98,static,dynamic,0.9440,-0.21,0.10,0.0458,0.0416,0.9221,-0.3095,2.801,SEARCH,0.0000,0.0000,0.0000,-0.0597
198,static,dynamic,0.9815,0.59,0.20,0.0444,0.0430,0.9604,-0.3093,2.804,SEARCH,0.0000,0.0000,0.0000,-0.0588
299,static,dynamic,1.0192,1.39,0.30,0.0427,0.0441,0.9989,-0.3086,2.807,SEARCH,0.0000,0.0000,0.0000,-0.0580
399,static,dynamic,1.0571,2.18,0.40,0.0405,0.0442,1.0374,-0.3074,2.810,SEARCH,0.0000,0.0000,0.0000,-0.0571
499,static,dynamic,1.0957,2.98,0.50,0.0375,0.0434,1.0761,-0.3056,2.813,SEARCH,0.0000,0.0000,0.0000,-0.0562
598,static,dynamic,1.1342,3.79,0.60,0.0346,0.0422,1.1148,-0.3033,2.815,SEARCH,0.0000,0.0000,0.0000,-0.0554
698,static,dynamic,1.1726,4.59,0.70,0.0317,0.0406,1.1536,-0.3004,2.818,SEARCH,0.0000,0.0000,0.0000,-0.0546
799,static,dynamic,1.2108,5.38,0.80,0.0292,0.0387,1.1926,-0.2970,2.820,SEARCH,0.0000,0.0000,0.0000,-0.0539
899,static,dynamic,1.2490,6.17,0.90,0.0270,0.0369,1.2316,-0.2930,2.823,SEARCH,0.0000,0.0000,0.0000,-0.0531
999,static,dynamic,1.2882,6.96,1.00,0.0237,0.0348,1.2707,-0.2884,2.826,SEARCH,0.0000,0.0000,0.0000,-0.0523
1099,static,dynamic,1.3278,7.73,1.10,0.0203,0.0333,1.3099,-0.2833,2.828,SEARCH,0.0000,0.0000,0.0000,-0.0515
1198,static,dynamic,1.3676,8.50,1.20,0.0171,0.0322,1.3491,-0.2777,2.831,SEARCH,0.0000,0.0000,0.0000,-0.0508
1298,static,dynamic,1.4075,9.26,1.30,0.0139,0.0313,1.3885,-0.2715,2.834,SEARCH,0.0000,0.0000,0.0000,-0.0499
1398,static,dynamic,1.4475,10.00,1.40,0.0108,0.0305,1.4279,-0.2647,2.836,SEARCH,0.0000,0.0000,0.0000,-0.0492
1499,static,dynamic,1.4872,10.74,1.50,0.0081,0.0296,1.4673,-0.2574,2.838,SEARCH,0.0000,0.0000,0.0000,-0.0485
1599,static,dynamic,1.5265,11.46,1.60,0.0060,0.0290,1.5069,-0.2496,2.841,SEARCH,0.0000,0.0000,0.0000,-0.0477
1699,static,dynamic,1.5651,12.16,1.70,0.0048,0.0289,1.5465,-0.2413,2.844,SEARCH,0.0000,0.0000,0.0000,-0.0469
1799,static,dynamic,1.6028,12.84,1.80,0.0048,0.0288,1.5861,-0.2324,2.846,SEARCH,0.0000,0.0000,0.0000,-0.0463
1898,static,dynamic,1.6396,13.51,1.90,0.0056,0.0282,1.6258,-0.2230,2.848,SEARCH,0.0000,0.0000,0.0000,-0.0457
1998,static,dynamic,1.6761,14.07,2.00,0.0067,0.0268,1.6656,-0.2132,2.850,SEARCH,0.0000,0.0000,0.0000,-0.0450
2099,static,dynamic,1.7128,14.07,2.10,0.0078,0.0245,1.7053,-0.2033,2.852,SEARCH,0.0000,0.0000,0.0000,-0.0443
2199,static,dynamic,1.7500,14.07,2.20,0.0085,0.0218,1.7452,-0.1933,2.854,SEARCH,0.0000,0.0000,0.0000,-0.0437
2299,static,dynamic,1.7878,14.08,2.30,0.0087,0.0186,1.7850,-0.1834,2.857,SEARCH,0.0000,0.0000,0.0000,-0.0430
2399,static,dynamic,1.8259,14.08,2.40,0.0088,0.0161,1.8249,-0.1734,2.859,SEARCH,0.0000,0.0000,0.0000,-0.0424
2498,static,dynamic,1.8648,14.07,2.50,0.0085,0.0143,1.8648,-0.1634,2.861,SEARCH,0.0000,0.0000,0.0000,-0.0417
2599,static,dynamic,1.9049,14.07,2.60,0.0072,0.0134,1.9048,-0.1534,2.863,SEARCH,0.0000,0.0000,0.0000,-0.0410
2698,static,dynamic,1.9462,14.06,2.70,0.0049,0.0132,1.9447,-0.1434,2.866,SEARCH,0.0000,0.0000,0.0000,-0.0403
2799,static,dynamic,1.9879,14.05,2.80,0.0023,0.0137,1.9847,-0.1334,2.868,SEARCH,0.0000,0.0000,0.0000,-0.0397
2898,static,dynamic,2.0300,14.05,2.90,-0.0006,0.0148,2.0247,-0.1234,2.870,SEARCH,0.0000,0.0000,0.0000,-0.0390
2999,static,dynamic,2.0718,14.04,3.00,-0.0030,0.0160,2.0647,-0.1134,2.872,SEARCH,0.0000,0.0000,0.0000,-0.0384
3098,static,dynamic,2.1136,14.04,3.10,-0.0055,0.0167,2.1047,-0.1034,2.874,SEARCH,0.0000,0.0000,0.0000,-0.0378
3199,static,dynamic,2.1551,14.04,3.20,-0.0076,0.0174,2.1447,-0.0934,2.876,SEARCH,0.0000,0.0000,0.0000,-0.0372
3298,static,dynamic,2.1967,14.03,3.30,-0.0096,0.0185,2.1847,-0.0834,2.878,SEARCH,0.0000,0.0000,0.0000,-0.0366
3399,static,dynamic,2.2375,14.04,3.40,-0.0109,0.0193,2.2247,-0.0734,2.880,SEARCH,0.0000,0.0000,0.0000,-0.0361
3499,static,dynamic,2.2782,14.04,3.50,-0.0120,0.0200,2.2647,-0.0634,2.882,SEARCH,0.0000,0.0000,0.0000,-0.0355
3599,static,dynamic,2.3185,14.04,3.60,-0.0127,0.0207,2.3046,-0.0535,2.883,SEARCH,0.0000,0.0000,0.0000,-0.0350
3698,static,dynamic,2.3590,14.04,3.70,-0.0136,0.0213,2.3446,-0.0435,2.885,SEARCH,0.0000,0.0000,0.0000,-0.0345
3799,static,dynamic,2.3998,14.04,3.80,-0.0147,0.0219,2.3845,-0.0335,2.887,SEARCH,0.0000,0.0000,0.0000,-0.0340
3899,static,dynamic,2.4404,14.04,3.90,-0.0156,0.0230,2.4243,-0.0235,2.888,SEARCH,0.0000,0.0000,0.0000,-0.0335
3999,static,dynamic,2.4797,14.05,4.00,-0.0152,0.0241,2.4642,-0.0136,2.890,SEARCH,0.0000,0.0000,0.0000,-0.0330
4098,static,dynamic,2.5183,14.05,4.10,-0.0141,0.0258,2.5040,-0.0036,2.892,SEARCH,0.0000,0.0000,0.0000,-0.0325
4199,static,dynamic,2.5566,14.05,4.20,-0.0127,0.0277,2.5438,0.0063,2.893,SEARCH,0.0000,0.0000,0.0000,-0.0321
4299,static,dynamic,2.5947,14.06,4.30,-0.0111,0.0298,2.5835,0.0163,2.895,SEARCH,0.0000,0.0000,0.0000,-0.0316
4398,static,dynamic,2.6333,14.06,4.40,-0.0101,0.0312,2.6232,0.0262,2.896,SEARCH,0.0000,0.0000,0.0000,-0.0311
4498,static,dynamic,2.6722,14.06,4.50,-0.0094,0.0320,2.6628,0.0361,2.898,SEARCH,0.0000,0.0000,0.0000,-0.0306
4599,static,dynamic,2.7110,14.06,4.60,-0.0086,0.0324,2.7024,0.0460,2.900,SEARCH,0.0000,0.0000,0.0000,-0.0301
4699,static,dynamic,2.7498,14.06,4.70,-0.0078,0.0329,2.7419,0.0559,2.901,SEARCH,0.0000,0.0000,0.0000,-0.0296
4799,static,dynamic,2.7888,14.06,4.80,-0.0072,0.0334,2.7814,0.0657,2.903,SEARCH,0.0000,0.0000,0.0000,-0.0292
4899,static,dynamic,2.8279,14.06,4.90,-0.0068,0.0337,2.8207,0.0756,2.904,SEARCH,0.0000,0.0000,0.0000,-0.0288
