time_ms,mode,scenario,linear_error_m,rotation_error_deg,engagement_duration_s,drone_x,drone_y,target_x,target_y,altitude_m,state,last_cmd_pitch,last_cmd_roll,last_cmd_yaw_vel,last_cmd_thrust
64,static,dynamic_easy,0.9938,-42.34,0.06,0.0081,0.0612,1.0000,0.0000,1.181,TAKEOFF,0.0000,0.0000,0.0000,0.0000
164,static,dynamic_easy,0.9907,-40.85,0.16,0.0110,0.0576,1.0000,0.0000,1.257,TAKEOFF,0.0000,0.0000,0.0000,0.0000
263,static,dynamic_easy,0.9878,-39.40,0.26,0.0137,0.0546,1.0000,0.0000,1.329,TAKEOFF,0.0000,0.0000,0.0000,0.0000
364,static,dynamic_easy,0.9854,-38.15,0.36,0.0160,0.0528,1.0000,0.0000,1.407,TAKEOFF,0.0000,0.0000,0.0000,0.0000
463,static,dynamic_easy,0.9839,-37.02,0.46,0.0175,0.0521,1.0000,0.0000,1.480,TAKEOFF,0.0000,0.0000,0.0000,0.0000
563,static,dynamic_easy,0.9825,-36.02,0.56,0.0189,0.0524,1.0000,0.0000,1.558,TAKEOFF,0.0000,0.0000,0.0000,0.0000
664,static,dynamic_easy,0.9812,-34.99,0.66,0.0203,0.0540,1.0000,0.0000,1.631,TAKEOFF,0.0000,0.0000,0.0000,0.0000
763,static,dynamic_easy,0.9797,-34.02,0.76,0.0220,0.0563,1.0000,0.0000,1.709,TAKEOFF,0.0000,0.0000,0.0000,0.0000
863,static,dynamic_easy,0.9778,-33.06,0.86,0.0239,0.0579,1.0000,0.0000,1.779,TAKEOFF,0.0000,0.0000,0.0000,0.0000
963,static,dynamic_easy,0.9753,-32.02,0.96,0.0265,0.0591,1.0000,0.0000,1.855,TAKEOFF,0.0000,0.0000,0.0000,0.0000
1063,static,dynamic_easy,0.9721,-30.87,1.06,0.0297,0.0600,1.0000,0.0000,1.922,TAKEOFF,0.0000,0.0000,0.0000,0.0000
1164,static,dynamic_easy,0.9715,-43.80,1.16,0.0329,0.0606,1.0025,-0.0006,1.994,TAKEOFF,0.0000,0.0000,0.0000,0.0000
1264,static,dynamic_easy,0.9767,-42.54,1.26,0.0354,0.0608,1.0101,-0.0025,2.059,TAKEOFF,0.0000,0.0000,0.0000,0.0000
1364,static,dynamic_easy,0.9823,-41.34,1.36,0.0375,0.0604,1.0177,-0.0044,2.126,TAKEOFF,0.0000,0.0000,0.0000,0.0000
1463,static,dynamic_easy,0.9881,-40.01,1.46,0.0393,0.0590,1.0253,-0.0063,2.186,TAKEOFF,0.0000,0.0000,0.0000,0.0000
1563,static,dynamic_easy,0.9954,-38.76,1.56,0.0397,0.0577,1.0330,-0.0082,2.248,TAKEOFF,0.0000,0.0000,0.0000,0.0000
1664,static,dynamic_easy,1.0041,-37.39,1.66,0.0389,0.0568,1.0407,-0.0102,2.302,TAKEOFF,0.0000,0.0000,0.0000,0.0000
1763,static,dynamic_easy,1.0139,-36.13,1.76,0.0369,0.0559,1.0485,-0.0121,2.358,TAKEOFF,0.0000,0.0000,0.0000,0.0000
1864,static,dynamic_easy,1.0240,-34.75,1.86,0.0348,0.0553,1.0564,-0.0141,2.406,TAKEOFF,0.0000,0.0000,0.0000,0.0000
1964,static,dynamic_easy,1.0347,-33.43,1.96,0.0320,0.0546,1.0643,-0.0161,2.456,TAKEOFF,0.0000,0.0000,0.0000,0.0000
2063,static,dynamic_easy,1.0455,-32.17,2.06,0.0292,0.0538,1.0722,-0.0181,2.499,TAKEOFF,0.0000,0.0000,0.0000,0.0000
2164,static,dynamic_easy,1.0563,-30.82,2.16,0.0264,0.0529,1.0802,-0.0201,2.540,SEARCH,0.0000,0.0000,0.0000,-0.1379
2264,static,dynamic_easy,1.0673,-28.88,2.26,0.0236,0.0520,1.0883,-0.0221,2.563,SEARCH,0.0000,0.0000,0.0000,-0.1310
2364,static,dynamic_easy,1.0790,-26.02,2.36,0.0200,0.0505,1.0964,-0.0241,2.577,SEARCH,0.0000,0.0000,0.0000,-0.1269
2464,static,dynamic_easy,1.0898,-22.26,2.46,0.0173,0.0490,1.1045,-0.0260,2.587,SEARCH,0.0000,0.0000,0.0000,-0.1240
2564,static,dynamic_easy,1.1002,-18.25,2.56,0.0151,0.0477,1.1127,-0.0279,2.594,SEARCH,0.0000,0.0000,0.0000,-0.1218
2664,static,dynamic_easy,1.1101,-14.46,2.66,0.0135,0.0464,1.1209,-0.0296,2.601,SEARCH,0.0000,0.0000,0.0000,-0.1198
2764,static,dynamic_easy,1.1206,-10.82,2.76,0.0113,0.0450,1.1292,-0.0313,2.607,SEARCH,0.0000,0.0000,0.0000,-0.1180
2864,static,dynamic_easy,1.1312,-7.89,2.86,0.0089,0.0443,1.1375,-0.0329,2.612,SEARCH,0.0000,0.0000,0.0000,-0.1163
2964,static,dynamic_easy,1.1414,-5.65,2.96,0.0073,0.0451,1.1459,-0.0344,2.619,SEARCH,0.0000,0.0000,0.0000,-0.1143
3064,static,dynamic_easy,1.1504,-4.11,3.06,0.0070,0.0476,1.1544,-0.0358,2.625,SEARCH,0.0000,0.0000,0.0000,-0.1125
3164,static,dynamic_easy,1.1586,-3.14,3.16,0.0077,0.0522,1.1628,-0.0370,2.632,SEARCH,0.0000,0.0000,0.0000,-0.1105
3264,static,dynamic_easy,1.1658,-2.64,3.26,0.0095,0.0579,1.1713,-0.0382,2.638,SEARCH,0.0000,0.0000,0.0000,-0.1087
3364,static,dynamic_easy,1.1723,-2.50,3.36,0.0122,0.0644,1.1799,-0.0392,2.644,SEARCH,0.0000,0.0000,0.0000,-0.1068
3464,static,dynamic_easy,1.1782,-2.60,3.46,0.0155,0.0698,1.1885,-0.0401,2.650,SEARCH,0.0000,0.0000,0.0000,-0.1051
3564,static,dynamic_easy,1.1831,-2.67,3.56,0.0197,0.0741,1.1972,-0.0409,2.656,SEARCH,0.0000,0.0000,0.0000,-0.1033
3664,static,dynamic_easy,1.1867,-2.75,3.66,0.0252,0.0779,1.2059,-0.0415,2.661,SEARCH,0.0000,0.0000,0.0000,-0.1017
3764,static,dynamic_easy,1.1906,-2.64,3.76,0.0303,0.0802,1.2146,-0.0420,2.667,SEARCH,0.0000,0.0000,0.0000,-0.0999
3864,static,dynamic_easy,1.1962,-2.35,3.86,0.0335,0.0807,1.2234,-0.0424,2.672,SEARCH,0.0000,0.0000,0.0000,-0.0983
