time_ms,mode,scenario,wind_scenario,linear_error_m,rotation_error_deg,engagement_duration_s,drone_x,drone_y,target_x,target_y,altitude_m,state,last_cmd_pitch,last_cmd_roll,last_cmd_yaw_vel,last_cmd_thrust
57,static,dynamic_easy,mild,1.1174,5.94,0.06,-0.0207,-0.0595,1.0937,0.0228,2.746,SEARCH,0.0000,0.0000,0.0000,-0.0761
157,static,dynamic_easy,mild,1.1159,3.37,0.16,-0.0166,-0.0621,1.0960,0.0230,2.749,SEARCH,0.0000,0.0000,0.0000,-0.0752
257,static,dynamic_easy,mild,1.1151,0.83,0.26,-0.0133,-0.0645,1.0983,0.0230,2.752,SEARCH,0.0000,0.0000,0.0000,-0.0743
357,static,dynamic_easy,mild,1.1155,-1.69,0.36,-0.0113,-0.0670,1.1006,0.0230,2.755,SEARCH,0.0000,0.0000,0.0000,-0.0734
457,static,dynamic_easy,mild,1.1176,-4.15,0.46,-0.0109,-0.0687,1.1030,0.0229,2.759,SEARCH,0.0000,0.0000,0.0000,-0.0724
558,static,dynamic_easy,mild,1.1206,-6.57,0.56,-0.0115,-0.0697,1.1053,0.0226,2.761,SEARCH,0.0000,0.0000,0.0000,-0.0716
658,static,dynamic_easy,mild,1.1242,8.91,0.66,-0.0127,-0.0694,1.1077,0.0223,2.764,SEARCH,0.0000,0.0000,0.0000,-0.0707
757,static,dynamic_easy,mild,1.1275,-11.17,0.76,-0.0139,-0.0680,1.1101,0.0218,2.767,SEARCH,0.0000,0.0000,0.0000,-0.0698
858,static,dynamic_easy,mild,1.1313,-13.35,0.86,-0.0155,-0.0651,1.1125,0.0213,2.770,SEARCH,0.0000,0.0000,0.0000,-0.0689
957,static,dynamic_easy,mild,1.1353,-14.00,0.96,-0.0175,-0.0612,1.1149,0.0207,2.773,SEARCH,0.0000,0.0000,0.0000,-0.0681
1057,static,dynamic_easy,mild,1.1396,-13.99,1.06,-0.0197,-0.0569,1.1173,0.0201,2.776,SEARCH,0.0000,0.0000,0.0000,-0.0672
1157,static,dynamic_easy,mild,1.1442,-13.97,1.16,-0.0222,-0.0531,1.1197,0.0195,2.779,SEARCH,0.0000,0.0000,0.0000,-0.0663
1257,static,dynamic_easy,mild,1.1487,-13.96,1.26,-0.0244,-0.0508,1.1222,0.0189,2.782,SEARCH,0.0000,0.0000,0.0000,-0.0655
1357,static,dynamic_easy,mild,1.1531,-13.95,1.36,-0.0265,-0.0494,1.1247,0.0182,2.784,SEARCH,0.0000,0.0000,0.0000,-0.0647
1457,static,dynamic_easy,mild,1.1570,-13.94,1.46,-0.0279,-0.0491,1.1272,0.0176,2.787,SEARCH,0.0000,0.0000,0.0000,-0.0639
1557,static,dynamic_easy,mild,1.1612,-13.93,1.56,-0.0296,-0.0501,1.1297,0.0170,2.790,SEARCH,0.0000,0.0000,0.0000,-0.0631
