time_ms,mode,scenario,wind_scenario,linear_error_m,rotation_error_deg,engagement_duration_s,drone_x,drone_y,target_x,target_y,altitude_m,state,last_cmd_pitch,last_cmd_roll,last_cmd_yaw_vel,last_cmd_thrust
14,static,dynamic_easy,none,1.1033,0.07,0.01,0.0776,0.0050,1.1806,0.0267,2.785,SEARCH,0.0000,0.0000,0.0000,-0.0646
114,static,dynamic_easy,none,1.1074,-0.87,0.11,0.0764,0.0043,1.1835,0.0266,2.787,SEARCH,0.0000,0.0000,0.0000,-0.0638
214,static,dynamic_easy,none,1.1109,-1.84,0.21,0.0757,0.0037,1.1864,0.0265,2.790,SEARCH,0.0000,0.0000,0.0000,-0.0631
314,static,dynamic_easy,none,1.1143,-2.83,0.31,0.0752,0.0033,1.1893,0.0264,2.792,SEARCH,0.0000,0.0000,0.0000,-0.0625
414,static,dynamic_easy,none,1.1171,-3.86,0.41,0.0752,0.0032,1.1921,0.0262,2.794,SEARCH,0.0000,0.0000,0.0000,-0.0618
514,static,dynamic_easy,none,1.1197,-4.90,0.51,0.0755,0.0033,1.1949,0.0260,2.797,SEARCH,0.0000,0.0000,0.0000,-0.0610
614,static,dynamic_easy,none,1.1221,-5.97,0.61,0.0759,0.0035,1.1977,0.0257,2.799,SEARCH,0.0000,0.0000,0.0000,-0.0604
714,static,dynamic_easy,none,1.1248,-7.06,0.71,0.0759,0.0036,1.2005,0.0254,2.801,SEARCH,0.0000,0.0000,0.0000,-0.0597
814,static,dynamic_easy,none,1.1278,-8.17,0.81,0.0757,0.0036,1.2033,0.0250,2.803,SEARCH,0.0000,0.0000,0.0000,-0.0591
914,static,dynamic_easy,none,1.1318,-9.29,0.91,0.0744,0.0032,1.2060,0.0246,2.805,SEARCH,0.0000,0.0000,0.0000,-0.0585
1014,static,dynamic_easy,none,1.1367,-10.41,1.01,0.0723,0.0028,1.2087,0.0241,2.807,SEARCH,0.0000,0.0000,0.0000,-0.0580
1114,static,dynamic_easy,none,1.1423,-11.53,1.11,0.0693,0.0024,1.2114,0.0235,2.809,SEARCH,0.0000,0.0000,0.0000,-0.0574
1214,static,dynamic_easy,none,1.1479,-12.66,1.21,0.0664,0.0025,1.2141,0.0230,2.810,SEARCH,0.0000,0.0000,0.0000,-0.0569
1314,static,dynamic_easy,none,1.1535,-13.78,1.31,0.0635,0.0029,1.2168,0.0223,2.812,SEARCH,0.0000,0.0000,0.0000,-0.0563
1414,static,dynamic_easy,none,1.1585,-14.00,1.41,0.0611,0.0034,1.2195,0.0217,2.815,SEARCH,0.0000,0.0000,0.0000,-0.0556
1514,static,dynamic_easy,none,1.1636,-14.01,1.51,0.0586,0.0042,1.2221,0.0210,2.817,SEARCH,0.0000,0.0000,0.0000,-0.0550
1614,static,dynamic_easy,none,1.1682,-14.02,1.61,0.0566,0.0048,1.2247,0.0203,2.819,SEARCH,0.0000,0.0000,0.0000,-0.0543
1714,static,dynamic_easy,none,1.1724,-14.02,1.71,0.0550,0.0053,1.2273,0.0197,2.821,SEARCH,0.0000,0.0000,0.0000,-0.0537
1814,static,dynamic_easy,none,1.1758,-14.02,1.81,0.0541,0.0059,1.2299,0.0191,2.823,SEARCH,0.0000,0.0000,0.0000,-0.0530
1914,static,dynamic_easy,none,1.1789,-14.02,1.91,0.0535,0.0064,1.2324,0.0184,2.825,SEARCH,0.0000,0.0000,0.0000,-0.0524
2014,static,dynamic_easy,none,1.1817,-14.02,2.01,0.0533,0.0064,1.2350,0.0178,2.827,SEARCH,0.0000,0.0000,0.0000,-0.0518
2114,static,dynamic_easy,none,1.1844,-14.01,2.11,0.0532,0.0062,1.2375,0.0171,2.829,SEARCH,0.0000,0.0000,0.0000,-0.0512
2214,static,dynamic_easy,none,1.1874,-14.01,2.21,0.0526,0.0058,1.2400,0.0165,2.832,SEARCH,0.0000,0.0000,0.0000,-0.0505
2314,static,dynamic_easy,none,1.1913,-14.00,2.31,0.0512,0.0050,1.2425,0.0159,2.834,SEARCH,0.0000,0.0000,0.0000,-0.0499
2414,static,dynamic_easy,none,1.1959,-14.00,2.41,0.0491,0.0035,1.2449,0.0153,2.835,SEARCH,0.0000,0.0000,0.0000,-0.0494
2514,static,dynamic_easy,none,1.2006,-14.00,2.51,0.0469,0.0013,1.2474,0.0147,2.838,SEARCH,0.0000,0.0000,0.0000,-0.0487
2614,static,dynamic_easy,none,1.2050,-14.00,2.61,0.0449,-0.0009,1.2498,0.0141,2.840,SEARCH,0.0000,0.0000,0.0000,-0.0481
2714,static,dynamic_easy,none,1.2090,-13.99,2.71,0.0434,-0.0029,1.2523,0.0135,2.841,SEARCH,0.0000,0.0000,0.0000,-0.0476
2814,static,dynamic_easy,none,1.2134,-13.99,2.81,0.0414,-0.0045,1.2547,0.0129,2.843,SEARCH,0.0000,0.0000,0.0000,-0.0470
2914,static,dynamic_easy,none,1.2178,-13.99,2.91,0.0394,-0.0050,1.2570,0.0123,2.845,SEARCH,0.0000,0.0000,0.0000,-0.0464
3014,static,dynamic_easy,none,1.2216,-14.00,3.01,0.0379,-0.0053,1.2594,0.0117,2.848,SEARCH,0.0000,0.0000,0.0000,-0.0457
3114,static,dynamic_easy,none,1.2247,-14.00,3.11,0.0372,-0.0060,1.2618,0.0111,2.849,SEARCH,0.0000,0.0000,0.0000,-0.0452
3214,static,dynamic_easy,none,1.2273,-14.00,3.21,0.0369,-0.0071,1.2641,0.0105,2.851,SEARCH,0.0000,0.0000,0.0000,-0.0447
3314,static,dynamic_easy,none,1.2300,-14.00,3.31,0.0366,-0.0085,1.2664,0.0099,2.853,SEARCH,0.0000,0.0000,0.0000,-0.0441
3414,static,dynamic_easy,none,1.2330,-14.01,3.41,0.0359,-0.0095,1.2688,0.0093,2.855,SEARCH,0.0000,0.0000,0.0000,-0.0436
3514,static,dynamic_easy,none,1.2366,-14.01,3.51,0.0346,-0.0098,1.2711,0.0088,2.856,SEARCH,0.0000,0.0000,0.0000,-0.0431
3614,static,dynamic_easy,none,1.2398,-14.01,3.61,0.0337,-0.0098,1.2733,0.0082,2.858,SEARCH,0.0000,0.0000,0.0000,-0.0425
3714,static,dynamic_easy,none,1.2432,-14.02,3.71,0.0325,-0.0098,1.2756,0.0076,2.860,SEARCH,0.0000,0.0000,0.0000,-0.0420
3814,static,dynamic_easy,none,1.2468,-14.02,3.81,0.0312,-0.0100,1.2779,0.0071,2.862,SEARCH,0.0000,0.0000,0.0000,-0.0415
