time_ms,mode,scenario,wind_scenario,linear_error_m,rotation_error_deg,engagement_duration_s,drone_x,drone_y,target_x,target_y,altitude_m,state,last_cmd_pitch,last_cmd_roll,last_cmd_yaw_vel,last_cmd_thrust
23,static,dynamic_easy,strong,1.0718,0.77,0.02,-0.0216,0.0274,1.0498,0.0020,2.586,SEARCH,0.0000,0.0000,0.0000,-0.1243
123,static,dynamic_easy,strong,1.0784,4.44,0.12,-0.0247,0.0224,1.0535,0.0024,2.593,SEARCH,0.0000,0.0000,0.0000,-0.1222
223,static,dynamic_easy,strong,1.0843,7.42,0.22,-0.0269,0.0196,1.0572,0.0027,2.599,SEARCH,0.0000,0.0000,0.0000,-0.1204
323,static,dynamic_easy,strong,1.0902,9.62,0.32,-0.0292,0.0188,1.0609,0.0031,2.606,SEARCH,0.0000,0.0000,0.0000,-0.1183
422,static,dynamic_easy,strong,1.0962,11.18,0.42,-0.0315,0.0199,1.0646,0.0036,2.612,SEARCH,0.0000,0.0000,0.0000,-0.1164
523,static,dynamic_easy,strong,1.1023,11.94,0.52,-0.0338,0.0224,1.0684,0.0040,2.619,SEARCH,0.0000,0.0000,0.0000,-0.1144
623,static,dynamic_easy,strong,1.1085,12.09,0.62,-0.0361,0.0256,1.0721,0.0044,2.625,SEARCH,0.0000,0.0000,0.0000,-0.1125
723,static,dynamic_easy,strong,1.1150,11.75,0.72,-0.0388,0.0301,1.0759,0.0049,2.632,SEARCH,0.0000,0.0000,0.0000,-0.1104
823,static,dynamic_easy,strong,1.1217,11.08,0.82,-0.0417,0.0348,1.0796,0.0054,2.638,SEARCH,0.0000,0.0000,0.0000,-0.1086
923,static,dynamic_easy,strong,1.1286,10.25,0.92,-0.0447,0.0395,1.0834,0.0059,2.644,SEARCH,0.0000,0.0000,0.0000,-0.1068
1022,static,dynamic_easy,strong,1.1349,9.40,1.02,-0.0471,0.0426,1.0872,0.0064,2.650,SEARCH,0.0000,0.0000,0.0000,-0.1051
1123,static,dynamic_easy,strong,1.1401,8.65,1.12,-0.0484,0.0444,1.0910,0.0069,2.655,SEARCH,0.0000,0.0000,0.0000,-0.1034
1223,static,dynamic_easy,strong,1.1446,7.99,1.22,-0.0492,0.0447,1.0949,0.0075,2.661,SEARCH,0.0000,0.0000,0.0000,-0.1018
1323,static,dynamic_easy,strong,1.1491,7.57,1.32,-0.0498,0.0438,1.0987,0.0080,2.666,SEARCH,0.0000,0.0000,0.0000,-0.1003
