time_ms,mode,scenario,wind_scenario,linear_error_m,rotation_error_deg,engagement_duration_s,drone_x,drone_y,target_x,target_y,altitude_m,state,last_cmd_pitch,last_cmd_roll,last_cmd_yaw_vel,last_cmd_thrust
36,static,dynamic,gust1,0.9132,4.98,0.04,-0.0213,0.0443,0.8805,0.1878,2.842,SEARCH,0.0000,0.0000,0.0000,-0.0475
137,static,dynamic,gust1,0.9472,3.91,0.14,-0.0212,0.0442,0.9147,0.1903,2.845,SEARCH,0.0000,0.0000,0.0000,-0.0466
236,static,dynamic,gust1,0.9811,2.83,0.24,-0.0208,0.0444,0.9491,0.1922,2.847,SEARCH,0.0000,0.0000,0.0000,-0.0459
336,static,dynamic,gust1,1.0154,1.75,0.34,-0.0208,0.0448,0.9837,0.1935,2.850,SEARCH,0.0000,0.0000,0.0000,-0.0450
436,static,dynamic,gust1,1.0504,0.68,0.44,-0.0214,0.0452,1.0184,0.1941,2.853,SEARCH,0.0000,0.0000,0.0000,-0.0442
537,static,dynamic,gust1,1.0854,-0.39,0.54,-0.0218,0.0452,1.0533,0.1940,2.855,SEARCH,0.0000,0.0000,0.0000,-0.0434
637,static,dynamic,gust1,1.1201,-1.45,0.64,-0.0218,0.0452,1.0884,0.1934,2.858,SEARCH,0.0000,0.0000,0.0000,-0.0426
736,static,dynamic,gust1,1.1542,-2.50,0.74,-0.0211,0.0453,1.1237,0.1920,2.861,SEARCH,0.0000,0.0000,0.0000,-0.0418
837,static,dynamic,gust1,1.1883,-3.54,0.84,-0.0204,0.0456,1.1591,0.1900,2.863,SEARCH,0.0000,0.0000,0.0000,-0.0410
936,static,dynamic,gust1,1.2226,-4.56,0.94,-0.0197,0.0462,1.1947,0.1874,2.866,SEARCH,0.0000,0.0000,0.0000,-0.0403
1037,static,dynamic,gust1,1.2574,-5.57,1.04,-0.0193,0.0464,1.2304,0.1841,2.868,SEARCH,0.0000,0.0000,0.0000,-0.0396
1137,static,dynamic,gust1,1.2932,-5.67,1.14,-0.0198,0.0459,1.2664,0.1805,2.871,SEARCH,0.0000,0.0000,0.0000,-0.0388
1237,static,dynamic,gust1,1.3300,-5.68,1.24,-0.0209,0.0446,1.3024,0.1769,2.873,SEARCH,0.0000,0.0000,0.0000,-0.0382
1337,static,dynamic,gust1,1.3667,-5.68,1.34,-0.0217,0.0429,1.3387,0.1732,2.875,SEARCH,0.0000,0.0000,0.0000,-0.0375
1436,static,dynamic,gust1,1.4031,-5.68,1.44,-0.0220,0.0401,1.3751,0.1696,2.877,SEARCH,0.0000,0.0000,0.0000,-0.0370
1536,static,dynamic,gust1,1.4395,-5.68,1.54,-0.0221,0.0373,1.4116,0.1659,2.879,SEARCH,0.0000,0.0000,0.0000,-0.0364
1636,static,dynamic,gust1,1.4759,-5.68,1.64,-0.0220,0.0340,1.4483,0.1623,2.881,SEARCH,0.0000,0.0000,0.0000,-0.0358
1736,static,dynamic,gust1,1.5125,-5.68,1.74,-0.0219,0.0303,1.4852,0.1586,2.883,SEARCH,0.0000,0.0000,0.0000,-0.0352
1837,static,dynamic,gust1,1.5489,-5.69,1.84,-0.0214,0.0261,1.5221,0.1549,2.884,SEARCH,0.0000,0.0000,0.0000,-0.0347
1936,static,dynamic,gust1,1.5852,-5.69,1.94,-0.0208,0.0230,1.5593,0.1512,2.886,SEARCH,0.0000,0.0000,0.0000,-0.0341
2036,static,dynamic,gust1,1.6223,-5.69,2.04,-0.0208,0.0207,1.5965,0.1474,2.888,SEARCH,0.0000,0.0000,0.0000,-0.0336
2137,static,dynamic,gust1,1.6600,-5.70,2.14,-0.0214,0.0197,1.6339,0.1437,2.890,SEARCH,0.0000,0.0000,0.0000,-0.0331
2236,static,dynamic,gust1,1.6982,-5.70,2.24,-0.0224,0.0195,1.6715,0.1400,2.892,SEARCH,0.0000,0.0000,0.0000,-0.0325
2336,static,dynamic,gust1,1.7376,-5.70,2.34,-0.0246,0.0199,1.7092,0.1362,2.893,SEARCH,0.0000,0.0000,0.0000,-0.0320
2436,static,dynamic,gust1,1.7778,-5.71,2.44,-0.0274,0.0206,1.7469,0.1324,2.895,SEARCH,0.0000,0.0000,0.0000,-0.0314
2536,static,dynamic,gust1,1.8182,5.71,2.54,-0.0302,0.0216,1.7849,0.1286,2.897,SEARCH,0.0000,0.0000,0.0000,-0.0309
2637,static,dynamic,gust1,1.8586,5.72,2.64,-0.0330,0.0235,1.8229,0.1248,2.899,SEARCH,0.0000,0.0000,0.0000,-0.0304
2736,static,dynamic,gust1,1.8990,5.72,2.74,-0.0356,0.0259,1.8611,0.1210,2.900,SEARCH,0.0000,0.0000,0.0000,-0.0299
2836,static,dynamic,gust1,1.9402,5.72,2.84,-0.0389,0.0286,1.8993,0.1172,2.902,SEARCH,0.0000,0.0000,0.0000,-0.0294
2936,static,dynamic,gust1,1.9816,5.72,2.94,-0.0421,0.0306,1.9377,0.1133,2.904,SEARCH,0.0000,0.0000,0.0000,-0.0289
3037,static,dynamic,gust1,2.0226,5.72,3.04,-0.0449,0.0321,1.9762,0.1095,2.905,SEARCH,0.0000,0.0000,0.0000,-0.0284
3138,static,dynamic,gust1,2.0631,5.72,3.14,-0.0471,0.0334,2.0148,0.1056,2.907,STABILIZE_HIGH,0.0000,0.0000,0.0000,-0.0279
3237,static,dynamic,gust1,2.1025,5.71,3.24,-0.0479,0.0345,2.0535,0.1018,2.908,STABILIZE_HIGH,-0.6443,0.0529,-0.4536,-0.0275
3337,static,dynamic,gust1,2.1417,-5.68,3.34,-0.0486,0.0358,2.0923,0.0979,2.910,STABILIZE_HIGH,-0.6586,0.0529,-0.4504,-0.0269
3437,static,dynamic,gust1,2.1858,-5.58,3.44,-0.0540,0.0381,2.1311,0.0940,2.912,STABILIZE_HIGH,-0.8366,0.0566,-0.4504,-0.0265
3537,static,dynamic,gust1,2.2371,-5.37,3.54,-0.0665,0.0415,2.1701,0.0901,2.913,STABILIZE_HIGH,-0.9240,0.0603,-0.4424,-0.0262
3637,static,dynamic,gust1,2.3001,-5.02,3.64,-0.0906,0.0464,2.2092,0.0862,2.913,STABILIZE_HIGH,-0.9242,0.0559,-0.4424,-0.0262
3737,static,dynamic,gust1,2.3718,-4.54,3.74,-0.1233,0.0516,2.2483,0.0823,2.912,DESCEND_TO_LOW,-0.9249,0.0487,-0.4424,-0.0265
3836,static,dynamic,gust1,2.4536,-3.94,3.84,-0.1660,0.0582,2.2875,0.0783,2.909,DESCEND_TO_LOW,-0.9114,0.0849,-0.2760,0.5000
3936,static,dynamic,gust1,2.5469,-3.17,3.94,-0.2200,0.0670,2.3268,0.0744,2.878,DESCEND_TO_LOW,-0.7773,0.1042,-0.2552,0.5000
4037,static,dynamic,gust1,2.6478,-2.36,4.04,-0.2816,0.0771,2.3662,0.0705,2.831,DESCEND_TO_LOW,-0.5927,0.1268,-0.1984,0.5000
4137,static,dynamic,gust1,2.7498,-1.41,4.14,-0.3441,0.0879,2.4056,0.0665,2.774,DESCEND_TO_LOW,-0.3473,0.1627,-0.1648,0.5000
4237,static,dynamic,gust1,2.8605,-0.45,4.24,-0.4150,0.1020,2.4451,0.0626,2.720,DESCEND_TO_LOW,-0.0768,0.1977,-0.0936,0.5000
4337,static,dynamic,gust1,2.9651,0.50,4.34,-0.4798,0.1173,2.4847,0.0586,2.663,DESCEND_TO_LOW,0.2409,0.2441,0.0648,0.5000
4437,static,dynamic,gust1,3.0698,1.37,4.44,-0.5444,0.1370,2.5243,0.0547,2.613,DESCEND_TO_LOW,0.4054,0.2761,0.0768,0.5000
4537,static,dynamic,gust1,3.1610,2.19,4.54,-0.5952,0.1573,2.5640,0.0507,2.560,DESCEND_TO_LOW,0.8205,0.3402,0.2096,0.5000
4636,static,dynamic,gust1,3.2424,2.81,4.64,-0.6359,0.1806,2.6037,0.0467,2.514,DESCEND_TO_LOW,1.0000,0.3735,0.1832,0.5000
4737,static,dynamic,gust1,3.3047,3.21,4.74,-0.6573,0.2031,2.6435,0.0428,2.464,DESCEND_TO_LOW,1.0000,0.3890,0.2320,0.5000
4836,static,dynamic,gust1,3.3498,3.31,4.84,-0.6611,0.2285,2.6833,0.0388,2.417,DESCEND_TO_LOW,1.0000,0.3994,0.2320,0.5000
4937,static,dynamic,gust1,3.3758,3.10,4.94,-0.6457,0.2522,2.7231,0.0348,2.363,DESCEND_TO_LOW,1.0000,0.4007,0.2776,0.5000
5037,static,dynamic,gust1,3.3812,2.64,5.04,-0.6091,0.2784,2.7630,0.0308,2.310,DESCEND_TO_LOW,1.0000,0.3972,0.2776,0.5000
5136,static,dynamic,gust1,3.3736,2.00,5.14,-0.5594,0.3024,2.8029,0.0268,2.256,DESCEND_TO_LOW,1.0000,0.2963,0.1992,0.5000
5236,static,dynamic,gust1,3.3477,1.25,5.24,-0.4909,0.3284,2.8428,0.0228,2.195,DESCEND_TO_LOW,1.0000,0.2102,0.1320,0.5000
