time_ms,mode,scenario,wind_scenario,linear_error_m,rotation_error_deg,engagement_duration_s,drone_x,drone_y,target_x,target_y,altitude_m,state,last_cmd_pitch,last_cmd_roll,last_cmd_yaw_vel,last_cmd_thrust
40,static,dynamic,mild,1.2043,14.05,0.04,-0.0650,0.0005,1.1285,0.1615,2.866,SEARCH,0.0000,0.0000,0.0000,-0.0402
140,static,dynamic,mild,1.2404,14.06,0.14,-0.0665,-0.0016,1.1620,0.1699,2.868,SEARCH,0.0000,0.0000,0.0000,-0.0396
240,static,dynamic,mild,1.2767,14.06,0.24,-0.0678,-0.0044,1.1957,0.1783,2.870,SEARCH,0.0000,0.0000,0.0000,-0.0390
340,static,dynamic,mild,1.3126,14.06,0.34,-0.0685,-0.0080,1.2296,0.1868,2.872,SEARCH,0.0000,0.0000,0.0000,-0.0384
440,static,dynamic,mild,1.3482,14.06,0.44,-0.0684,-0.0126,1.2636,0.1953,2.874,SEARCH,0.0000,0.0000,0.0000,-0.0379
540,static,dynamic,mild,1.3832,14.07,0.54,-0.0675,-0.0172,1.2979,0.2039,2.876,SEARCH,0.0000,0.0000,0.0000,-0.0373
640,static,dynamic,mild,1.4175,14.07,0.64,-0.0657,-0.0217,1.3323,0.2125,2.877,SEARCH,0.0000,0.0000,0.0000,-0.0368
740,static,dynamic,mild,1.4513,14.08,0.74,-0.0633,-0.0256,1.3669,0.2211,2.879,SEARCH,0.0000,0.0000,0.0000,-0.0363
840,static,dynamic,mild,1.4846,14.08,0.84,-0.0601,-0.0295,1.4017,0.2298,2.881,SEARCH,0.0000,0.0000,0.0000,-0.0358
940,static,dynamic,mild,1.5180,14.08,0.94,-0.0568,-0.0327,1.4367,0.2386,2.882,SEARCH,0.0000,0.0000,0.0000,-0.0354
1040,static,dynamic,mild,1.5511,14.08,1.04,-0.0533,-0.0354,1.4718,0.2473,2.883,SEARCH,0.0000,0.0000,0.0000,-0.0350
1140,static,dynamic,mild,1.5850,14.07,1.14,-0.0504,-0.0376,1.5071,0.2562,2.885,SEARCH,0.0000,0.0000,0.0000,-0.0346
1240,static,dynamic,mild,1.6192,14.06,1.24,-0.0477,-0.0396,1.5426,0.2650,2.886,SEARCH,0.0000,0.0000,0.0000,-0.0341
1340,static,dynamic,mild,1.6537,14.06,1.34,-0.0453,-0.0405,1.5783,0.2740,2.888,SEARCH,0.0000,0.0000,0.0000,-0.0337
1440,static,dynamic,mild,1.6879,14.05,1.44,-0.0425,-0.0409,1.6141,0.2829,2.889,SEARCH,0.0000,0.0000,0.0000,-0.0332
1540,static,dynamic,mild,1.7223,14.04,1.54,-0.0398,-0.0409,1.6500,0.2919,2.891,SEARCH,0.0000,0.0000,0.0000,-0.0327
1640,static,dynamic,mild,1.7563,14.04,1.64,-0.0366,-0.0408,1.6862,0.3009,2.893,SEARCH,0.0000,0.0000,0.0000,-0.0322
1740,static,dynamic,mild,1.7905,13.32,1.74,-0.0335,-0.0405,1.7224,0.3098,2.894,SEARCH,0.0000,0.0000,0.0000,-0.0318
1840,static,dynamic,mild,1.8242,12.26,1.84,-0.0298,-0.0402,1.7589,0.3179,2.896,SEARCH,0.0000,0.0000,0.0000,-0.0313
1940,static,dynamic,mild,1.8574,11.19,1.94,-0.0255,-0.0406,1.7955,0.3254,2.897,SEARCH,0.0000,0.0000,0.0000,-0.0308
2040,static,dynamic,mild,1.8904,10.11,2.04,-0.0209,-0.0416,1.8322,0.3322,2.899,SEARCH,0.0000,0.0000,0.0000,-0.0304
2140,static,dynamic,mild,1.9244,9.02,2.14,-0.0173,-0.0422,1.8691,0.3383,2.901,SEARCH,0.0000,0.0000,0.0000,-0.0298
2240,static,dynamic,mild,1.9587,7.93,2.24,-0.0141,-0.0425,1.9061,0.3437,2.902,SEARCH,0.0000,0.0000,0.0000,-0.0293
2340,static,dynamic,mild,1.9941,6.84,2.34,-0.0122,-0.0424,1.9433,0.3484,2.904,SEARCH,0.0000,0.0000,0.0000,-0.0289
2440,static,dynamic,mild,2.0301,5.75,2.44,-0.0109,-0.0415,1.9806,0.3524,2.905,SEARCH,0.0000,0.0000,0.0000,-0.0284
2540,static,dynamic,mild,2.0665,4.66,2.54,-0.0103,-0.0398,2.0180,0.3557,2.907,SEARCH,0.0000,0.0000,0.0000,-0.0279
2640,static,dynamic,mild,2.1026,3.58,2.64,-0.0095,-0.0368,2.0556,0.3583,2.909,SEARCH,0.0000,0.0000,0.0000,-0.0274
2740,static,dynamic,mild,2.1383,2.51,2.74,-0.0085,-0.0330,2.0933,0.3602,2.910,SEARCH,0.0000,0.0000,0.0000,-0.0270
2840,static,dynamic,mild,2.1734,1.45,2.84,-0.0071,-0.0282,2.1311,0.3614,2.912,SEARCH,0.0000,0.0000,0.0000,-0.0265
2940,static,dynamic,mild,2.2088,0.40,2.94,-0.0059,-0.0231,2.1691,0.3619,2.913,SEARCH,0.0000,0.0000,0.0000,-0.0261
3040,static,dynamic,mild,2.2446,0.63,3.04,-0.0051,-0.0182,2.2072,0.3617,2.915,SEARCH,0.0000,0.0000,0.0000,-0.0256
3140,static,dynamic,mild,2.2805,1.64,3.14,-0.0042,-0.0133,2.2454,0.3608,2.916,SEARCH,0.0000,0.0000,0.0000,-0.0251
3240,static,dynamic,mild,2.3166,2.63,3.24,-0.0034,-0.0094,2.2837,0.3593,2.918,STABILIZE_HIGH,0.0000,0.0000,0.0000,-0.0247
3340,static,dynamic,mild,2.3528,-3.60,3.34,-0.0024,-0.0067,2.3221,0.3571,2.919,STABILIZE_HIGH,-0.4869,0.2604,-0.2448,-0.0242
3440,static,dynamic,mild,2.3893,-4.53,3.44,-0.0017,-0.0043,2.3606,0.3542,2.921,STABILIZE_HIGH,-0.5448,0.2734,-0.2568,-0.0236
3540,static,dynamic,mild,2.4287,-5.42,3.54,-0.0039,-0.0013,2.3992,0.3507,2.923,STABILIZE_HIGH,-0.6566,0.3087,-0.2958,-0.0232
3640,static,dynamic,mild,2.4737,-6.23,3.64,-0.0120,0.0050,2.4379,0.3466,2.924,STABILIZE_HIGH,-0.7128,0.3309,-0.3150,-0.0229
3740,static,dynamic,mild,2.5252,-6.94,3.74,-0.0271,0.0143,2.4767,0.3419,2.924,STABILIZE_HIGH,-0.7345,0.3312,-0.3396,-0.0227
3840,static,dynamic,mild,2.5870,-7.54,3.84,-0.0530,0.0287,2.5156,0.3366,2.924,DESCEND_TO_LOW,-0.7353,0.3347,-0.3540,0.5000
3940,static,dynamic,mild,2.6553,-8.02,3.94,-0.0854,0.0457,2.5546,0.3307,2.911,DESCEND_TO_LOW,-0.6678,0.3187,-0.4272,0.5000
4040,static,dynamic,mild,2.7331,-8.37,4.04,-0.1272,0.0670,2.5937,0.3242,2.873,DESCEND_TO_LOW,-0.5480,0.3102,-0.3696,0.5000
4140,static,dynamic,mild,2.8135,-8.56,4.14,-0.1713,0.0891,2.6329,0.3172,2.819,DESCEND_TO_LOW,-0.3728,0.2990,-0.3630,0.5000
4240,static,dynamic,mild,2.9022,-8.56,4.24,-0.2236,0.1156,2.6721,0.3097,2.766,DESCEND_TO_LOW,-0.1533,0.2961,-0.2898,0.5000
4340,static,dynamic,mild,2.9894,-8.47,4.34,-0.2736,0.1420,2.7115,0.3016,2.709,DESCEND_TO_LOW,0.0962,0.2832,-0.4134,0.5000
4440,static,dynamic,mild,3.0795,-8.22,4.44,-0.3263,0.1722,2.7508,0.2931,2.653,DESCEND_TO_LOW,0.3601,0.2839,-0.4974,0.5000
4540,static,dynamic,mild,3.1614,-7.86,4.54,-0.3700,0.2005,2.7903,0.2841,2.603,DESCEND_TO_LOW,0.4741,0.3014,-0.4530,0.5000
4640,static,dynamic,mild,3.2381,-7.41,4.64,-0.4080,0.2311,2.8298,0.2747,2.551,DESCEND_TO_LOW,0.8906,0.3368,-0.2148,0.5000
4740,static,dynamic,mild,3.3006,-6.77,4.74,-0.4312,0.2592,2.8694,0.2649,2.503,DESCEND_TO_LOW,1.0000,0.3565,-0.3582,0.5000
4840,static,dynamic,mild,3.3489,-5.66,4.84,-0.4397,0.2887,2.9090,0.2550,2.455,DESCEND_TO_LOW,1.0000,0.4206,-0.1746,0.5000
4940,static,dynamic,mild,3.3801,-4.61,4.94,-0.4307,0.3141,2.9487,0.2451,2.402,DESCEND_TO_LOW,1.0000,0.4708,-0.0492,0.5000
5040,static,dynamic,mild,3.3926,-3.68,5.04,-0.4026,0.3391,2.9885,0.2352,2.347,DESCEND_TO_LOW,1.0000,0.5046,-0.2376,0.5000
5140,static,dynamic,mild,3.3919,-2.92,5.14,-0.3609,0.3601,3.0282,0.2252,2.294,DESCEND_TO_LOW,1.0000,0.5585,-0.0450,0.5000
5240,static,dynamic,mild,3.3733,-2.31,5.24,-0.3012,0.3812,3.0680,0.2153,2.234,DESCEND_TO_LOW,1.0000,0.5739,-0.1074,0.5000
5340,static,dynamic,mild,3.3477,-1.86,5.34,-0.2342,0.3997,3.1079,0.2053,2.178,DESCEND_TO_LOW,1.0000,0.5839,-0.1398,0.5000
5440,static,dynamic,mild,3.3070,-1.53,5.44,-0.1516,0.4198,3.1478,0.1953,2.121,DESCEND_TO_LOW,1.0000,0.5993,-0.0012,0.5000
5540,static,dynamic,mild,3.2658,-1.27,5.54,-0.0682,0.4392,3.1877,0.1853,2.059,DESCEND_TO_LOW,1.0000,0.5751,-0.0492,0.5000
5640,static,dynamic,mild,3.2120,-1.08,5.64,0.0284,0.4615,3.2276,0.1754,2.003,DESCEND_TO_LOW,1.0000,0.5426,-0.0120,0.5000
5740,static,dynamic,mild,3.1617,-0.96,5.74,0.1219,0.4829,3.2676,0.1654,1.943,DESCEND_TO_LOW,1.0000,0.4965,-0.0168,0.5000
5840,static,dynamic,mild,3.1008,-0.90,5.84,0.2267,0.5064,3.3076,0.1554,1.884,DESCEND_TO_LOW,1.0000,0.4761,-0.0924,0.5000
5940,static,dynamic,mild,3.0387,-0.87,5.94,0.3332,0.5291,3.3476,0.1454,1.830,DESCEND_TO_LOW,1.0000,0.3911,-0.1140,0.5000
6040,static,dynamic,mild,2.9850,-0.89,6.04,0.4314,0.5491,3.3876,0.1354,1.773,STABILIZE_LOW,1.0000,0.3559,-0.1614,0.5000
6140,static,dynamic,mild,2.9329,-0.94,6.14,0.5283,0.5682,3.4275,0.1254,1.723,STABILIZE_LOW,1.0000,0.2513,-0.2004,0.0668
6240,static,dynamic,mild,2.8745,-1.00,6.24,0.6319,0.5865,3.4675,0.1154,1.696,STABILIZE_LOW,1.0000,0.1834,-0.1326,0.0589
6340,static,dynamic,mild,2.8180,-1.03,6.34,0.7337,0.6022,3.5075,0.1054,1.685,STABILIZE_LOW,1.0000,0.1238,-0.1494,0.0555
6440,static,dynamic,mild,2.7705,-1.03,6.44,0.8259,0.6137,3.5475,0.0954,1.678,HOLD,1.0000,0.1093,-0.0468,0.0545
6540,static,dynamic,mild,2.7170,-0.95,6.54,0.9239,0.6214,3.5875,0.0854,1.673,HOLD,0.9750,0.1066,-0.0456,-0.0015
6639,static,dynamic,mild,2.6716,-0.81,6.64,1.0128,0.6238,3.6275,0.0754,1.673,STABILIZE_LOW,1.0000,0.0104,-0.0402,0.0518
6739,static,dynamic,mild,2.6264,-0.63,6.74,1.1006,0.6218,3.6674,0.0654,1.672,HOLD,0.9874,0.0102,-0.0397,-0.0003
6840,static,dynamic,mild,2.5743,-0.42,6.84,1.1946,0.6152,3.7073,0.0554,1.670,HOLD,0.9624,0.0100,-0.0387,-0.0009
