time_ms,mode,scenario,wind_scenario,linear_error_m,rotation_error_deg,engagement_duration_s,drone_x,drone_y,target_x,target_y,altitude_m,state
100,static,dynamic,none,1.4449,26.56,0.10,-0.0939,0.0376,1.3282,0.2935,4.914,SEARCH
200,static,dynamic,none,1.4945,26.57,0.20,-0.0952,0.0371,1.3730,0.3159,4.916,SEARCH
300,static,dynamic,none,1.5440,25.91,0.30,-0.0961,0.0364,1.4182,0.3380,4.917,SEARCH
400,static,dynamic,none,1.5934,25.18,0.40,-0.0965,0.0356,1.4636,0.3596,4.919,SEARCH
500,static,dynamic,none,1.6426,24.39,0.50,-0.0966,0.0350,1.5093,0.3806,4.920,SEARCH
600,static,dynamic,none,1.6920,23.56,0.60,-0.0965,0.0343,1.5553,0.4009,4.921,SEARCH
700,static,dynamic,none,1.7418,22.67,0.70,-0.0967,0.0333,1.6015,0.4205,4.922,SEARCH
800,static,dynamic,none,1.7917,21.73,0.80,-0.0968,0.0323,1.6480,0.4393,4.923,SEARCH
900,static,dynamic,none,1.8409,20.73,0.90,-0.0962,0.0311,1.6948,0.4573,4.923,SEARCH
1000,static,dynamic,none,1.8897,19.69,1.00,-0.0950,0.0302,1.7418,0.4744,4.924,SEARCH
1100,static,dynamic,none,1.9375,18.59,1.10,-0.0929,0.0301,1.7890,0.4906,4.925,SEARCH
1200,static,dynamic,none,1.9845,17.45,1.20,-0.0903,0.0308,1.8365,0.5059,4.926,SEARCH
1300,static,dynamic,none,2.0306,16.26,1.30,-0.0870,0.0322,1.8841,0.5201,4.926,SEARCH
1400,static,dynamic,none,2.0768,15.02,1.40,-0.0837,0.0331,1.9320,0.5334,4.927,SEARCH
1500,static,dynamic,none,2.1231,13.75,1.50,-0.0803,0.0336,1.9801,0.5455,4.928,SEARCH
1600,static,dynamic,none,2.1699,12.43,1.60,-0.0775,0.0335,2.0284,0.5565,4.928,SEARCH
1700,static,dynamic,none,2.2172,11.07,1.70,-0.0753,0.0332,2.0768,0.5664,4.929,SEARCH
1800,static,dynamic,none,2.2656,9.68,1.80,-0.0743,0.0325,2.1254,0.5751,4.930,SEARCH
1900,static,dynamic,none,2.3149,8.26,1.90,-0.0743,0.0318,2.1742,0.5826,4.931,SEARCH
2000,static,dynamic,none,2.3655,6.80,2.00,-0.0756,0.0307,2.2231,0.5889,4.932,SEARCH
2100,static,dynamic,none,2.4168,5.32,2.10,-0.0777,0.0288,2.2722,0.5939,4.933,STABILIZE_5M
2200,static,dynamic,none,2.4685,3.81,2.20,-0.0803,0.0270,2.3214,0.5976,4.935,DESCEND_TO_1M
2300,static,dynamic,none,2.5237,2.21,2.30,-0.0873,0.0281,2.3707,0.6000,4.912,DESCEND_TO_1M
2400,static,dynamic,none,2.5848,0.62,2.40,-0.1019,0.0345,2.4201,0.6011,4.870,DESCEND_TO_1M
2500,static,dynamic,none,2.6548,0.97,2.50,-0.1269,0.0478,2.4696,0.6008,4.816,DESCEND_TO_1M
2600,static,dynamic,none,2.7382,2.57,2.60,-0.1672,0.0697,2.5192,0.5993,4.757,DESCEND_TO_1M
2700,static,dynamic,none,2.8343,4.18,2.70,-0.2212,0.0984,2.5689,0.5963,4.701,DESCEND_TO_1M
2800,static,dynamic,none,2.9366,5.78,2.80,-0.2812,0.1294,2.6187,0.5920,4.645,DESCEND_TO_1M
2900,static,dynamic,none,3.0470,7.36,2.90,-0.3489,0.1630,2.6685,0.5864,4.583,DESCEND_TO_1M
3000,static,dynamic,none,3.1705,8.90,3.00,-0.4294,0.2010,2.7184,0.5794,4.523,DESCEND_TO_1M
3100,static,dynamic,none,3.3005,10.40,3.10,-0.5153,0.2387,2.7684,0.5710,4.468,DESCEND_TO_1M
3200,static,dynamic,none,3.4283,11.86,3.20,-0.5978,0.2723,2.8183,0.5613,4.410,DESCEND_TO_1M
3300,static,dynamic,none,3.5644,13.28,3.30,-0.6878,0.3070,2.8683,0.5503,4.358,DESCEND_TO_1M
3400,static,dynamic,none,3.6938,14.62,3.40,-0.7700,0.3370,2.9183,0.5379,4.303,DESCEND_TO_1M
3500,static,dynamic,none,3.8293,15.92,3.50,-0.8578,0.3672,2.9683,0.5242,4.254,DESCEND_TO_1M
3600,static,dynamic,none,3.9554,-17.13,3.60,-0.9354,0.3929,3.0183,0.5091,4.206,DESCEND_TO_1M
3700,static,dynamic,none,4.0819,-18.23,3.70,-1.0129,0.4185,3.0683,0.4929,4.155,DESCEND_TO_1M
3800,static,dynamic,none,4.1951,-19.20,3.80,-1.0768,0.4392,3.1182,0.4753,4.106,DESCEND_TO_1M
3900,static,dynamic,none,4.3042,-20.09,3.90,-1.1361,0.4582,3.1681,0.4565,4.061,DESCEND_TO_1M
4000,static,dynamic,none,4.3998,-20.88,4.00,-1.1816,0.4724,3.2180,0.4365,4.012,DESCEND_TO_1M
4100,static,dynamic,none,4.4902,-21.68,4.10,-1.2219,0.4843,3.2678,0.4153,3.966,DESCEND_TO_1M
4200,static,dynamic,none,4.5704,-22.47,4.20,-1.2517,0.4927,3.3175,0.3930,3.920,DESCEND_TO_1M
4300,static,dynamic,none,4.6471,-23.31,4.30,-1.2781,0.4995,3.3672,0.3695,3.869,DESCEND_TO_1M
4400,static,dynamic,none,4.7179,-24.10,4.40,-1.2985,0.5042,3.4168,0.3451,3.821,DESCEND_TO_1M
4500,static,dynamic,none,4.7872,-24.04,4.50,-1.3173,0.5080,3.4662,0.3203,3.769,DESCEND_TO_1M
4600,static,dynamic,none,4.8529,-24.05,4.60,-1.3325,0.5108,3.5156,0.2956,3.717,DESCEND_TO_1M
4700,static,dynamic,none,4.9156,-24.09,4.70,-1.3448,0.5134,3.5649,0.2710,3.669,DESCEND_TO_1M
4800,static,dynamic,none,4.9705,-24.12,4.80,-1.3493,0.5150,3.6140,0.2464,3.621,DESCEND_TO_1M
4900,static,dynamic,none,5.0176,-24.10,4.90,-1.3461,0.5153,3.6630,0.2219,3.568,DESCEND_TO_1M
5000,static,dynamic,none,5.0560,-24.04,5.00,-1.3343,0.5136,3.7118,0.1975,3.514,DESCEND_TO_1M
5100,static,dynamic,none,5.0867,-23.90,5.10,-1.3150,0.5095,3.7605,0.1732,3.464,DESCEND_TO_1M
5200,static,dynamic,none,5.1132,-23.74,5.20,-1.2918,0.5043,3.8090,0.1489,3.414,DESCEND_TO_1M
5300,static,dynamic,none,5.1352,-23.58,5.30,-1.2643,0.4978,3.8574,0.1247,3.359,DESCEND_TO_1M
5400,static,dynamic,none,5.1516,-23.42,5.40,-1.2313,0.4897,3.9056,0.1007,3.309,DESCEND_TO_1M
5500,static,dynamic,none,5.1651,-23.31,5.50,-1.1957,0.4804,3.9535,0.0767,3.255,DESCEND_TO_1M
5600,static,dynamic,none,5.1787,-23.23,5.60,-1.1605,0.4710,4.0013,0.0528,3.201,DESCEND_TO_1M
5700,static,dynamic,none,5.1849,-23.12,5.70,-1.1181,0.4599,4.0489,0.0290,3.150,DESCEND_TO_1M
5800,static,dynamic,none,5.1895,-22.88,5.80,-1.0744,0.4482,4.0962,0.0053,3.095,DESCEND_TO_1M
5900,static,dynamic,none,5.1854,-22.52,5.90,-1.0223,0.4342,4.1433,-0.0182,3.043,DESCEND_TO_1M
6000,static,dynamic,none,5.1811,-21.96,6.00,-0.9703,0.4201,4.1902,-0.0417,2.987,DESCEND_TO_1M
6100,static,dynamic,none,5.1729,-21.31,6.10,-0.9147,0.4050,4.2368,-0.0650,2.935,DESCEND_TO_1M
6200,static,dynamic,none,5.1557,-20.56,6.20,-0.8506,0.3868,4.2832,-0.0882,2.879,DESCEND_TO_1M
6300,static,dynamic,none,5.1351,-19.89,6.30,-0.7835,0.3675,4.3293,-0.1112,2.827,DESCEND_TO_1M
6400,static,dynamic,none,5.1175,-19.27,6.40,-0.7194,0.3496,4.3752,-0.1342,2.771,DESCEND_TO_1M
