time_ms,mode,scenario,wind_scenario,linear_error_m,rotation_error_deg,engagement_duration_s,drone_x,drone_y,target_x,target_y,altitude_m,state,last_cmd_pitch,last_cmd_roll,last_cmd_yaw_vel,last_cmd_thrust
28,static,dynamic,none,1.2191,2.30,0.03,0.0017,-0.0614,1.1542,0.3360,2.937,SEARCH,0.0000,0.0000,0.0000,-0.0188
128,static,dynamic,none,1.2509,1.74,0.13,0.0004,-0.0617,1.1860,0.3371,2.936,SEARCH,0.0000,0.0000,0.0000,-0.0192
228,static,dynamic,none,1.2828,1.17,0.23,-0.0010,-0.0614,1.2181,0.3379,2.934,SEARCH,0.0000,0.0000,0.0000,-0.0198
328,static,dynamic,none,1.3145,0.60,0.33,-0.0024,-0.0599,1.2503,0.3383,2.934,SEARCH,0.0000,0.0000,0.0000,-0.0198
428,static,dynamic,none,1.3462,0.03,0.43,-0.0039,-0.0574,1.2827,0.3384,2.935,SEARCH,0.0000,0.0000,0.0000,-0.0194
528,static,dynamic,none,1.3774,0.54,0.53,-0.0048,-0.0547,1.3153,0.3383,2.934,SEARCH,0.0000,0.0000,0.0000,-0.0197
628,static,dynamic,none,1.4080,1.11,0.63,-0.0048,-0.0521,1.3482,0.3377,2.935,SEARCH,0.0000,0.0000,0.0000,-0.0195
728,static,dynamic,none,1.4384,1.67,0.73,-0.0042,-0.0501,1.3812,0.3369,2.936,SEARCH,0.0000,0.0000,0.0000,-0.0191
828,static,dynamic,none,1.4688,-2.24,0.83,-0.0031,-0.0493,1.4144,0.3357,2.941,SEARCH,0.0000,0.0000,0.0000,-0.0177
928,static,dynamic,none,1.4992,-2.80,0.93,-0.0017,-0.0491,1.4478,0.3342,2.942,SEARCH,0.0000,0.0000,0.0000,-0.0173
1028,static,dynamic,none,1.5298,-3.36,1.03,-0.0002,-0.0492,1.4813,0.3323,2.942,SEARCH,0.0000,0.0000,0.0000,-0.0174
1128,static,dynamic,none,1.5603,-3.92,1.13,0.0015,-0.0491,1.5151,0.3301,2.943,SEARCH,0.0000,0.0000,0.0000,-0.0171
1228,static,dynamic,none,1.5916,-4.48,1.23,0.0027,-0.0490,1.5490,0.3275,2.943,SEARCH,0.0000,0.0000,0.0000,-0.0171
1328,static,dynamic,none,1.6234,-5.03,1.33,0.0034,-0.0490,1.5832,0.3246,2.945,SEARCH,0.0000,0.0000,0.0000,-0.0164
1428,static,dynamic,none,1.6557,-5.58,1.43,0.0038,-0.0491,1.6175,0.3214,2.946,SEARCH,0.0000,0.0000,0.0000,-0.0161
1528,static,dynamic,none,1.6884,-6.12,1.53,0.0040,-0.0495,1.6520,0.3178,2.949,SEARCH,0.0000,0.0000,0.0000,-0.0152
1628,static,dynamic,none,1.7217,-6.66,1.63,0.0038,-0.0500,1.6866,0.3139,2.952,SEARCH,0.0000,0.0000,0.0000,-0.0143
1728,static,dynamic,none,1.7549,-7.19,1.73,0.0038,-0.0503,1.7215,0.3096,2.957,SEARCH,0.0000,0.0000,0.0000,-0.0130
1828,static,dynamic,none,1.7884,7.70,1.83,0.0038,-0.0508,1.7565,0.3049,2.960,SEARCH,0.0000,0.0000,0.0000,-0.0120
1928,static,dynamic,none,1.8224,8.21,1.93,0.0035,-0.0513,1.7917,0.3000,2.963,SEARCH,0.0000,0.0000,0.0000,-0.0112
2028,static,dynamic,none,1.8563,8.71,2.03,0.0032,-0.0508,1.8270,0.2947,2.965,SEARCH,0.0000,0.0000,0.0000,-0.0106
2128,static,dynamic,none,1.8898,9.19,2.13,0.0033,-0.0497,1.8626,0.2890,2.969,SEARCH,0.0000,0.0000,0.0000,-0.0094
2228,static,dynamic,none,1.9236,9.67,2.23,0.0034,-0.0483,1.8983,0.2830,2.972,SEARCH,0.0000,0.0000,0.0000,-0.0084
2328,static,dynamic,none,1.9577,10.13,2.33,0.0034,-0.0469,1.9341,0.2767,2.975,SEARCH,0.0000,0.0000,0.0000,-0.0075
2428,static,dynamic,none,1.9921,10.58,2.43,0.0031,-0.0452,1.9701,0.2701,2.977,SEARCH,0.0000,0.0000,0.0000,-0.0070
2528,static,dynamic,none,2.0264,11.01,2.53,0.0034,-0.0441,2.0063,0.2632,2.976,SEARCH,0.0000,0.0000,0.0000,-0.0072
2628,static,dynamic,none,2.0608,11.43,2.63,0.0037,-0.0439,2.0426,0.2559,2.974,SEARCH,0.0000,0.0000,0.0000,-0.0077
2728,static,dynamic,none,2.0954,11.83,2.73,0.0043,-0.0450,2.0791,0.2484,2.975,SEARCH,0.0000,0.0000,0.0000,-0.0075
2828,static,dynamic,none,2.1307,-12.22,2.83,0.0046,-0.0472,2.1158,0.2405,2.977,SEARCH,0.0000,0.0000,0.0000,-0.0070
2928,static,dynamic,none,2.1668,-12.59,2.93,0.0042,-0.0494,2.1525,0.2324,2.976,SEARCH,0.0000,0.0000,0.0000,-0.0071
3028,static,dynamic,none,2.2041,-12.95,3.03,0.0026,-0.0513,2.1895,0.2240,2.975,SEARCH,0.0000,0.0000,0.0000,-0.0075
3128,static,dynamic,none,2.2425,-13.30,3.13,0.0001,-0.0526,2.2265,0.2153,2.976,SEARCH,0.0000,0.0000,0.0000,-0.0072
3228,static,dynamic,none,2.2819,-13.63,3.23,-0.0033,-0.0531,2.2637,0.2063,2.980,SEARCH,0.0000,0.0000,0.0000,-0.0060
3328,static,dynamic,none,2.3212,-13.94,3.33,-0.0066,-0.0528,2.3011,0.1971,2.985,STABILIZE_HIGH,0.0000,0.0000,0.0000,-0.0044
3428,static,dynamic,none,2.3607,-14.03,3.43,-0.0100,-0.0515,2.3386,0.1877,2.991,STABILIZE_HIGH,-0.5376,0.1486,-0.8142,-0.0028
3528,static,dynamic,none,2.4008,-13.99,3.53,-0.0138,-0.0496,2.3762,0.1783,2.993,STABILIZE_HIGH,-0.5865,0.1491,-0.8136,-0.0021
3628,static,dynamic,none,2.4450,-13.83,3.63,-0.0215,-0.0464,2.4139,0.1689,2.994,STABILIZE_HIGH,-0.6817,0.1645,-0.7482,-0.0018
3728,static,dynamic,none,2.4940,-13.45,3.73,-0.0341,-0.0414,2.4518,0.1594,2.994,STABILIZE_HIGH,-0.6827,0.1603,-0.7482,-0.0019
3828,static,dynamic,none,2.5520,-12.80,3.83,-0.0556,-0.0333,2.4898,0.1499,2.994,STABILIZE_HIGH,-0.6846,0.1521,-0.7482,-0.0019
3928,static,dynamic,none,2.6169,-11.87,3.93,-0.0839,-0.0234,2.5279,0.1404,2.994,DESCEND_TO_LOW,-0.7116,0.1864,-0.7554,0.5000
4028,static,dynamic,none,2.6921,-10.64,4.03,-0.1222,-0.0106,2.5661,0.1309,2.988,DESCEND_TO_LOW,-0.6702,0.1955,-0.6684,0.5000
4128,static,dynamic,none,2.7699,-9.28,4.13,-0.1630,0.0040,2.6045,0.1213,2.967,DESCEND_TO_LOW,-0.6140,0.2024,-0.6630,0.5000
4228,static,dynamic,none,2.8560,-7.61,4.23,-0.2117,0.0227,2.6429,0.1117,2.934,DESCEND_TO_LOW,-0.6278,0.1832,-0.6630,0.5000
4328,static,dynamic,none,2.9408,-5.94,4.33,-0.2588,0.0424,2.6815,0.1020,2.898,DESCEND_TO_LOW,-0.2383,0.3559,-0.3510,0.5000
4428,static,dynamic,none,3.0315,-4.05,4.43,-0.3113,0.0661,2.7201,0.0924,2.858,DESCEND_TO_LOW,-0.2536,0.3473,-0.3510,0.5000
4528,static,dynamic,none,3.1177,-2.32,4.53,-0.3588,0.0900,2.7589,0.0827,2.815,DESCEND_TO_LOW,0.1211,0.5045,-0.1980,0.5000
4628,static,dynamic,none,3.2042,-0.53,4.63,-0.4062,0.1185,2.7977,0.0730,2.771,DESCEND_TO_LOW,0.1511,0.5290,-0.1266,0.5000
4728,static,dynamic,none,3.2811,0.97,4.73,-0.4433,0.1476,2.8366,0.0632,2.721,DESCEND_TO_LOW,0.4611,0.6854,0.0390,0.5000
4828,static,dynamic,none,3.3511,2.31,4.83,-0.4729,0.1828,2.8757,0.0535,2.673,DESCEND_TO_LOW,0.7896,0.8068,0.1050,0.5000
4928,static,dynamic,none,3.4068,3.37,4.93,-0.4876,0.2188,2.9148,0.0437,2.622,DESCEND_TO_LOW,0.9049,0.8629,0.1362,0.5000
5028,static,dynamic,none,3.4473,4.05,5.03,-0.4859,0.2612,2.9540,0.0339,2.573,DESCEND_TO_LOW,1.0000,0.9531,0.2124,0.5000
5128,static,dynamic,none,3.4709,4.34,5.13,-0.4664,0.3029,2.9932,0.0241,2.517,DESCEND_TO_LOW,1.0000,0.9679,0.2334,0.5000
5228,static,dynamic,none,3.4747,4.21,5.23,-0.4259,0.3502,3.0326,0.0143,2.463,DESCEND_TO_LOW,1.0000,0.9851,0.2334,0.5000
5328,static,dynamic,none,3.4659,3.76,5.33,-0.3718,0.3951,3.0720,0.0044,2.404,DESCEND_TO_LOW,1.0000,0.8749,0.2556,0.5000
5428,static,dynamic,none,3.4394,3.09,5.43,-0.2984,0.4441,3.1115,-0.0055,2.348,DESCEND_TO_LOW,1.0000,0.7593,0.2220,0.5000
5528,static,dynamic,none,3.4090,2.30,5.53,-0.2206,0.4887,3.1510,-0.0154,2.281,DESCEND_TO_LOW,1.0000,0.7593,0.2220,0.5000
5628,static,dynamic,none,3.3644,1.49,5.63,-0.1270,0.5341,3.1906,-0.0253,2.222,DESCEND_TO_LOW,1.0000,0.5143,0.1590,0.5000
5728,static,dynamic,none,3.3210,0.74,5.73,-0.0347,0.5728,3.2302,-0.0352,2.157,DESCEND_TO_LOW,1.0000,0.5072,0.1590,0.5000
5828,static,dynamic,none,3.2677,0.07,5.83,0.0685,0.6099,3.2699,-0.0451,2.098,DESCEND_TO_LOW,1.0000,0.5001,0.1590,0.5000
5928,static,dynamic,none,3.2207,-0.52,5.93,0.1648,0.6395,3.3097,-0.0550,2.037,DESCEND_TO_LOW,1.0000,0.1508,0.0066,0.5000
6028,static,dynamic,none,3.1658,-1.05,6.03,0.2694,0.6667,3.3495,-0.0650,1.981,DESCEND_TO_LOW,1.0000,-0.0359,-0.0504,0.5000
6127,static,dynamic,none,3.1187,-1.50,6.13,0.3648,0.6860,3.3893,-0.0749,1.923,DESCEND_TO_LOW,1.0000,-0.0641,-0.0378,0.5000
6227,static,dynamic,none,3.0643,-1.83,6.23,0.4667,0.6987,3.4292,-0.0849,1.873,HOLD,0.9875,-0.0633,-0.0373,-0.0061
6327,static,dynamic,none,3.0172,-2.01,6.33,0.5589,0.7015,3.4691,-0.0949,1.825,HOLD,0.9625,-0.0617,-0.0364,-0.0205
6429,static,dynamic,none,2.9634,-2.07,6.43,0.6556,0.6951,3.5090,-0.1049,1.796,STABILIZE_LOW,0.9625,-0.0617,-0.0364,-0.0205
6527,static,dynamic,none,2.9183,-2.04,6.53,0.7416,0.6822,3.5489,-0.1148,1.775,STABILIZE_LOW,1.0000,-0.3281,-0.1440,0.0824
6627,static,dynamic,none,2.8675,-1.79,6.63,0.8315,0.6622,3.5889,-0.1248,1.756,STABILIZE_LOW,1.0000,-0.3263,-0.0990,0.0768
6727,static,dynamic,none,2.8246,-1.29,6.73,0.9120,0.6382,3.6289,-0.1345,1.740,STABILIZE_LOW,1.0000,-0.3277,-0.1266,0.0719
6827,static,dynamic,none,2.7743,-0.73,6.83,0.9979,0.6062,3.6689,-0.1440,1.727,STABILIZE_LOW,1.0000,-0.3054,-0.0696,0.0681
6928,static,dynamic,none,2.7308,-0.12,6.93,1.0760,0.5716,3.7089,-0.1532,1.715,STABILIZE_LOW,1.0000,-0.3054,-0.0696,0.0681
7027,static,dynamic,none,2.6800,0.53,7.03,1.1597,0.5300,3.7489,-0.1621,1.704,STABILIZE_LOW,1.0000,-0.2036,0.0444,0.0613
7127,static,dynamic,none,2.6365,1.18,7.13,1.2362,0.4891,3.7889,-0.1708,1.692,STABILIZE_LOW,1.0000,-0.1912,0.0510,0.0576
7228,static,dynamic,none,2.5868,1.83,7.23,1.3181,0.4435,3.8288,-0.1791,1.683,STABILIZE_LOW,1.0000,-0.0855,0.0258,0.0549
7327,static,dynamic,none,2.5377,2.43,7.33,1.3997,0.3986,3.8688,-0.1871,1.672,STABILIZE_LOW,1.0000,-0.0829,0.0258,0.0517
7427,static,dynamic,none,2.4963,2.97,7.43,1.4748,0.3595,3.9088,-0.1948,1.665,STABILIZE_LOW,1.0000,0.0323,0.1338,0.0494
7527,static,dynamic,none,2.4556,3.44,7.53,1.5502,0.3240,3.9488,-0.2022,1.656,TERMINAL_LAND,1.0000,-0.6142,0.1830,0.0000
7627,static,dynamic,none,2.4080,3.81,7.63,1.6330,0.2898,3.9887,-0.2092,1.648,TERMINAL_LAND,1.0000,-0.5859,0.1986,0.0000
7727,static,dynamic,none,2.3665,4.12,7.73,1.7103,0.2595,4.0286,-0.2159,1.641,TERMINAL_LAND,1.0000,-0.5630,0.1962,0.0000
7827,static,dynamic,none,2.3176,4.34,7.83,1.7943,0.2241,4.0685,-0.2222,1.634,TERMINAL_LAND,1.0000,-0.5363,0.2370,0.0000
7927,static,dynamic,none,2.2755,4.52,7.93,1.8710,0.1871,4.1083,-0.2281,1.627,TERMINAL_LAND,1.0000,-0.5086,0.2370,0.0000
8027,static,dynamic,none,2.2271,4.64,8.03,1.9529,0.1418,4.1481,-0.2336,1.620,TERMINAL_LAND,1.0000,-0.4727,0.2370,0.0000
8127,static,dynamic,none,2.1859,4.75,8.13,2.0277,0.0955,4.1879,-0.2388,1.615,TERMINAL_LAND,1.0000,-0.4315,0.2754,0.0000
8227,static,dynamic,none,2.1387,4.83,8.23,2.1080,0.0413,4.2276,-0.2435,1.613,TERMINAL_LAND,1.0000,-0.3901,0.2850,0.0000
8327,static,dynamic,none,2.0992,4.87,8.33,2.1815,-0.0112,4.2673,-0.2478,1.611,TERMINAL_LAND,1.0000,-0.3458,0.3150,0.0000
8427,static,dynamic,none,2.0542,4.88,8.43,2.2609,-0.0691,4.3069,-0.2518,1.608,TERMINAL_LAND,1.0000,-0.2955,0.2844,0.0000
