time_ms,mode,scenario,wind_scenario,linear_error_m,rotation_error_deg,engagement_duration_s,drone_x,drone_y,target_x,target_y,altitude_m,state,last_cmd_pitch,last_cmd_roll,last_cmd_yaw_vel,last_cmd_thrust
96,static,dynamic,strong,1.2801,-11.44,0.10,0.0873,0.0143,1.2692,-0.4775,2.791,SEARCH,0.0000,0.0000,0.0000,-0.0627
196,static,dynamic,strong,1.3164,-11.13,0.20,0.0916,0.0146,1.3092,-0.4856,2.793,SEARCH,0.0000,0.0000,0.0000,-0.0620
296,static,dynamic,strong,1.3523,-10.82,0.30,0.0961,0.0153,1.3492,-0.4933,2.796,SEARCH,0.0000,0.0000,0.0000,-0.0612
396,static,dynamic,strong,1.3892,-10.49,0.40,0.0999,0.0163,1.3892,-0.5009,2.798,SEARCH,0.0000,0.0000,0.0000,-0.0605
496,static,dynamic,strong,1.4268,-10.16,0.50,0.1028,0.0178,1.4291,-0.5082,2.801,SEARCH,0.0000,0.0000,0.0000,-0.0598
596,static,dynamic,strong,1.4658,-9.82,0.60,0.1043,0.0195,1.4691,-0.5152,2.803,SEARCH,0.0000,0.0000,0.0000,-0.0591
696,static,dynamic,strong,1.5056,-9.47,0.70,0.1050,0.0217,1.5090,-0.5220,2.806,SEARCH,0.0000,0.0000,0.0000,-0.0583
796,static,dynamic,strong,1.5454,-9.11,0.80,0.1055,0.0236,1.5489,-0.5285,2.808,SEARCH,0.0000,0.0000,0.0000,-0.0577
896,static,dynamic,strong,1.5852,-8.74,0.90,0.1059,0.0254,1.5888,-0.5347,2.810,SEARCH,0.0000,0.0000,0.0000,-0.0569
996,static,dynamic,strong,1.6252,-8.36,1.00,0.1056,0.0265,1.6286,-0.5407,2.812,SEARCH,0.0000,0.0000,0.0000,-0.0563
1096,static,dynamic,strong,1.6649,-7.97,1.10,0.1052,0.0268,1.6684,-0.5464,2.815,SEARCH,0.0000,0.0000,0.0000,-0.0555
1196,static,dynamic,strong,1.7042,-7.56,1.20,0.1051,0.0268,1.7082,-0.5517,2.817,SEARCH,0.0000,0.0000,0.0000,-0.0549
1296,static,dynamic,strong,1.7436,-7.15,1.30,0.1050,0.0269,1.7479,-0.5568,2.819,SEARCH,0.0000,0.0000,0.0000,-0.0542
1396,static,dynamic,strong,1.7832,-6.73,1.40,0.1045,0.0275,1.7876,-0.5616,2.822,SEARCH,0.0000,0.0000,0.0000,-0.0535
1496,static,dynamic,strong,1.8233,-6.31,1.50,0.1034,0.0282,1.8272,-0.5661,2.824,SEARCH,0.0000,0.0000,0.0000,-0.0528
1596,static,dynamic,strong,1.8634,-5.88,1.60,0.1023,0.0289,1.8667,-0.5703,2.826,SEARCH,0.0000,0.0000,0.0000,-0.0522
1696,static,dynamic,strong,1.9033,-5.45,1.70,0.1011,0.0294,1.9062,-0.5741,2.828,SEARCH,0.0000,0.0000,0.0000,-0.0516
1796,static,dynamic,strong,1.9434,-5.01,1.80,0.0994,0.0292,1.9456,-0.5777,2.830,SEARCH,0.0000,0.0000,0.0000,-0.0510
1896,static,dynamic,strong,1.9836,-4.57,1.90,0.0973,0.0283,1.9850,-0.5809,2.832,SEARCH,0.0000,0.0000,0.0000,-0.0504
1996,static,dynamic,strong,2.0236,-4.12,2.00,0.0951,0.0270,2.0243,-0.5839,2.834,SEARCH,0.0000,0.0000,0.0000,-0.0499
2096,static,dynamic,strong,2.0631,-3.67,2.10,0.0929,0.0246,2.0635,-0.5865,2.836,SEARCH,0.0000,0.0000,0.0000,-0.0492
2196,static,dynamic,strong,2.1027,-3.21,2.20,0.0906,0.0217,2.1026,-0.5888,2.838,SEARCH,0.0000,0.0000,0.0000,-0.0486
2296,static,dynamic,strong,2.1419,-2.76,2.30,0.0885,0.0192,2.1417,-0.5908,2.840,SEARCH,0.0000,0.0000,0.0000,-0.0481
2396,static,dynamic,strong,2.1811,-2.30,2.40,0.0865,0.0172,2.1806,-0.5925,2.842,SEARCH,0.0000,0.0000,0.0000,-0.0475
2496,static,dynamic,strong,2.2199,-1.85,2.50,0.0851,0.0165,2.2195,-0.5939,2.844,SEARCH,0.0000,0.0000,0.0000,-0.0469
2596,static,dynamic,strong,2.2590,-1.39,2.60,0.0837,0.0169,2.2583,-0.5950,2.845,SEARCH,0.0000,0.0000,0.0000,-0.0464
2696,static,dynamic,strong,2.2992,-0.94,2.70,0.0811,0.0179,2.2970,-0.5957,2.847,SEARCH,0.0000,0.0000,0.0000,-0.0459
2796,static,dynamic,strong,2.3401,-0.49,2.80,0.0777,0.0191,2.3355,-0.5962,2.849,SEARCH,0.0000,0.0000,0.0000,-0.0454
2896,static,dynamic,strong,2.3819,-0.05,2.90,0.0733,0.0206,2.3740,-0.5963,2.850,SEARCH,0.0000,0.0000,0.0000,-0.0449
2996,static,dynamic,strong,2.4236,0.40,3.00,0.0692,0.0228,2.4124,-0.5962,2.852,SEARCH,0.0000,0.0000,0.0000,-0.0444
3096,static,dynamic,strong,2.4654,0.84,3.10,0.0650,0.0266,2.4506,-0.5957,2.854,STABILIZE_HIGH,0.0000,0.0000,0.0000,-0.0439
3196,static,dynamic,strong,2.5060,1.27,3.20,0.0621,0.0305,2.4888,-0.5950,2.855,STABILIZE_HIGH,-0.3571,-0.4906,0.0444,-0.0434
3296,static,dynamic,strong,2.5455,1.70,3.30,0.0599,0.0337,2.5268,-0.5940,2.857,STABILIZE_HIGH,-0.3880,-0.5167,0.1044,-0.0428
3396,static,dynamic,strong,2.5852,2.12,3.40,0.0564,0.0331,2.5647,-0.5927,2.859,STABILIZE_HIGH,-0.4404,-0.5775,0.1218,-0.0423
3496,static,dynamic,strong,2.6272,2.53,3.50,0.0487,0.0256,2.6025,-0.5911,2.860,STABILIZE_HIGH,-0.4404,-0.5770,0.1218,-0.0419
3596,static,dynamic,strong,2.6712,2.87,3.60,0.0372,0.0112,2.6401,-0.5892,2.861,STABILIZE_HIGH,-0.4804,-0.6367,0.1656,-0.0417
3696,static,dynamic,strong,2.7197,3.14,3.70,0.0192,-0.0131,2.6776,-0.5871,2.861,DESCEND_TO_LOW,-0.4539,-0.6380,0.1494,0.5000
3796,static,dynamic,strong,2.7714,3.34,3.80,-0.0029,-0.0428,2.7150,-0.5846,2.850,DESCEND_TO_LOW,-0.4090,-0.6197,0.1806,0.5000
3896,static,dynamic,strong,2.8283,3.48,3.90,-0.0312,-0.0807,2.7523,-0.5820,2.810,DESCEND_TO_LOW,-0.3112,-0.5910,0.1980,0.5000
3996,static,dynamic,strong,2.8871,3.56,4.00,-0.0611,-0.1208,2.7894,-0.5791,2.762,DESCEND_TO_LOW,-0.1766,-0.5533,0.1974,0.5000
4096,static,dynamic,strong,2.9507,3.60,4.10,-0.0962,-0.1687,2.8263,-0.5759,2.705,DESCEND_TO_LOW,-0.0019,-0.5085,0.2244,0.5000
4196,static,dynamic,strong,3.0155,3.60,4.20,-0.1316,-0.2195,2.8632,-0.5725,2.647,DESCEND_TO_LOW,0.1964,-0.4631,0.2130,0.5000
4296,static,dynamic,strong,3.0770,3.62,4.30,-0.1624,-0.2678,2.8998,-0.5689,2.594,DESCEND_TO_LOW,0.4003,-0.4131,0.2634,0.5000
4396,static,dynamic,strong,3.1360,3.61,4.40,-0.1897,-0.3163,2.9364,-0.5650,2.543,DESCEND_TO_LOW,0.6428,-0.3650,0.2280,0.5000
4496,static,dynamic,strong,3.1910,3.60,4.50,-0.2124,-0.3677,2.9727,-0.5609,2.488,DESCEND_TO_LOW,0.6519,-0.3742,0.2280,0.5000
4596,static,dynamic,strong,3.2368,3.57,4.60,-0.2247,-0.4129,3.0089,-0.5566,2.438,DESCEND_TO_LOW,0.9804,-0.3217,0.1674,0.5000
4696,static,dynamic,strong,3.2723,3.50,4.70,-0.2260,-0.4583,3.0450,-0.5522,2.384,DESCEND_TO_LOW,0.9949,-0.3322,0.1674,0.5000
4796,static,dynamic,strong,3.2957,3.43,4.80,-0.2144,-0.4968,3.0809,-0.5475,2.333,DESCEND_TO_LOW,1.0000,-0.2505,0.2292,0.5000
4896,static,dynamic,strong,3.3043,3.33,4.90,-0.1877,-0.5354,3.1166,-0.5426,2.277,DESCEND_TO_LOW,1.0000,-0.2262,0.2016,0.5000
4996,static,dynamic,strong,3.3025,3.23,5.00,-0.1501,-0.5679,3.1522,-0.5376,2.223,DESCEND_TO_LOW,1.0000,-0.2117,0.1800,0.5000
5096,static,dynamic,strong,3.2854,3.13,5.10,-0.0971,-0.6002,3.1876,-0.5324,2.164,DESCEND_TO_LOW,1.0000,-0.1973,0.1824,0.5000
5196,static,dynamic,strong,3.2630,3.05,5.20,-0.0386,-0.6277,3.2228,-0.5270,2.109,DESCEND_TO_LOW,1.0000,-0.1821,0.1890,0.5000
5296,static,dynamic,strong,3.2279,2.97,5.30,0.0328,-0.6551,3.2579,-0.5215,2.050,DESCEND_TO_LOW,1.0000,-0.1765,0.1614,0.5000
5396,static,dynamic,strong,3.1925,2.88,5.40,0.1044,-0.6780,3.2928,-0.5158,1.995,DESCEND_TO_LOW,1.0000,-0.1703,0.1608,0.5000
5496,static,dynamic,strong,3.1467,2.76,5.50,0.1866,-0.7006,3.3275,-0.5101,1.936,DESCEND_TO_LOW,1.0000,-0.1505,0.1590,0.5000
5596,static,dynamic,strong,3.1032,2.64,5.60,0.2663,-0.7198,3.3620,-0.5041,1.882,DESCEND_TO_LOW,1.0000,-0.1497,0.1830,0.5000
5696,static,dynamic,strong,3.0502,2.47,5.70,0.3557,-0.7385,3.3964,-0.4981,1.824,DESCEND_TO_LOW,1.0000,-0.1390,0.1548,0.5000
5796,static,dynamic,strong,2.9944,2.29,5.80,0.4477,-0.7553,3.4306,-0.4920,1.767,STABILIZE_LOW,1.0000,-0.1336,0.1476,0.0800
5896,static,dynamic,strong,2.9437,2.10,5.90,0.5346,-0.7693,3.4646,-0.4858,1.726,STABILIZE_LOW,1.0000,-0.1267,0.1482,0.0679
5996,static,dynamic,strong,2.8842,1.93,6.00,0.6302,-0.7829,3.4984,-0.4795,1.707,STABILIZE_LOW,1.0000,-0.1354,0.1482,0.0622
6096,static,dynamic,strong,2.8311,1.74,6.10,0.7192,-0.7943,3.5320,-0.4731,1.696,STABILIZE_LOW,1.0000,-0.1435,0.1482,0.0589
6196,static,dynamic,strong,2.7776,1.59,6.20,0.8085,-0.8049,3.5654,-0.4666,1.687,STABILIZE_LOW,1.0000,-0.1510,0.1482,0.0562
6297,static,dynamic,strong,2.7174,1.43,6.30,0.9047,-0.8162,3.5987,-0.4601,1.679,TERMINAL_LAND,1.0000,-0.0995,0.0732,0.0536
