time_ms,mode,scenario,linear_error_m,rotation_error_deg,engagement_duration_s,drone_x,drone_y,target_x,target_y,altitude_m,state,last_cmd_pitch,last_cmd_roll,last_cmd_yaw_vel,last_cmd_thrust
17,static,static,3.0787,0.05,0.02,6.9214,-0.0273,10.0000,0.0000,1.861,SEARCH,1.5472,0.0139,0.0000,-0.0417
117,static,static,2.9758,0.05,0.12,7.0243,-0.0233,10.0000,0.0000,1.864,SEARCH,1.4957,0.0120,0.0000,-0.0409
217,static,static,2.8737,0.05,0.22,7.1264,-0.0190,10.0000,0.0000,1.868,SEARCH,1.4486,0.0100,0.0000,-0.0397
317,static,static,2.7801,0.05,0.32,7.2200,-0.0150,10.0000,0.0000,1.872,DESCEND_TO_LOW,0.8346,0.0154,-0.0264,0.5000
417,static,static,2.6790,0.04,0.42,7.3210,-0.0106,10.0000,0.0000,1.870,DESCEND_TO_LOW,0.8358,0.0154,-0.0264,0.5000
517,static,static,2.5866,0.04,0.52,7.4134,-0.0071,10.0000,0.0000,1.850,DESCEND_TO_LOW,0.6442,0.0075,0.0048,0.5000
617,static,static,2.4880,0.04,0.62,7.5120,-0.0042,10.0000,0.0000,1.823,DESCEND_TO_LOW,0.5548,0.0037,0.0024,0.5000
718,static,static,2.3997,0.04,0.72,7.6003,-0.0020,10.0000,0.0000,1.788,HOLD,0.5216,0.0037,-0.0300,0.5000
817,static,static,2.3089,0.05,0.82,7.6911,0.0000,10.0000,0.0000,1.751,HOLD,0.5085,0.0036,-0.0292,-0.0110
917,static,static,2.2313,0.05,0.92,7.7687,0.0020,10.0000,0.0000,1.726,DESCEND_TO_LOW,0.3387,0.0000,0.0000,0.5000
1017,static,static,2.1540,0.07,1.02,7.8460,0.0048,10.0000,0.0000,1.709,DESCEND_TO_LOW,0.2875,-0.0035,-0.0308,0.5000
1117,static,static,2.0883,0.11,1.12,7.9117,0.0083,10.0000,0.0000,1.682,DESCEND_TO_LOW,0.2291,-0.0035,-0.0024,0.5000
1217,static,static,2.0242,0.15,1.22,7.9759,0.0124,10.0000,0.0000,1.646,DESCEND_TO_LOW,0.1769,-0.0069,-0.0048,0.5000
1317,static,static,1.9716,0.19,1.32,8.0285,0.0158,10.0000,0.0000,1.603,DESCEND_TO_LOW,0.1808,-0.0070,-0.0048,0.5000
1417,static,static,1.9215,0.22,1.42,8.0786,0.0191,10.0000,0.0000,1.560,DESCEND_TO_LOW,0.1533,-0.0103,0.0188,0.5000
1517,static,static,1.8809,0.26,1.52,8.1192,0.0220,10.0000,0.0000,1.512,DESCEND_TO_LOW,0.1666,-0.0103,0.0448,0.5000
1617,static,static,1.8453,0.29,1.62,8.1548,0.0247,10.0000,0.0000,1.466,DESCEND_TO_LOW,0.2212,-0.0168,0.0128,0.5000
1717,static,static,1.8121,0.30,1.72,8.1881,0.0275,10.0000,0.0000,1.415,DESCEND_TO_LOW,0.2265,-0.0171,0.0128,0.5000
1817,static,static,1.7825,0.31,1.82,8.2177,0.0302,10.0000,0.0000,1.367,DESCEND_TO_LOW,0.3392,-0.0234,0.0068,0.5000
1917,static,static,1.7573,0.31,1.92,8.2430,0.0326,10.0000,0.0000,1.318,DESCEND_TO_LOW,0.3773,-0.0340,-0.0672,0.5000
2017,static,static,1.7312,0.30,2.02,8.2691,0.0356,10.0000,0.0000,1.266,STABILIZE_LOW,0.4674,-0.0270,0.0252,0.0798
2117,static,static,1.7064,0.30,2.12,8.2941,0.0391,10.0000,0.0000,1.220,STABILIZE_LOW,0.4767,-0.0276,0.0252,0.0659
2217,static,static,1.6768,0.31,2.22,8.3237,0.0433,10.0000,0.0000,1.189,STABILIZE_LOW,0.6011,-0.0394,0.0148,0.0567
2317,static,static,1.6460,0.31,2.32,8.3547,0.0472,10.0000,0.0000,1.167,STABILIZE_LOW,0.6271,-0.0427,0.0104,0.0500
2417,static,static,1.6078,0.29,2.42,8.3930,0.0506,10.0000,0.0000,1.149,STABILIZE_LOW,0.6400,-0.0487,0.0256,0.0446
2518,static,static,1.5675,0.25,2.52,8.4334,0.0528,10.0000,0.0000,1.136,TERMINAL_LAND,0.6245,-0.0572,-0.0016,0.0408
2617,static,static,1.5226,0.19,2.62,8.4783,0.0544,10.0000,0.0000,1.127,TERMINAL_LAND,1.0000,-0.0542,0.0136,0.0000
2717,static,static,1.4687,0.12,2.72,8.5323,0.0548,10.0000,0.0000,1.119,TERMINAL_LAND,1.0000,-0.0549,0.0064,0.0000
