time_ms,mode,scenario,wind_scenario,linear_error_m,rotation_error_deg,engagement_duration_s,drone_x,drone_y,target_x,target_y,altitude_m,state,last_cmd_pitch,last_cmd_roll,last_cmd_yaw_vel,last_cmd_thrust
40,static,static,medium,5.2471,0.01,0.04,4.7529,-0.0144,10.0000,0.0000,2.899,SEARCH,2.6316,0.0074,0.0000,-0.0303
140,static,static,medium,5.1427,0.01,0.14,4.8573,-0.0116,10.0000,0.0000,2.899,SEARCH,2.5834,0.0061,0.0000,-0.0304
240,static,static,medium,5.0378,0.01,0.24,4.9622,-0.0089,10.0000,0.0000,2.898,SEARCH,2.5310,0.0048,0.0000,-0.0305
340,static,static,medium,4.9409,0.01,0.34,5.0591,-0.0065,10.0000,0.0000,2.897,SEARCH,2.4825,0.0035,0.0000,-0.0309
440,static,static,medium,4.8443,0.02,0.44,5.1557,-0.0048,10.0000,0.0000,2.896,SEARCH,2.4302,0.0025,0.0000,-0.0311
541,static,static,medium,4.7402,0.03,0.54,5.2598,-0.0041,10.0000,0.0000,2.895,SEARCH,2.3821,0.0021,0.0000,-0.0315
641,static,static,medium,4.6444,0.04,0.64,5.3556,-0.0040,10.0000,0.0000,2.893,SEARCH,2.3302,0.0020,0.0000,-0.0320
740,static,static,medium,4.5412,0.05,0.74,5.4588,-0.0043,10.0000,0.0000,2.893,SEARCH,2.2825,0.0021,0.0000,-0.0320
840,static,static,medium,4.4463,0.05,0.84,5.5537,-0.0043,10.0000,0.0000,2.892,SEARCH,2.2310,0.0021,0.0000,-0.0323
940,static,static,medium,4.3440,0.05,0.94,5.6560,-0.0044,10.0000,0.0000,2.892,SEARCH,2.1799,0.0022,0.0000,-0.0324
1041,static,static,medium,4.2499,0.04,1.04,5.7501,-0.0049,10.0000,0.0000,2.889,SEARCH,2.1328,0.0024,0.0000,-0.0332
1140,static,static,medium,4.1481,0.04,1.14,5.8519,-0.0052,10.0000,0.0000,2.889,SEARCH,2.0819,0.0026,0.0000,-0.0333
