time_ms,mode,scenario,wind_scenario,linear_error_m,rotation_error_deg,engagement_duration_s,drone_x,drone_y,target_x,target_y,altitude_m,state,last_cmd_pitch,last_cmd_roll,last_cmd_yaw_vel,last_cmd_thrust
63,static,static,mild,5.3637,0.06,0.06,4.6363,-0.0132,10.0000,0.0000,2.769,SEARCH,2.6898,0.0069,0.0000,-0.0693
163,static,static,mild,5.2597,0.06,0.16,4.7403,-0.0090,10.0000,0.0000,2.771,SEARCH,2.6419,0.0050,0.0000,-0.0686
263,static,static,mild,5.1631,0.07,0.26,4.8369,-0.0052,10.0000,0.0000,2.774,SEARCH,2.5896,0.0029,0.0000,-0.0678
363,static,static,mild,5.0580,0.07,0.36,4.9420,-0.0008,10.0000,0.0000,2.777,SEARCH,2.5411,0.0009,0.0000,-0.0670
463,static,static,mild,4.9602,0.06,0.46,5.0398,0.0031,10.0000,0.0000,2.779,SEARCH,2.4923,-0.0011,0.0000,-0.0663
563,static,static,mild,4.8541,0.06,0.56,5.1459,0.0076,10.0000,0.0000,2.782,SEARCH,2.4392,-0.0033,0.0000,-0.0655
663,static,static,mild,4.7565,0.06,0.66,5.2435,0.0118,10.0000,0.0000,2.784,SEARCH,2.3864,-0.0055,0.0000,-0.0647
763,static,static,mild,4.6512,0.06,0.76,5.3488,0.0167,10.0000,0.0000,2.787,SEARCH,2.3377,-0.0078,0.0000,-0.0640
863,static,static,mild,4.5553,0.06,0.86,5.4447,0.0210,10.0000,0.0000,2.789,SEARCH,2.2856,-0.0102,0.0000,-0.0633
963,static,static,mild,4.4523,0.06,0.96,5.5478,0.0250,10.0000,0.0000,2.791,SEARCH,2.2380,-0.0121,0.0000,-0.0626
1063,static,static,mild,4.3577,0.05,1.06,5.6423,0.0282,10.0000,0.0000,2.794,SEARCH,2.1906,-0.0137,0.0000,-0.0619
1163,static,static,mild,4.2634,0.04,1.16,5.7367,0.0312,10.0000,0.0000,2.796,SEARCH,2.1395,-0.0153,0.0000,-0.0611
1263,static,static,mild,4.1613,0.03,1.26,5.8389,0.0341,10.0000,0.0000,2.799,SEARCH,2.0923,-0.0167,0.0000,-0.0604
1363,static,static,mild,4.0598,0.02,1.36,5.9404,0.0366,10.0000,0.0000,2.801,SEARCH,2.0415,-0.0180,0.0000,-0.0596
1463,static,static,mild,3.9666,0.01,1.46,6.0335,0.0383,10.0000,0.0000,2.804,SEARCH,1.9910,-0.0190,0.0000,-0.0589
1563,static,static,mild,3.8660,0.00,1.56,6.1342,0.0395,10.0000,0.0000,2.806,SEARCH,1.9445,-0.0196,0.0000,-0.0582
1663,static,static,mild,3.7728,0.01,1.66,6.2274,0.0404,10.0000,0.0000,2.808,SEARCH,1.8941,-0.0201,0.0000,-0.0575
1763,static,static,mild,3.6717,0.01,1.76,6.3285,0.0411,10.0000,0.0000,2.810,DESCEND_TO_LOW,1.8474,-0.0205,0.0000,-0.0569
1863,static,static,mild,3.5783,0.01,1.86,6.4219,0.0415,10.0000,0.0000,2.811,DESCEND_TO_LOW,0.7868,-0.0376,0.0132,0.5000
1963,static,static,mild,3.4770,0.01,1.96,6.5233,0.0413,10.0000,0.0000,2.788,DESCEND_TO_LOW,0.6171,-0.0368,0.0102,0.5000
2063,static,static,mild,3.3844,0.01,2.06,6.6158,0.0412,10.0000,0.0000,2.740,DESCEND_TO_LOW,0.5987,-0.0373,0.0102,0.5000
2163,static,static,mild,3.2947,0.02,2.16,6.7056,0.0412,10.0000,0.0000,2.690,DESCEND_TO_LOW,0.4057,-0.0415,0.0048,0.5000
2263,static,static,mild,3.2026,0.04,2.26,6.7976,0.0413,10.0000,0.0000,2.634,DESCEND_TO_LOW,0.3653,-0.0418,0.0042,0.5000
2363,static,static,mild,3.1175,0.08,2.36,6.8827,0.0418,10.0000,0.0000,2.583,DESCEND_TO_LOW,0.3715,-0.0426,0.0042,0.5000
2463,static,static,mild,3.0458,0.13,2.46,6.9545,0.0426,10.0000,0.0000,2.529,DESCEND_TO_LOW,0.3781,-0.0435,0.0042,0.5000
2563,static,static,mild,2.9813,0.19,2.56,7.0190,0.0434,10.0000,0.0000,2.480,DESCEND_TO_LOW,0.1891,-0.0506,-0.0066,0.5000
2663,static,static,mild,2.9186,0.26,2.66,7.0817,0.0441,10.0000,0.0000,2.427,DESCEND_TO_LOW,0.2004,-0.0554,-0.0114,0.5000
