time_ms,mode,scenario,wind_scenario,linear_error_m,rotation_error_deg,engagement_duration_s,drone_x,drone_y,target_x,target_y,altitude_m,state,last_cmd_pitch,last_cmd_roll,last_cmd_yaw_vel,last_cmd_thrust
22,static,static,none,4.9276,0.00,0.02,5.0725,0.0226,10.0000,0.0000,2.757,SEARCH,2.4754,-0.0111,0.0000,-0.0728
122,static,static,none,4.8267,0.01,0.12,5.1733,0.0247,10.0000,0.0000,2.759,SEARCH,2.4250,-0.0121,0.0000,-0.0722
222,static,static,none,4.7330,0.00,0.22,5.2671,0.0274,10.0000,0.0000,2.761,SEARCH,2.3782,-0.0133,0.0000,-0.0716
322,static,static,none,4.6390,0.00,0.32,5.3611,0.0306,10.0000,0.0000,2.763,SEARCH,2.3273,-0.0150,0.0000,-0.0710
422,static,static,none,4.5371,0.01,0.42,5.4630,0.0344,10.0000,0.0000,2.765,SEARCH,2.2803,-0.0168,0.0000,-0.0704
522,static,static,none,4.4432,0.02,0.52,5.5569,0.0377,10.0000,0.0000,2.767,SEARCH,2.2293,-0.0186,0.0000,-0.0698
622,static,static,none,4.3421,0.02,0.62,5.6581,0.0406,10.0000,0.0000,2.769,SEARCH,2.1826,-0.0200,0.0000,-0.0692
722,static,static,none,4.2496,0.01,0.72,5.7506,0.0425,10.0000,0.0000,2.771,SEARCH,2.1324,-0.0211,0.0000,-0.0686
822,static,static,none,4.1502,0.01,0.82,5.8500,0.0438,10.0000,0.0000,2.773,SEARCH,2.0865,-0.0218,0.0000,-0.0680
922,static,static,none,4.0584,0.00,0.92,5.9418,0.0446,10.0000,0.0000,2.775,SEARCH,2.0368,-0.0222,0.0000,-0.0674
1022,static,static,none,3.9586,0.01,1.02,6.0417,0.0452,10.0000,0.0000,2.777,SEARCH,1.9907,-0.0225,0.0000,-0.0668
1122,static,static,none,3.8661,0.01,1.12,6.1342,0.0460,10.0000,0.0000,2.779,SEARCH,1.9406,-0.0229,0.0000,-0.0662
1222,static,static,none,3.7660,0.01,1.22,6.2343,0.0478,10.0000,0.0000,2.781,SEARCH,1.8944,-0.0236,0.0000,-0.0656
1322,static,static,none,3.6735,0.00,1.32,6.3268,0.0496,10.0000,0.0000,2.783,SEARCH,1.8443,-0.0247,0.0000,-0.0650
1422,static,static,none,3.5732,0.00,1.42,6.4271,0.0512,10.0000,0.0000,2.785,HOLD,1.8250,-0.0250,0.0000,-0.0647
1522,static,static,none,3.4801,0.01,1.52,6.5203,0.0525,10.0000,0.0000,2.787,HOLD,1.7338,-0.0238,0.0000,0.0004
1622,static,static,none,3.3780,0.01,1.62,6.6224,0.0539,10.0000,0.0000,2.784,HOLD,1.7338,-0.0238,0.0000,0.0004
1723,static,static,none,3.2828,0.02,1.72,6.7177,0.0554,10.0000,0.0000,2.780,DESCEND_TO_LOW,1.6908,-0.0232,0.0000,-0.0005
1822,static,static,none,3.1789,0.02,1.82,6.8216,0.0569,10.0000,0.0000,2.776,DESCEND_TO_LOW,0.6327,-0.0803,-0.0189,0.5000
1922,static,static,none,3.0829,0.02,1.92,6.9177,0.0579,10.0000,0.0000,2.747,DESCEND_TO_LOW,0.4570,-0.0825,-0.0027,0.5000
2022,static,static,none,2.9809,0.02,2.02,7.0197,0.0585,10.0000,0.0000,2.705,DESCEND_TO_LOW,0.4570,-0.0825,-0.0027,0.5000
2122,static,static,none,2.8920,0.02,2.12,7.1086,0.0574,10.0000,0.0000,2.661,DESCEND_TO_LOW,0.1307,-0.0969,0.0081,0.5000
2222,static,static,none,2.8033,0.00,2.22,7.1972,0.0546,10.0000,0.0000,2.611,DESCEND_TO_LOW,-0.1266,-0.1071,0.0033,0.5000
2322,static,static,none,2.7311,0.03,2.32,7.2694,0.0508,10.0000,0.0000,2.565,DESCEND_TO_LOW,-0.4088,-0.1043,0.0021,0.5000
2422,static,static,none,2.6652,0.09,2.42,7.3352,0.0457,10.0000,0.0000,2.516,HOLD,-0.5484,-0.1024,0.0015,0.5000
2522,static,static,none,2.6181,0.16,2.52,7.3823,0.0404,10.0000,0.0000,2.471,DESCEND_TO_LOW,-0.7685,-0.0935,0.0021,0.5000
2622,static,static,none,2.5831,0.25,2.62,7.4171,0.0345,10.0000,0.0000,2.425,DESCEND_TO_LOW,-0.8222,-0.0854,0.0030,0.5000
2722,static,static,none,2.5661,0.33,2.72,7.4341,0.0284,10.0000,0.0000,2.373,DESCEND_TO_LOW,-0.8371,-0.0749,-0.0093,0.5000
2822,static,static,none,2.5662,0.39,2.82,7.4339,0.0231,10.0000,0.0000,2.319,HOLD,-0.8160,-0.0730,0.0000,-0.0075
2922,static,static,none,2.5822,0.41,2.92,7.4178,0.0187,10.0000,0.0000,2.281,HOLD,-0.8160,-0.0730,0.0000,-0.0075
3022,static,static,none,2.6170,0.36,3.02,7.3831,0.0150,10.0000,0.0000,2.262,HOLD,-0.7752,-0.0694,0.0000,-0.0056
3122,static,static,none,2.6658,0.25,3.12,7.3343,0.0132,10.0000,0.0000,2.252,DESCEND_TO_LOW,-0.3339,-0.0419,-0.0138,0.5000
3223,static,static,none,2.7180,0.09,3.22,7.2820,0.0130,10.0000,0.0000,2.233,DESCEND_TO_LOW,-0.3339,-0.0419,-0.0138,0.5000
3322,static,static,none,2.7728,0.07,3.32,7.2272,0.0138,10.0000,0.0000,2.196,DESCEND_TO_LOW,0.3385,-0.0147,0.0099,0.5000
3422,static,static,none,2.8317,0.24,3.42,7.1684,0.0160,10.0000,0.0000,2.147,HOLD,0.3300,-0.0144,0.0000,-0.0080
3522,static,static,none,2.8797,0.37,3.52,7.1204,0.0192,10.0000,0.0000,2.110,DESCEND_TO_LOW,0.3216,-0.0140,0.0000,-0.0149
3622,static,static,none,2.9186,0.47,3.62,7.0815,0.0241,10.0000,0.0000,2.095,HOLD,0.3135,-0.0136,0.0000,-0.0018
3722,static,static,none,2.9411,0.52,3.72,7.0590,0.0291,10.0000,0.0000,2.090,DESCEND_TO_LOW,1.0000,0.0076,0.0027,0.5000
3822,static,static,none,2.9528,0.55,3.82,7.0474,0.0355,10.0000,0.0000,2.078,DESCEND_TO_LOW,1.0000,0.0076,0.0027,0.5000
3922,static,static,none,2.9525,0.56,3.92,7.0478,0.0416,10.0000,0.0000,2.043,HOLD,0.9748,0.0074,0.0000,-0.0054
4022,static,static,none,2.9359,0.53,4.02,7.0645,0.0478,10.0000,0.0000,2.010,HOLD,0.9247,0.0070,0.0000,-0.0153
4122,static,static,none,2.9024,0.47,4.12,7.0981,0.0528,10.0000,0.0000,1.993,DESCEND_TO_LOW,0.8999,0.0069,0.0000,-0.0184
