time_ms,mode,scenario,wind_scenario,linear_error_m,rotation_error_deg,engagement_duration_s,drone_x,drone_y,target_x,target_y,altitude_m,state
100,static,static,none,5.4086,0.06,0.10,4.5915,-0.0105,10.0000,0.0000,4.786,SEARCH
200,static,static,none,5.3043,0.04,0.20,4.6957,-0.0058,10.0000,0.0000,4.788,DESCEND_TO_1M
300,static,static,none,5.2073,0.02,0.30,4.7927,-0.0016,10.0000,0.0000,4.790,DESCEND_TO_1M
400,static,static,none,5.1016,0.01,0.40,4.8984,0.0025,10.0000,0.0000,4.766,DESCEND_TO_1M
500,static,static,none,5.0034,0.01,0.50,4.9966,0.0059,10.0000,0.0000,4.723,DESCEND_TO_1M
600,static,static,none,4.8966,0.02,0.60,5.1034,0.0095,10.0000,0.0000,4.677,DESCEND_TO_1M
700,static,static,none,4.7979,0.02,0.70,5.2021,0.0126,10.0000,0.0000,4.627,DESCEND_TO_1M
800,static,static,none,4.6908,0.03,0.80,5.3092,0.0160,10.0000,0.0000,4.573,DESCEND_TO_1M
900,static,static,none,4.5920,0.03,0.90,5.4081,0.0193,10.0000,0.0000,4.522,DESCEND_TO_1M
1000,static,static,none,4.4851,0.03,1.00,5.5150,0.0229,10.0000,0.0000,4.465,DESCEND_TO_1M
1100,static,static,none,4.3872,0.03,1.10,5.6129,0.0262,10.0000,0.0000,4.410,DESCEND_TO_1M
1200,static,static,none,4.2868,0.02,1.20,5.7133,0.0298,10.0000,0.0000,4.363,DESCEND_TO_1M
1300,static,static,none,4.2046,0.02,1.30,5.7955,0.0333,10.0000,0.0000,4.317,DESCEND_TO_1M
1400,static,static,none,4.1356,0.05,1.40,5.8645,0.0369,10.0000,0.0000,4.270,DESCEND_TO_1M
1500,static,static,none,4.0776,0.12,1.50,5.9226,0.0405,10.0000,0.0000,4.226,DESCEND_TO_1M
1600,static,static,none,4.0399,0.23,1.60,5.9603,0.0431,10.0000,0.0000,4.176,DESCEND_TO_1M
1700,static,static,none,4.0145,0.35,1.70,5.9858,0.0455,10.0000,0.0000,4.125,DESCEND_TO_1M
1800,static,static,none,4.0041,0.44,1.80,5.9962,0.0477,10.0000,0.0000,4.076,DESCEND_TO_1M
1900,static,static,none,4.0069,0.49,1.90,5.9935,0.0502,10.0000,0.0000,4.026,DESCEND_TO_1M
2000,static,static,none,4.0198,0.45,2.00,5.9806,0.0541,10.0000,0.0000,3.970,DESCEND_TO_1M
2100,static,static,none,4.0444,0.33,2.10,5.9560,0.0597,10.0000,0.0000,3.917,DESCEND_TO_1M
2200,static,static,none,4.0776,0.16,2.20,5.9229,0.0664,10.0000,0.0000,3.859,DESCEND_TO_1M
2300,static,static,none,4.1145,0.05,2.30,5.8862,0.0740,10.0000,0.0000,3.806,DESCEND_TO_1M
2400,static,static,none,4.1581,0.27,2.40,5.8428,0.0839,10.0000,0.0000,3.749,DESCEND_TO_1M
2500,static,static,none,4.1984,0.47,2.50,5.8026,0.0942,10.0000,0.0000,3.696,DESCEND_TO_1M
2600,static,static,none,4.2407,0.64,2.60,5.7606,0.1061,10.0000,0.0000,3.641,DESCEND_TO_1M
2700,static,static,none,4.2760,0.75,2.70,5.7257,0.1172,10.0000,0.0000,3.590,DESCEND_TO_1M
2800,static,static,none,4.3047,0.80,2.80,5.6973,0.1285,10.0000,0.0000,3.536,DESCEND_TO_1M
2900,static,static,none,4.3268,0.81,2.90,5.6755,0.1409,10.0000,0.0000,3.486,DESCEND_TO_1M
3000,static,static,none,4.3394,0.76,3.00,5.6632,0.1518,10.0000,0.0000,3.433,DESCEND_TO_1M
3100,static,static,none,4.3423,0.66,3.10,5.6606,0.1600,10.0000,0.0000,3.382,DESCEND_TO_1M
3200,static,static,none,4.3359,0.55,3.20,5.6673,0.1667,10.0000,0.0000,3.328,DESCEND_TO_1M
3300,static,static,none,4.3218,0.42,3.30,5.6816,0.1711,10.0000,0.0000,3.277,DESCEND_TO_1M
3400,static,static,none,4.2981,0.30,3.40,5.7054,0.1738,10.0000,0.0000,3.221,DESCEND_TO_1M
3500,static,static,none,4.2692,0.21,3.50,5.7344,0.1741,10.0000,0.0000,3.168,DESCEND_TO_1M
3600,static,static,none,4.2308,0.15,3.60,5.7727,0.1721,10.0000,0.0000,3.112,DESCEND_TO_1M
3700,static,static,none,4.1898,0.13,3.70,5.8136,0.1682,10.0000,0.0000,3.060,DESCEND_TO_1M
3800,static,static,none,4.1404,0.12,3.80,5.8628,0.1623,10.0000,0.0000,3.004,DESCEND_TO_1M
3900,static,static,none,4.0917,0.13,3.90,5.9113,0.1561,10.0000,0.0000,2.954,DESCEND_TO_1M
4000,static,static,none,4.0365,0.13,4.00,5.9662,0.1489,10.0000,0.0000,2.899,DESCEND_TO_1M
4100,static,static,none,3.9823,0.13,4.10,6.0202,0.1415,10.0000,0.0000,2.848,DESCEND_TO_1M
4200,static,static,none,3.9179,0.14,4.20,6.0843,0.1315,10.0000,0.0000,2.792,DESCEND_TO_1M
4300,static,static,none,3.8528,0.16,4.30,6.1491,0.1200,10.0000,0.0000,2.735,DESCEND_TO_1M
4400,static,static,none,3.7765,0.20,4.40,6.2250,0.1050,10.0000,0.0000,2.682,DESCEND_TO_1M
4500,static,static,none,3.7007,0.25,4.50,6.3004,0.0893,10.0000,0.0000,2.625,DESCEND_TO_1M
4600,static,static,none,3.6137,0.31,4.60,6.3870,0.0703,10.0000,0.0000,2.572,DESCEND_TO_1M
4700,static,static,none,3.5300,0.35,4.70,6.4704,0.0515,10.0000,0.0000,2.519,DESCEND_TO_1M
