time_ms,mode,scenario,wind_scenario,linear_error_m,rotation_error_deg,engagement_duration_s,drone_x,drone_y,target_x,target_y,altitude_m,state,last_cmd_pitch,last_cmd_roll,last_cmd_yaw_vel,last_cmd_thrust
18,static,static,strong,5.1147,0.02,0.02,4.8854,0.0288,10.0000,0.0000,2.841,SEARCH,2.5764,-0.0135,0.0000,-0.0478
118,static,static,strong,5.0231,0.02,0.12,4.9770,0.0328,10.0000,0.0000,2.848,SEARCH,2.5306,-0.0156,0.0000,-0.0455
218,static,static,strong,4.9238,0.03,0.22,5.0763,0.0369,10.0000,0.0000,2.855,SEARCH,2.4809,-0.0177,0.0000,-0.0434
318,static,static,strong,4.8322,0.04,0.32,5.1679,0.0402,10.0000,0.0000,2.859,SEARCH,2.4351,-0.0195,0.0000,-0.0423
418,static,static,strong,4.7331,0.04,0.42,5.2671,0.0430,10.0000,0.0000,2.865,SEARCH,2.3855,-0.0210,0.0000,-0.0404
518,static,static,strong,4.6416,0.04,0.52,5.3586,0.0443,10.0000,0.0000,2.873,SEARCH,2.3398,-0.0220,0.0000,-0.0382
618,static,static,strong,4.5426,0.03,0.62,5.4576,0.0445,10.0000,0.0000,2.876,SEARCH,2.2902,-0.0223,0.0000,-0.0371
718,static,static,strong,4.4516,0.01,0.72,5.5487,0.0435,10.0000,0.0000,2.880,SEARCH,2.2446,-0.0220,0.0000,-0.0361
818,static,static,strong,4.3537,0.00,0.82,5.6465,0.0416,10.0000,0.0000,2.881,SEARCH,2.1993,-0.0213,0.0000,-0.0356
918,static,static,strong,4.2638,0.02,0.92,5.7364,0.0392,10.0000,0.0000,2.881,SEARCH,2.1505,-0.0201,0.0000,-0.0356
1018,static,static,strong,4.1664,0.03,1.02,5.8337,0.0368,10.0000,0.0000,2.882,SEARCH,2.1019,-0.0188,0.0000,-0.0355
1118,static,static,strong,4.0766,0.03,1.12,5.9236,0.0349,10.0000,0.0000,2.884,SEARCH,2.0569,-0.0179,0.0000,-0.0348
1218,static,static,strong,3.9869,0.03,1.22,6.0132,0.0333,10.0000,0.0000,2.881,SEARCH,2.0083,-0.0169,0.0000,-0.0357
1318,static,static,strong,3.8895,0.03,1.32,6.1106,0.0310,10.0000,0.0000,2.876,DESCEND_TO_LOW,0.8732,-0.0275,0.0204,0.5000
1418,static,static,strong,3.7921,0.03,1.42,6.2080,0.0277,10.0000,0.0000,2.862,DESCEND_TO_LOW,0.8118,-0.0268,-0.0174,0.5000
1518,static,static,strong,3.7028,0.04,1.52,6.2973,0.0240,10.0000,0.0000,2.840,DESCEND_TO_LOW,0.7064,-0.0217,0.0234,0.5000
1618,static,static,strong,3.6080,0.04,1.62,6.3921,0.0198,10.0000,0.0000,2.805,DESCEND_TO_LOW,0.5208,-0.0212,-0.0144,0.5000
1718,static,static,strong,3.5257,0.04,1.72,6.4743,0.0160,10.0000,0.0000,2.766,DESCEND_TO_LOW,0.3267,-0.0117,0.0582,0.5000
1818,static,static,strong,3.4459,0.06,1.82,6.5541,0.0122,10.0000,0.0000,2.727,DESCEND_TO_LOW,0.2454,-0.0109,0.0264,0.5000
1918,static,static,strong,3.3816,0.11,1.92,6.6184,0.0095,10.0000,0.0000,2.687,DESCEND_TO_LOW,0.2329,-0.0105,-0.0078,0.5000
2018,static,static,strong,3.3210,0.16,2.02,6.6790,0.0077,10.0000,0.0000,2.641,DESCEND_TO_LOW,0.2585,-0.0100,-0.0414,0.5000
2118,static,static,strong,3.2720,0.23,2.12,6.7280,0.0067,10.0000,0.0000,2.590,DESCEND_TO_LOW,0.3064,-0.0105,-0.0078,0.5000
2218,static,static,strong,3.2281,0.28,2.22,6.7719,0.0064,10.0000,0.0000,2.536,DESCEND_TO_LOW,0.3932,-0.0157,-0.0114,0.5000
2318,static,static,strong,3.1849,0.30,2.32,6.8151,0.0072,10.0000,0.0000,2.483,HOLD,0.3883,-0.0155,-0.0113,-0.0091
2418,static,static,strong,3.1473,0.27,2.42,6.8527,0.0091,10.0000,0.0000,2.430,HOLD,0.3784,-0.0151,-0.0110,-0.0249
2518,static,static,strong,3.1077,0.21,2.52,6.8923,0.0117,10.0000,0.0000,2.393,DESCEND_TO_LOW,0.6119,-0.0206,-0.0138,0.5000
2618,static,static,strong,3.0709,0.13,2.62,6.9292,0.0144,10.0000,0.0000,2.361,DESCEND_TO_LOW,0.6331,-0.0215,0.0426,0.5000
2718,static,static,strong,3.0296,0.04,2.72,6.9705,0.0176,10.0000,0.0000,2.328,DESCEND_TO_LOW,0.7263,-0.0157,0.0186,0.5000
2818,static,static,strong,2.9880,0.05,2.82,7.0121,0.0204,10.0000,0.0000,2.288,DESCEND_TO_LOW,0.8413,-0.0156,0.0186,0.5000
2918,static,static,strong,2.9363,0.14,2.92,7.0637,0.0231,10.0000,0.0000,2.239,DESCEND_TO_LOW,0.9035,-0.0201,-0.0138,0.5000
3018,static,static,strong,2.8817,0.21,3.02,7.1184,0.0256,10.0000,0.0000,2.193,DESCEND_TO_LOW,0.9481,-0.0203,0.0138,0.5000
